concept_id,class_name,concept_zh,concept_en,category,recommended_for_stage2_prompt_pool,frozen_Adenocarcinoma,frozen_NonAdenocarcinoma,paraffin_Adenocarcinoma,paraffin_NonAdenocarcinoma,paraffin_total,example_snippets
adeno_acinar,Adenocarcinoma,腺泡状生长,acinar growth pattern,pathology_morphology,yes,3,1,620,30,650,"(左上肺尖段结节)肺浸润性腺癌,腺泡(90%)及贴壁样(10%)生长方式;  - 肿瘤最大径约1 | (右上肺尖段肿物)浸润性腺癌,2级,腺泡状(70%)及乳头(20%)、贴壁状(10%)生长方式。  - |  3.(右下肺S10结节)肺浸润性腺癌,腺泡状(50%)、贴壁状(45%)及乳头状(5%)生长方式为主。  | 2、3)1“短线处结节1”肺浸润性腺癌,腺泡状生长方式。 2“双线处结节2”肺浸润性腺癌,腺泡状(约70%"
adeno_lepidic,Adenocarcinoma,贴壁样/贴壁状生长,lepidic growth pattern,pathology_morphology,yes,3,1,465,24,489,"尖段结节)肺浸润性腺癌,腺泡(90%)及贴壁样(10%)生长方式;  - 肿瘤最大径约1.1cm; - 未 | 2级,腺泡状(70%)及乳头(20%)、贴壁状(10%)生长方式。  - 肿瘤最大径约3.0cm;  -  | 0结节)肺浸润性腺癌,腺泡状(50%)、贴壁状(45%)及乳头状(5%)生长方式为主。 - 肿瘤最大径约1 | 节2”肺浸润性腺癌,腺泡状(约70%)及贴壁样(约30%)生长方式。  - 肿瘤最大径约1.0cm(结节1"
aux_stas_present,Auxiliary,STAS/气腔播散,spread through air spaces,auxiliary_prognostic,optional,1,0,162,21,183,"肿瘤局灶侵犯脏层胸膜(PL2);  - 可见气道播散(STAS);  - 肿瘤病理分期:pT2aNx(TNM,N |  未见神经束侵犯和明确脉管癌栓;  - 可见气道播散(STAS);  - 肿瘤未见明确脏层胸膜侵犯;  - 肿瘤 | 栓及神经束膜侵犯; - 可见气腔内播散(STAS); - “肺切缘”未见癌; - 肿瘤(病理)分期:pT1c |  未见明确脉管内癌栓及神经束侵犯; - 可见肿瘤气腔播散(STAS); - 肿瘤紧邻脏层胸膜,待特殊染色进一步明确有"
adeno_papillary,Adenocarcinoma,乳头状生长,papillary architecture,pathology_morphology,yes,0,0,147,7,154,"物)浸润性腺癌,2级,腺泡状(70%)及乳头(20%)、贴壁状(10%)生长方式。  - 肿瘤最大径约3 | 段结节)肺浸润性腺癌,腺泡状(80%)、乳头状(10%)及贴壁样(10%)生长方式。 - 肿瘤最大径约1. | 癌,腺泡状(50%)、贴壁状(45%)及乳头状(5%)生长方式为主。 - 肿瘤最大径约1.2cm; - 肿 | 润性粘液腺癌约占40%)腺泡(90%)及乳头(10%)生长方式。 - 肿瘤最大径约1.5cm; - 未见"
adeno_micropapillary,Adenocarcinoma,微乳头状生长,micropapillary pattern,pathology_morphology,yes,0,0,146,7,153,"乳头状(约占40%)、筛状(约占5%)和微乳头状(约占5%)生长方式。  - 肿瘤最大径约2.8cm;  - | 节)肺浸润性腺癌,乳头状(约占70%)、微乳头状(约占10%)、腺泡状(约占15%)、复杂腺样(约占5%)生 | 腺癌成分约占78%,(腺泡状(90%)及微乳头状(5%)、贴壁状(5%))生长方式;浸润性粘液腺癌(约占2% | 3级,腺泡状(50%)及乳头(10%)及微乳头状(40%)生长生长方式。 - 肿瘤最大径为1.8cm; - "
nonadeno_inflammatory,NonAdenocarcinoma,炎症/肉芽肿/机化性肺炎,inflammatory or granulomatous lung lesion,benign_nonadeno,yes,0,79,6,94,100,"最大径约1.5cm; - 肿瘤侵犯胸膜致纤维化增厚,外周可见少许脂肪组织,结合术中所见(与前胸壁粘连)与肿 | TAS); - “肺门淋巴结”淋巴结可见肉芽肿性炎,未见癌(0/1); - 肿瘤病理分期:T1aN0(TN | 组织,局灶间质纤维增生,伴碳尘沉积,较多炎症细胞浸润,肺泡上皮呈反应性改变,未见明确恶性证据。 | 支气管切缘)未见肿瘤。 2.(右上肺叶)肉芽肿性炎。"
adeno_ais_mia,Adenocarcinoma,AIS/MIA/浸润前或微浸润病变,preinvasive or minimally invasive adenocarcinoma spectrum,pathology_diagnosis_related,optional,45,19,38,56,94,"(右下肺结节)原位腺癌(AIS)。  - 肿瘤最大径约0.5cm;  - 未见明确脉管癌栓 |   - 冰冻送“肺切缘”可见小灶肺泡上皮不典型腺瘤样增生(AAH); - 肿瘤病理分期:pT1bNx(TNM)。   | 未见癌。 5.(右上肺结节)肺原位腺癌(AIS)。 - 肿瘤最大径约为0.9cm;  - 肿瘤紧邻但未侵犯 | 肺切缘”肺组织,局灶肺泡上皮不典型增生(AAH); - 免疫组化及病理分期待补充报告。 2“尖段结节”肺组"
adeno_solid,Adenocarcinoma,实性生长,solid growth pattern,pathology_morphology,yes,0,0,76,2,78,"右上肺肿物)浸润性腺癌,腺泡(70%)及实性(30%)生长方式。 - 肿瘤最大径约4cm;  - 可见脉管 | 头状(约30%)、微乳头状(约20%)及实性(约5%)生长方式。  - 肿瘤最大径约3.0cm;  - 可 | (右中肺)肺浸润性腺癌,腺泡(30%)及实性(70%)状生长方式。 - 肿瘤最大径约1.5cm;  - 未 | 分化差的癌,可见浸润性腺癌成分,部分区域呈实性排列,不除外为腺鳞癌,建议加做免疫组化进一步明确。 - 肿瘤"
aux_pleural_invasion,Auxiliary,胸膜侵犯,visceral pleural invasion,auxiliary_prognostic,optional,0,0,28,7,35,- 肿瘤最大径约3.0cm;  - 肿瘤侵犯脏层胸膜(PL1);  - 未见脉管癌栓及神经束侵犯;  - 未见气 | 右上肺支气管切缘”未见癌; - 肿瘤局灶侵犯脏层胸膜(PL2);  - 可见气道播散(STAS);  - 肿瘤病 |  - 肿瘤最大径约3.5cm; - 肿瘤侵犯脏层胸膜; - 肿瘤分期请结合临床、影像。 | - 肿瘤最大径约1.8cm;  - 肿瘤侵犯脏层胸膜(PL1);  - 未见明确脉管癌栓及神经束膜侵犯;  - 
aux_vascular_invasion,Auxiliary,脉管癌栓/脉管侵犯,vascular invasion,auxiliary_prognostic,optional,0,0,26,7,33,"。 - 肿瘤最大径约4cm;  - 可见脉管癌栓;未见神经束膜侵犯;  - “右上肺支气管切缘”未见癌; - | - 肿瘤最大径约3.0cm;  - 可疑脉管内癌栓;未见明确神经束侵犯;  - 考虑肿瘤侵犯至脏层胸膜外;   |  - 肿瘤最大径约1.0cm; - 可见脉管内癌栓; - 未见明确神经束侵犯; - 肿瘤紧邻脏层胸膜,待特殊染 | 缺损肿瘤最大径约2.4cm;  - 可见脉管癌栓; - 未见明确神经束侵犯;  - 肿瘤侵犯脏层胸(PL1)"
