scale,class_id,class_name,concept_text,occurrences,correct_count,error_count,correct_mean_evidence,error_mean_evidence,mean_contribution,error_rate_among_occurrences,reliability_hint
high,1,NonAdenocarcinoma,salt-and-pepper chromatin,3,0,3,,0.007498679682612436,0.00033633022879563335,1.0,error_prone
high,0,Adenocarcinoma,intracytoplasmic mucin vacuoles,2,1,1,0.2066950500011444,0.2534970045089721,0.02049433998763555,0.5,rare
high,0,Adenocarcinoma,lepidic tumor cells along alveolar septa,2,1,1,0.1884038895368576,0.1545063406229019,0.01518036331981415,0.5,rare
high,0,Adenocarcinoma,mucin-producing tumor cells,3,2,1,0.23313321918249125,0.2621790468692779,0.0223292919496695,0.3333333333333333,mixed
high,1,NonAdenocarcinoma,dense eosinophilic cytoplasm,17,12,5,-0.005500758804070425,0.036180606484413166,0.0017059941768392969,0.29411764705882354,mixed
high,1,NonAdenocarcinoma,inflammatory cells and granulomas,14,10,4,0.1080063339322805,0.15877208113670346,0.011279873017753827,0.2857142857142857,mixed
low,1,NonAdenocarcinoma,solid non-gland-forming tumor nests,32,24,8,0.0319109908305108,0.026441785739734724,0.0028127515888626904,0.25,mixed
high,1,NonAdenocarcinoma,spindle-shaped malignant cells,28,21,7,0.0646474729070351,0.09714921790042094,0.008423073303544807,0.25,mixed
low,1,NonAdenocarcinoma,metastatic tumor in lung,20,15,5,0.035013504326343495,0.029305072128772695,0.00318254912854167,0.25,mixed
high,0,Adenocarcinoma,solid sheets with nuclear atypia,9,7,2,0.14665020124188488,0.20958072692155835,0.015773314542861412,0.2222222222222222,mixed
low,1,NonAdenocarcinoma,pulmonary hamartoma,60,48,12,0.05958688262520199,0.07423036002243553,0.009291520501938022,0.2,mixed
high,0,Adenocarcinoma,glandular lumen formation,5,4,1,0.24163205921649933,0.2607869207859039,0.02300393655896182,0.2,mixed
high,1,NonAdenocarcinoma,fibrosis and chronic inflammation,32,26,6,0.0764413674881395,0.18512733901540437,0.010369423972065268,0.1875,mixed
high,1,NonAdenocarcinoma,intercellular bridges,39,32,7,0.039757035468937815,0.07272375641124589,0.005763173391012674,0.1794871794871795,mixed
low,1,NonAdenocarcinoma,benign reactive lung tissue,68,56,12,0.02322461181652861,0.02651473813845462,0.0022245410544682286,0.17647058823529413,mixed
low,1,NonAdenocarcinoma,fibroinflammatory scar-like lesion,71,59,12,0.03040529916189229,0.03112062004705265,0.0031017388141726773,0.16901408450704225,mixed
high,1,NonAdenocarcinoma,keratinization,40,34,6,0.018029916839783684,0.05705746418486035,0.002465626312573469,0.15,mixed
low,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,35,30,5,0.014328315240951846,0.011876465752720812,0.001282751544554842,0.14285714285714285,mixed
low,0,Adenocarcinoma,solid growth pattern,39,34,5,0.007101170718669889,0.013733832165598838,0.0005826132888054816,0.1282051282051282,mixed
high,1,NonAdenocarcinoma,chondromyxoid matrix,40,35,5,0.033237981530172454,0.04180941805243492,0.006363697806955293,0.125,mixed
high,1,NonAdenocarcinoma,spindle cell atypia without gland formation,57,50,7,0.038510556346736835,0.10457594922211555,0.005711574846747921,0.12280701754385964,mixed
high,1,NonAdenocarcinoma,benign cartilage in pulmonary hamartoma,35,31,4,0.035087321945015446,0.0707910917699337,0.009141852933680616,0.11428571428571428,mixed
high,1,NonAdenocarcinoma,chondroid or myxochondroid matrix,54,48,6,0.05690059886546802,0.12594730717440442,0.007527939188380307,0.1111111111111111,mixed
low,1,NonAdenocarcinoma,inflammatory or granulomatous lesion,30,27,3,0.02287658345368171,0.0192356357971827,0.00197061918540079,0.1,reliable
low,0,Adenocarcinoma,micropapillary pattern,21,19,2,0.021177364237557516,-0.02735100698191665,0.0013511693285268192,0.09523809523809523,reliable
low,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,11,10,1,0.08914629556238649,0.0033827298320829,0.006775758091614282,0.09090909090909091,reliable
low,1,NonAdenocarcinoma,sarcomatoid spindle cell morphology,38,35,3,0.02928850178473759,0.0149233136326074,0.0031573476978672284,0.07894736842105263,reliable
low,0,Adenocarcinoma,multifocal irregular glandular proliferation,96,90,6,0.039943326435362275,0.018996673636138387,0.003301634475974382,0.0625,reliable
high,0,Adenocarcinoma,floating micropapillary clusters,73,69,4,0.18708736691084027,0.19354857504367828,0.017394122806152806,0.0547945205479452,reliable
high,0,Adenocarcinoma,atypical gland-forming tumor cells,119,113,6,0.20098896151556905,0.20346254607041678,0.02047379627753389,0.05042016806722689,reliable
low,0,Adenocarcinoma,mucinous features,122,116,6,0.06935038222883151,0.02962655822436012,0.007109228824551529,0.04918032786885246,reliable
low,0,Adenocarcinoma,cribriform glandular pattern,108,103,5,0.05288328354255953,0.008680471032857861,0.004319726213604209,0.046296296296296294,reliable
high,0,Adenocarcinoma,fused back-to-back glands,109,104,5,0.20445955430085844,0.21510488092899321,0.01966541473232547,0.045871559633027525,reliable
high,0,Adenocarcinoma,tumor cells lining fibrovascular cores,121,116,5,0.20666593695380564,0.20100970268249507,0.02276450900114637,0.04132231404958678,reliable
low,0,Adenocarcinoma,alveolar replacement by atypical glands,106,102,4,0.067921061109861,0.028295174473896574,0.006275416192744666,0.03773584905660377,reliable
high,0,Adenocarcinoma,hobnail adenocarcinoma cells,99,96,3,0.1906302471179515,0.17622997860113776,0.017595910548345337,0.030303030303030304,reliable
high,0,Adenocarcinoma,prominent nucleoli in gland-forming tumor cells,68,67,1,0.17736183159720542,0.1410591900348663,0.016932867624050454,0.014705882352941176,reliable
low,0,Adenocarcinoma,lepidic growth pattern,83,82,1,0.07680583868471039,0.0289400964975357,0.007313562177173486,0.012048192771084338,reliable
low,0,Adenocarcinoma,desmoplastic stromal invasion,17,17,0,0.04202326255686141,,0.0034596181152771765,0.0,reliable
low,0,Adenocarcinoma,mixed acinar papillary architecture,5,5,0,0.10071310400962827,,0.00827707024291152,0.0,reliable
low,1,NonAdenocarcinoma,neuroendocrine tumor architecture,4,4,0,-0.0048409996670670755,,-0.00040745471778790005,0.0,reliable
low,0,Adenocarcinoma,papillary architecture,2,2,0,-0.11895234882831571,,-0.007967585464939399,0.0,rare
high,1,NonAdenocarcinoma,nuclear molding,1,1,0,0.169734314084053,,0.0155451809987425,0.0,rare
low,1,NonAdenocarcinoma,organoid neuroendocrine nesting pattern,1,1,0,0.0139059964567422,,0.0011472385376691,0.0,rare
low,1,NonAdenocarcinoma,squamous tumor nests,1,1,0,0.0039907367900013,,0.0003359520051162,0.0,rare
