slide_id,coord_mode,scale_ratio,low_patch_index,low_coord_x,low_coord_y,low_bbox_x0,low_bbox_y0,low_bbox_x1,low_bbox_y1,child_count,high_child_rank,high_child_coord_x,high_child_coord_y,high_child_center_x,high_child_center_y
2485632-B,top_left,1.0,0,13120.0,12977.0,13120.0,12977.0,13376.0,13233.0,1,1,13120.0,12977.0,13248.0,13105.0
2485632-B,top_left,1.0,3,13120.0,25265.0,13120.0,25265.0,13376.0,25521.0,1,1,13120.0,25265.0,13248.0,25393.0
2485632-B,top_left,1.0,11,13120.0,58033.0,13120.0,58033.0,13376.0,58289.0,1,1,13120.0,58033.0,13248.0,58161.0
2485632-B,top_left,1.0,14,17216.0,17073.0,17216.0,17073.0,17472.0,17329.0,1,1,17216.0,17073.0,17344.0,17201.0
2485632-B,top_left,1.0,18,17216.0,37553.0,17216.0,37553.0,17472.0,37809.0,1,1,17216.0,37553.0,17344.0,37681.0
2485632-B,top_left,1.0,19,17216.0,45745.0,17216.0,45745.0,17472.0,46001.0,1,1,17216.0,45745.0,17344.0,45873.0
2485632-B,top_left,1.0,22,21312.0,12977.0,21312.0,12977.0,21568.0,13233.0,1,1,21312.0,12977.0,21440.0,13105.0
2485632-B,top_left,1.0,23,21312.0,17073.0,21312.0,17073.0,21568.0,17329.0,1,1,21312.0,17073.0,21440.0,17201.0
2485632-B,top_left,1.0,28,21312.0,49841.0,21312.0,49841.0,21568.0,50097.0,1,1,21312.0,49841.0,21440.0,49969.0
2485632-B,top_left,1.0,29,21312.0,53937.0,21312.0,53937.0,21568.0,54193.0,1,1,21312.0,53937.0,21440.0,54065.0
2485632-B,top_left,1.0,33,25408.0,21169.0,25408.0,21169.0,25664.0,21425.0,1,1,25408.0,21169.0,25536.0,21297.0
2485632-B,top_left,1.0,40,25408.0,49841.0,25408.0,49841.0,25664.0,50097.0,1,1,25408.0,49841.0,25536.0,49969.0
2485632-B,top_left,1.0,42,25408.0,58033.0,25408.0,58033.0,25664.0,58289.0,1,1,25408.0,58033.0,25536.0,58161.0
2485632-B,top_left,1.0,45,29504.0,21169.0,29504.0,21169.0,29760.0,21425.0,1,1,29504.0,21169.0,29632.0,21297.0
2485632-B,top_left,1.0,47,29504.0,29361.0,29504.0,29361.0,29760.0,29617.0,1,1,29504.0,29361.0,29632.0,29489.0
2485632-B,top_left,1.0,50,29504.0,49841.0,29504.0,49841.0,29760.0,50097.0,1,1,29504.0,49841.0,29632.0,49969.0
2485632-B,top_left,1.0,52,33600.0,17073.0,33600.0,17073.0,33856.0,17329.0,1,1,33600.0,17073.0,33728.0,17201.0
2485632-B,top_left,1.0,61,65828.0,45521.0,65828.0,45521.0,66084.0,45777.0,1,1,65828.0,45521.0,65956.0,45649.0
2485632-B,top_left,1.0,67,69924.0,33233.0,69924.0,33233.0,70180.0,33489.0,1,1,69924.0,33233.0,70052.0,33361.0
2485632-B,top_left,1.0,68,69924.0,37329.0,69924.0,37329.0,70180.0,37585.0,1,1,69924.0,37329.0,70052.0,37457.0
