proposal_radius,nms_radius,strategy,param_name,param_value,empty_anchor_ratio,median_raw_child_count,median_used_child_count,mean_used_child_count,p75_used_child_count,p90_used_child_count,mean_fallback_ratio,median_fallback_ratio,nearest_topm_distance_median,used_child_distance_mean,anchor_rows
512.0,512.0,bbox_containment,bbox_expand,2.0,0.22326030927835053,1.0,1.0,0.7767396907216495,1.0,1.0,0.0,0.0,1448.1546878700494,0.31507760332201484,3104
512.0,512.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9514537693298969,0.9375,1448.1546878700494,1925.7396458790465,3104
512.0,512.0,bbox_containment,bbox_expand,3.0,0.22261597938144329,1.0,1.0,0.7773840206185567,1.0,1.0,0.0,0.0,1448.1546878700494,0.5960045171678772,3104
512.0,512.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9514134987113402,0.9375,1448.1546878700494,1925.7396458790465,3104
512.0,512.0,bbox_containment,bbox_expand,4.0,0.22229381443298968,1.0,1.0,0.7777061855670103,1.0,1.0,0.0,0.0,1448.1546878700494,0.788782661460118,3104
512.0,512.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9513933634020618,0.9375,1448.1546878700494,1925.7396458790465,3104
512.0,512.0,bbox_containment,bbox_expand,6.0,0.22164948453608246,1.0,1.0,0.7799613402061856,1.0,1.0,0.0,0.0,1448.1546878700494,2.2068373603069267,3104
512.0,512.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9512524162371134,0.9375,1448.1546878700494,1925.7396458790465,3104
512.0,512.0,bbox_containment,bbox_expand,8.0,0.047036082474226804,9.0,9.0,6.912371134020619,9.0,9.0,0.0,0.0,1448.1546878700494,1109.1684725729865,3104
512.0,512.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5679768041237113,0.4375,1448.1546878700494,1925.7396458790465,3104
