variant,fold,test_auc,test_acc,test_f1,balanced_acc,sensitivity,specificity,pr_auc,val_auc
hcrc_a002_b8,1,0.9631865530303032,0.9175257731958762,0.9088024444705606,0.911813446969697,0.8939393939393939,0.9296875,0.9455623192224374,0.9404592803030304
hcrc_a002_b8,2,0.9485085227272728,0.9072164948453608,0.8966619318181819,0.8966619318181819,0.8636363636363636,0.9296875,0.9183146808402036,0.9858972852274064
hcrc_a002_b8,3,0.9901280996591844,0.9587628865979382,0.9544012222352802,0.9544012222352802,0.9402985074626866,0.968503937007874,0.9805675293117904,0.9533524218563588
hcrc_a002_b8,4,0.9452397995705082,0.922279792746114,0.9139647537816874,0.915473633977571,0.8939393939393939,0.937007874015748,0.8964833346889903,0.9613457408733
hcrc_a002_b8,5,0.9594368885707468,0.917098445595855,0.9097709209911172,0.9188141255070388,0.9242424242424242,0.9133858267716536,0.8637987483378484,0.9391571969696968
hcrc_a005_b8,1,0.974313446969697,0.9175257731958762,0.907453786523554,0.904474431818182,0.8636363636363636,0.9453125,0.9528275052154132,0.9546638257575758
hcrc_a005_b8,2,0.9283854166666669,0.8144329896907216,0.769047619047619,0.7492897727272727,0.5454545454545454,0.953125,0.8822312612676966,0.9742625455400163
hcrc_a005_b8,3,0.98883535080503,0.9484536082474226,0.9430015277941004,0.9430015277941004,0.9253731343283582,0.9606299212598424,0.9756809765172046,0.9587210689572894
hcrc_a005_b8,4,0.960749224528752,0.911917098445596,0.9038196581948232,0.9112383679312812,0.9090909090909092,0.9133858267716536,0.9344556944264608,0.9615843474111192
hcrc_a005_b8,5,0.9549033643521831,0.911917098445596,0.9044359653977224,0.914877117633023,0.9242424242424242,0.905511811023622,0.8451750330268577,0.9566761363636364
hcrc_a01_b8,1,0.9723011363636364,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.8787878787878788,0.9375,0.9461386495764372,0.9482717803030304
hcrc_a01_b8,2,0.9411695075757576,0.8969072164948454,0.8867880485527544,0.8925189393939394,0.8787878787878788,0.90625,0.9032318677781892,0.9876601245739804
hcrc_a01_b8,3,0.9922435068750736,0.9484536082474226,0.9421586165772212,0.9359501704078036,0.8955223880597015,0.9763779527559056,0.9844536611656238,0.9762586494869958
hcrc_a01_b8,4,0.9708900023860654,0.917098445595855,0.9078978764018134,0.9078978764018134,0.8787878787878788,0.937007874015748,0.9422261584060648,0.963254593175853
hcrc_a01_b8,5,0.9649248389405868,0.917098445595855,0.9097709209911172,0.9188141255070388,0.9242424242424242,0.9133858267716536,0.8993111879672703,0.9485085227272728
