scale,class_id,class_name,concept_text,occurrences,correct_count,error_count,error_rate,visual_override_count,low_high_conflict_count,wrong_class_support_count,mean_evidence,mean_weight,mean_contribution,error_rate_among_occurrences,stage33_reliability_hint,visual_override_rate,low_high_conflict_rate,occurrence_confidence,prompt_reliability_score,prompt_error_risk_score,reliability_label,recommended_action
high,1,NonAdenocarcinoma,salt-and-pepper chromatin,3,0,3,1.0,1,3,3,0.007498679682612436,0.0984248171250025,0.00033633022879563335,1.0,error_prone,0.3333333333333333,1.0,1.0,0.0,1.0,error_prone,downweight
high,0,Adenocarcinoma,mucin-producing tumor cells,3,2,1,0.3333333333333333,1,0,1,0.24281516174475345,0.09222571551799774,0.0223292919496695,0.3333333333333333,mixed,0.3333333333333333,0.0,1.0,0.6666666666666667,0.33333333333333326,error_prone,downweight
high,1,NonAdenocarcinoma,dense eosinophilic cytoplasm,17,12,5,0.2941176470588235,3,11,5,0.00675846628077769,0.1211656428435269,0.0017059941768392969,0.2941176470588235,mixed,0.17647058823529413,0.6470588235294118,1.0,0.7058823529411765,0.2941176470588235,mixed,monitor
high,1,NonAdenocarcinoma,inflammatory cells and granulomas,14,10,4,0.2857142857142857,2,3,4,0.1225108331335442,0.09025105993662556,0.011279873017753827,0.2857142857142857,mixed,0.14285714285714285,0.21428571428571427,1.0,0.7142857142857143,0.2857142857142857,mixed,monitor
low,1,NonAdenocarcinoma,solid non-gland-forming tumor nests,32,24,8,0.25,7,16,8,0.03054368955781678,0.09035923797637221,0.0028127515888626904,0.25,mixed,0.21875,0.5,1.0,0.75,0.25,mixed,downweight
high,1,NonAdenocarcinoma,spindle-shaped malignant cells,28,21,7,0.25,6,7,7,0.07277290915538157,0.10229330323636529,0.008423073303544807,0.25,mixed,0.21428571428571427,0.25,1.0,0.75,0.25,mixed,downweight
low,1,NonAdenocarcinoma,metastatic tumor in lung,20,15,5,0.25,5,15,5,0.0335863962769508,0.0941691201180219,0.00318254912854167,0.25,mixed,0.25,0.75,1.0,0.75,0.25,mixed,downweight
high,0,Adenocarcinoma,solid sheets with nuclear atypia,9,7,2,0.2222222222222222,2,3,2,0.16063476250403455,0.10156969477732973,0.015773314542861412,0.2222222222222222,mixed,0.2222222222222222,0.3333333333333333,1.0,0.7777777777777778,0.2222222222222222,mixed,downweight
low,1,NonAdenocarcinoma,pulmonary hamartoma,60,48,12,0.2,8,21,12,0.0625155781046487,0.13610736640791096,0.009291520501938022,0.2,mixed,0.13333333333333333,0.35,1.0,0.8,0.19999999999999996,mixed,monitor
high,0,Adenocarcinoma,glandular lumen formation,5,4,1,0.2,1,1,1,0.24546303153038024,0.09331496506929392,0.02300393655896182,0.2,mixed,0.2,0.2,1.0,0.8,0.19999999999999996,mixed,downweight
high,1,NonAdenocarcinoma,fibrosis and chronic inflammation,32,26,6,0.1875,4,7,6,0.09681998714950166,0.09726492757908996,0.010369423972065268,0.1875,mixed,0.125,0.21875,1.0,0.8125,0.1875,mixed,monitor
high,1,NonAdenocarcinoma,intercellular bridges,39,32,7,0.1794871794871795,5,14,7,0.045674139227813625,0.11856137731900578,0.005763173391012674,0.1794871794871795,mixed,0.1282051282051282,0.358974358974359,1.0,0.8205128205128205,0.17948717948717952,mixed,monitor
low,1,NonAdenocarcinoma,benign reactive lung tissue,68,56,12,0.1764705882352941,8,22,12,0.023805222343927318,0.0912549064001616,0.0022245410544682286,0.1764705882352941,mixed,0.11764705882352941,0.3235294117647059,1.0,0.8235294117647058,0.17647058823529416,mixed,monitor
low,1,NonAdenocarcinoma,fibroinflammatory scar-like lesion,71,59,12,0.1690140845070422,8,21,12,0.030526198466426433,0.09883300834138624,0.0031017388141726773,0.1690140845070422,mixed,0.11267605633802817,0.29577464788732394,1.0,0.8309859154929577,0.16901408450704225,mixed,monitor
high,1,NonAdenocarcinoma,keratinization,40,34,6,0.15,5,15,6,0.023884048941545187,0.09939864855259653,0.002465626312573469,0.15,mixed,0.125,0.375,1.0,0.85,0.15000000000000002,mixed,monitor
low,0,Adenocarcinoma,solid growth pattern,39,34,5,0.1282051282051282,5,34,5,0.007951511929814624,0.09482906147455553,0.0005826132888054816,0.1282051282051282,mixed,0.1282051282051282,0.8717948717948718,1.0,0.8717948717948718,0.1282051282051282,mixed,monitor
high,1,NonAdenocarcinoma,chondromyxoid matrix,40,35,5,0.125,2,12,5,0.03430941109545526,0.10811206637881692,0.006363697806955293,0.125,mixed,0.05,0.3,1.0,0.875,0.125,mixed,monitor
high,1,NonAdenocarcinoma,spindle cell atypia without gland formation,57,50,7,0.1228070175438596,7,14,7,0.04662385020862545,0.10068103213582118,0.005711574846747921,0.1228070175438596,mixed,0.12280701754385964,0.24561403508771928,1.0,0.8771929824561404,0.12280701754385959,mixed,monitor
high,1,NonAdenocarcinoma,benign cartilage in pulmonary hamartoma,35,31,4,0.1142857142857142,1,12,4,0.039167752782148964,0.11257086656987664,0.009141852933680616,0.1142857142857142,mixed,0.02857142857142857,0.34285714285714286,1.0,0.8857142857142858,0.11428571428571421,mixed,monitor
high,1,NonAdenocarcinoma,chondroid or myxochondroid matrix,54,48,6,0.1111111111111111,4,12,6,0.06457245534423872,0.12172539283831911,0.007527939188380307,0.1111111111111111,mixed,0.07407407407407407,0.2222222222222222,1.0,0.8888888888888888,0.11111111111111116,mixed,monitor
low,0,Adenocarcinoma,micropapillary pattern,21,19,2,0.0952380952380952,2,13,2,0.0165556145976076,0.08322987279721664,0.0013511693285268192,0.0952380952380952,reliable,0.09523809523809523,0.6190476190476191,1.0,0.9047619047619048,0.09523809523809523,mixed,monitor
low,1,NonAdenocarcinoma,sarcomatoid spindle cell morphology,38,35,3,0.0789473684210526,0,6,3,0.028154407983253627,0.1055008637669839,0.0031573476978672284,0.0789473684210526,reliable,0.0,0.15789473684210525,1.0,0.9210526315789473,0.07894736842105265,mixed,monitor
low,0,Adenocarcinoma,multifocal irregular glandular proliferation,96,90,6,0.0625,5,36,6,0.03863416063541078,0.09039752612200873,0.003301634475974382,0.0625,reliable,0.052083333333333336,0.375,1.0,0.9375,0.0625,mixed,monitor
high,0,Adenocarcinoma,floating micropapillary clusters,73,69,4,0.0547945205479452,4,23,4,0.18744140571263962,0.09290752468043807,0.017394122806152806,0.0547945205479452,reliable,0.0547945205479452,0.3150684931506849,1.0,0.9452054794520548,0.0547945205479452,mixed,monitor
high,0,Adenocarcinoma,atypical gland-forming tumor cells,119,113,6,0.0504201680672268,5,34,6,0.20111368006455294,0.10214489059788835,0.02047379627753389,0.0504201680672268,reliable,0.04201680672268908,0.2857142857142857,1.0,0.9495798319327732,0.05042016806722682,mixed,monitor
low,0,Adenocarcinoma,mucinous features,122,116,6,0.0491803278688524,5,36,6,0.06739675154008701,0.1049840316542836,0.007109228824551529,0.0491803278688524,reliable,0.040983606557377046,0.29508196721311475,1.0,0.9508196721311476,0.0491803278688524,mixed,monitor
low,0,Adenocarcinoma,cribriform glandular pattern,108,103,5,0.0462962962962962,4,29,5,0.05083685703748074,0.0853062432121347,0.004319726213604209,0.0462962962962962,reliable,0.037037037037037035,0.26851851851851855,1.0,0.9537037037037038,0.04629629629629617,mixed,monitor
high,0,Adenocarcinoma,fused back-to-back glands,109,104,5,0.0458715596330275,4,33,5,0.20494787203609394,0.09564278596038113,0.01966541473232547,0.0458715596330275,reliable,0.03669724770642202,0.30275229357798167,1.0,0.9541284403669725,0.04587155963302747,mixed,monitor
high,0,Adenocarcinoma,tumor cells lining fibrovascular cores,121,116,5,0.0413223140495867,4,36,5,0.2064322082649085,0.10998395097649782,0.02276450900114637,0.0413223140495867,reliable,0.03305785123966942,0.2975206611570248,1.0,0.9586776859504132,0.04132231404958675,mixed,monitor
low,0,Adenocarcinoma,alveolar replacement by atypical glands,106,102,4,0.0377358490566037,3,20,4,0.06642574463303215,0.09246350613967423,0.006275416192744666,0.0377358490566037,reliable,0.02830188679245283,0.18867924528301888,1.0,0.9622641509433963,0.037735849056603654,mixed,monitor
high,0,Adenocarcinoma,hobnail adenocarcinoma cells,99,96,3,0.0303030303030303,2,30,3,0.19019387534471469,0.0929907266088206,0.017595910548345337,0.0303030303030303,reliable,0.020202020202020204,0.30303030303030304,1.0,0.9696969696969697,0.030303030303030276,mixed,monitor
