rank,feature_name,correct_mean,correct_std,error_mean,error_std,visual_override_mean,visual_override_std,non_visual_override_mean,non_visual_override_std,threshold_direction,override_direction,auc_error,auc_visual_override,missing_ratio,separability_score
1,visual_margin_abs,0.8559443949214529,0.31029494714155814,0.31229975099112467,0.27047213619481325,0.4206349372299268,0.24224256832625599,0.8331456068509775,0.33458242999283544,lower=>error,lower=>override,0.8907828282828283,0.8270293242668934,0.0,0.8589060762748608
2,prediction_confidence_margin,9.564518390054053,3.5497845355444255,3.5241993500126734,3.059222601376297,4.689850642130925,2.8309001958675286,9.313937937027841,3.803538667785506,lower=>error,lower=>override,0.88510101010101,0.8219294517637059,0.0,0.8535152309323579
3,prompt_error_risk_score,0.08542167250469512,0.058150634656917756,0.163077307864533,0.06304647530280247,0.15462005140243085,0.06180120537916867,0.0881742830616372,0.06047533087057029,higher=>error,higher=>override,0.8273358585858586,0.8079048023799406,0.0,0.8176203304828995
4,prompt_reliability_score,0.9145783274953048,0.058150634656917735,0.836922692135467,0.06304647530280247,0.845379948597569,0.061801205379168674,0.9118257169383628,0.06047533087057027,lower=>error,lower=>override,0.8273358585858586,0.8079048023799406,0.0,0.8176203304828995
5,concept_margin_abs,0.05831307762905036,0.024321418048397832,0.027982967533817904,0.01998778147496146,0.03276823887762682,0.020294261424445147,0.057131535761947155,0.025071100951098473,lower=>error,lower=>override,0.8279671717171717,0.7722056948576286,0.0,0.8000864332874001
6,dominant_source_ratio,0.8501403503845253,0.07968475924215036,0.7298192064601721,0.16480539921581272,0.7972869450077014,0.1136138557153185,0.8419708127008805,0.09550168201279219,lower=>error,lower=>override,0.7509469696969697,0.651508712282193,0.0,0.7012278409895814
7,high_margin_abs,0.0852824357743057,0.023192043851608064,0.05736833792697222,0.03693444322898456,0.058812149872000376,0.04141276205680453,0.08440762889849338,0.023704331215502427,lower=>error,lower=>override,0.726010101010101,0.6629834254143646,0.0,0.6944967632122327
8,visual_over_concept_ratio,17.922318517545296,23.67481077386867,12.446642409819454,11.689784584363062,15.824851146642569,11.971959706226523,17.52842296993574,23.469539499789033,lower=>error,lower=>override,0.7446338383838383,0.6353591160220995,0.0,0.689996477202969
9,low_margin_abs,0.04809273463714896,0.029798397903802985,0.03200596675095659,0.021406413980423335,0.026396058007286668,0.018489162461500477,0.04805127040641276,0.029603319027168437,lower=>error,lower=>override,0.6553030303030303,0.7169570760730982,0.0,0.6861300531880643
10,low_high_margin_agreement,0.30198694979345225,0.4793149868099988,-0.06794632869293181,0.5110031713009093,0.10001170856912237,0.44813686820786025,0.27970451400981344,0.4950994890307083,lower=>error,lower=>override,0.7029671717171717,0.6187845303867403,0.0,0.660875851051956
11,low_high_sign_agreement,0.7272727272727273,0.4453617714151228,0.4444444444444444,0.4969039949999533,0.5384615384615384,0.4985185152621431,0.712707182320442,0.4524993420871434,lower=>error,lower=>override,0.6414141414141414,0.5871228219294518,0.0,0.6142684816717966
12,csg_abs_margin,3.7922167473051046e-05,3.109454426960566e-05,2.3313773811844566e-05,2.2021986414145235e-05,2.6586099132046023e-05,2.4574967770447617e-05,3.728359179642866e-05,3.092894064649392e-05,lower=>error,lower=>override,0.6313131313131313,0.5907352316192095,0.0,0.6110241814661703
13,visual_concept_conflict,0.028409090909090908,0.16613853996833494,0.2222222222222222,0.41573970964154905,0.15384615384615385,0.36080121229410994,0.03867403314917127,0.19281688802889643,higher=>error,higher=>override,0.5969065656565656,0.5575860603484913,0.0,0.5772463130025285
