slide_id,label,pred,correct,pred_margin,failure_type,failure_labels,dominant_source,dominant_source_ratio,low_true_vs_wrong_margin,high_true_vs_wrong_margin,visual_effective_margin,csg_effective_margin,visual_source_ratio,visual_supports_true,visual_supports_pred,visual_supports_wrong,low_high_agreement,concept_agreement,prompt_confusion_flag,visual_residual_override_flag,uncertain_margin_flag,high_scale_dominant_wrong_flag,low_scale_dominant_wrong_flag,csg_misleading_flag,concept_margin_abs,low_margin_abs,high_margin_abs,low_high_margin_agreement,low_high_sign_agreement,visual_concept_conflict,visual_margin_abs,visual_over_concept_ratio,prompt_error_risk_score,prompt_reliability_score,csg_abs_margin,prediction_confidence_margin,prob_class_0,prob_class_1,final_logit_class_0,final_logit_class_1,low_logit_class_0,low_logit_class_1,high_logit_class_0,high_logit_class_1,visual_logit_class_0,visual_logit_class_1,visual_alpha,csg_logit_class_0,csg_logit_class_1,csg_alpha,top_csg_pair_class_0,top_csg_pair_class_1,top_csg_pair_score_class_0,top_csg_pair_score_class_1,top_low_concepts_for_pred,top_high_concepts_for_pred,top_low_concepts_for_true,top_high_concepts_for_true,label_name,pred_name,final_true_vs_wrong_margin,final_support_class,final_support_label,final_abs_margin,low_support_class,low_support_label,low_abs_margin,high_support_class,high_support_label,high_abs_margin,visual_true_vs_wrong_margin,visual_support_class,visual_support_label,visual_abs_margin,csg_true_vs_wrong_margin,csg_support_class,csg_support_label,visual_effective_abs_margin,csg_effective_abs_margin,concept_margin_mean,concept_abs_margin_max,available_source_count,total_abs_source_margin,low_source_ratio,high_source_ratio,csg_source_ratio,evidence_agreement,confidence_level,low_available,high_available,low_supports_true,high_supports_true,low_high_same_support,low_high_conflict,low_high_joint_state,csg_max_pair_score,csg_pair_near_zero,csg_margin_near_zero,csg_logits_near_zero,csg_export_capture_status,csg_inactive_or_zero_flag,visual_override_candidate,prompt_confusion_score,prompt_confusion_note,primary_failure_type,supporting_notes,is_error,true_vs_wrong_margin,fold,split,top_low_region_idx_for_pred,top_high_region_idx_for_pred,top_low_region_score_for_pred,top_high_region_score_for_pred,top_low_region_x,top_low_region_y,top_high_region_x,top_high_region_y
2460239-B2,0,0,True,10.185800552368164,correct_prediction,,visual,0.8790062940542338,0.0168180250329897,0.1081487610936165,0.9079938436407956,-1.7006209313276655e-05,0.8790062940542338,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0624833930633031,0.0168180250329897,0.1081487610936165,0.15550825421320882,1.0,0.0,0.9079938436407956,14.531762747277345,0.04464875076000609,0.955351249239994,1.7006209313276655e-05,10.185800552368164,0.999962329864502,3.770046168938279e-05,6.9005045890808105,-3.2852962017059326,0.0185641031712293,0.0017460781382396,0.1940432339906692,0.0858944728970527,9.896114349365234,-8.54710865020752,0.0492318421602249,-0.0001471064024372,2.8430675229174085e-05,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_nuclear_molding_high,1.478307581237459e-06,6.526857305289013e-06,adeno_mucinous:0.0048 | adeno_alveolar_replacement_low:0.0026 | adeno_multifocal_glandular_low:0.0021 | adeno_lepidic:0.0019 | adeno_cribriform_low:0.0015,adeno_papillary_high:0.0218 | adeno_atypical_glands_high:0.0216 | adeno_fused_glands_high:0.0202 | adeno_micropapillary_high:0.0182 | adeno_hobnail_high:0.0169,adeno_mucinous:0.0048 | adeno_alveolar_replacement_low:0.0026 | adeno_multifocal_glandular_low:0.0021 | adeno_lepidic:0.0019 | adeno_cribriform_low:0.0015,adeno_papillary_high:0.0218 | adeno_atypical_glands_high:0.0216 | adeno_fused_glands_high:0.0202 | adeno_micropapillary_high:0.0182 | adeno_hobnail_high:0.0169,Adenocarcinoma,Adenocarcinoma,10.185800790786743,0,Adenocarcinoma,10.185800790786743,0,Adenocarcinoma,0.0168180250329897,0,Adenocarcinoma,0.1081487610936165,18.443222999572757,0,Adenocarcinoma,18.443222999572757,-0.0001755370776663,1.0,NonAdenocarcinoma,0.9079938436407956,1.7006209313276655e-05,0.0624833930633031,0.1081487610936165,4,1.0329776359767149,0.0162811124338502,0.1046961302229532,1.6463288962879352e-05,source_conflict,medium,True,True,True,True,True,False,both_support_true,6.526857305289013e-06,False,False,False,active_and_captured,False,False,0.0430472258593653,,correct_prediction,,False,10.185800790786743,0,test,0,0,0.0444985702633857,0.2133730202913284,64135.67578125,43988.6015625,109578.859375,42590.80078125
2460628-B2,0,0,True,13.46017360687256,correct_prediction,,visual,0.8786989194097953,0.0627065226435661,0.1028168275952338,1.19957744057784,-7.380321105324834e-05,0.8786989194097953,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0827616751194,0.0627065226435661,0.1028168275952338,0.6098857950609725,1.0,0.0,1.19957744057784,14.494359120295881,0.0434612008152394,0.9565387991847605,7.380321105324834e-05,13.46017360687256,0.9999985694885254,1.4266593098000158e-06,9.112239837646484,-4.347933769226074,0.0811124593019485,0.0184059366583824,0.2149006128311157,0.1120837852358818,12.75917625427246,-11.606709480285645,0.0492318421602249,-0.0006394768133759,0.0001223155268235,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_nuclear_molding_high,6.789045528421411e-06,1.069594145519659e-05,adeno_mucinous:0.0110 | adeno_lepidic:0.0092 | adeno_alveolar_replacement_low:0.0089 | adeno_cribriform_low:0.0070 | adeno_multifocal_glandular_low:0.0065,adeno_papillary_high:0.0251 | adeno_atypical_glands_high:0.0242 | adeno_fused_glands_high:0.0221 | adeno_micropapillary_high:0.0198 | adeno_hobnail_high:0.0197,adeno_mucinous:0.0110 | adeno_lepidic:0.0092 | adeno_alveolar_replacement_low:0.0089 | adeno_cribriform_low:0.0070 | adeno_multifocal_glandular_low:0.0065,adeno_papillary_high:0.0251 | adeno_atypical_glands_high:0.0242 | adeno_fused_glands_high:0.0221 | adeno_micropapillary_high:0.0198 | adeno_hobnail_high:0.0197,Adenocarcinoma,Adenocarcinoma,13.46017360687256,0,Adenocarcinoma,13.46017360687256,0,Adenocarcinoma,0.0627065226435661,0,Adenocarcinoma,0.1028168275952338,24.365885734558105,0,Adenocarcinoma,24.365885734558105,-0.0007617923401994,1.0,NonAdenocarcinoma,1.19957744057784,7.380321105324834e-05,0.0827616751194,0.1028168275952338,4,1.3651745940276934,0.0459329692464919,0.0753140499720933,5.406137161951257e-05,source_conflict,high,True,True,True,True,True,False,both_support_true,1.069594145519659e-05,False,False,False,active_and_captured,False,False,0.0430472258593653,,correct_prediction,,False,13.46017360687256,0,test,3,0,0.104091964662075,0.2374751567840576,13488.6884765625,20219.94140625,37172.10546875,39833.80078125
2460641-B2,0,0,True,6.654242992401123,correct_prediction,,visual,0.8219358462927856,0.0428679920732975,0.0772230923175812,0.5547828801209959,-9.705983662925185e-05,0.8219358462927856,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0600455421954393,0.0428679920732975,0.0772230923175812,0.5551188224501836,1.0,0.0,0.5547828801209959,9.239368316723,0.09617300558326239,0.9038269944167379,9.705983662925185e-05,6.654242992401123,0.9987131357192992,0.0012868850026279,6.185484886169434,-0.4687581956386566,0.1012185290455818,0.0583505369722843,0.2053929269313812,0.1281698346138,6.514917373657227,-4.753864288330078,0.0492318421602249,-0.0007465753587894,0.0002552704827394,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_inflammatory_high,7.90455760579789e-06,1.811345646274276e-05,adeno_mucinous:0.0119 | adeno_alveolar_replacement_low:0.0113 | adeno_lepidic:0.0101 | adeno_glandular_infiltration_low:0.0098 | adeno_multifocal_glandular_low:0.0083,adeno_atypical_glands_high:0.0241 | adeno_papillary_high:0.0238 | adeno_fused_glands_high:0.0228 | adeno_hobnail_high:0.0179 | adeno_intracytoplasmic_mucin_high:0.0177,adeno_mucinous:0.0119 | adeno_alveolar_replacement_low:0.0113 | adeno_lepidic:0.0101 | adeno_glandular_infiltration_low:0.0098 | adeno_multifocal_glandular_low:0.0083,adeno_atypical_glands_high:0.0241 | adeno_papillary_high:0.0238 | adeno_fused_glands_high:0.0228 | adeno_hobnail_high:0.0179 | adeno_intracytoplasmic_mucin_high:0.0177,Adenocarcinoma,Adenocarcinoma,6.65424308180809,0,Adenocarcinoma,6.65424308180809,0,Adenocarcinoma,0.0428679920732975,0,Adenocarcinoma,0.0772230923175812,11.268781661987305,0,Adenocarcinoma,11.268781661987305,-0.0010018458415288,1.0,NonAdenocarcinoma,0.5547828801209959,9.705983662925185e-05,0.0600455421954393,0.0772230923175812,4,0.6749710243485038,0.0635108627287735,0.1144094924550554,0.0001437985233854,source_conflict,medium,True,True,True,True,True,False,both_support_true,1.811345646274276e-05,False,False,False,active_and_captured,False,False,0.0920290532658503,,correct_prediction,,False,6.65424308180809,0,test,15,0,0.1189378052949905,0.2281152158975601,66888.203125,44114.515625,61339.84765625,47187.1953125
2460960-B,0,0,True,12.286460876464844,correct_prediction,,visual,0.8828554935885483,0.0470738727599382,0.0988391637802124,1.1001398486894798,-6.253986415735692e-05,0.8828554935885483,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0729565182700753,0.0470738727599382,0.0988391637802124,0.4762674122235177,1.0,0.0,1.1001398486894798,15.079390776529506,0.038242261280824655,0.9617577387191752,6.253986415735692e-05,12.286460876464844,0.9999953508377076,4.613768851413624e-06,8.58499813079834,-3.701462745666504,0.0630114153027534,0.0159375425428152,0.2232777327299118,0.1244385689496994,11.870332717895508,-10.475770950317385,0.0492318421602249,-0.0005252340924926,0.0001202986532007,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_sarcomatoid_high,5.323199275153456e-06,1.221195543621434e-05,adeno_mucinous:0.0096 | adeno_alveolar_replacement_low:0.0069 | adeno_lepidic:0.0069 | adeno_cribriform_low:0.0056 | adeno_multifocal_glandular_low:0.0053,adeno_papillary_high:0.0257 | adeno_atypical_glands_high:0.0244 | adeno_fused_glands_high:0.0234 | adeno_hobnail_high:0.0207 | adeno_prominent_nucleoli_high:0.0206,adeno_mucinous:0.0096 | adeno_alveolar_replacement_low:0.0069 | adeno_lepidic:0.0069 | adeno_cribriform_low:0.0056 | adeno_multifocal_glandular_low:0.0053,adeno_papillary_high:0.0257 | adeno_atypical_glands_high:0.0244 | adeno_fused_glands_high:0.0234 | adeno_hobnail_high:0.0207 | adeno_prominent_nucleoli_high:0.0206,Adenocarcinoma,Adenocarcinoma,12.286460876464844,0,Adenocarcinoma,12.286460876464844,0,Adenocarcinoma,0.0470738727599382,0,Adenocarcinoma,0.0988391637802124,22.34610366821289,0,Adenocarcinoma,22.34610366821289,-0.0006455327456933,1.0,NonAdenocarcinoma,1.1001398486894798,6.253986415735692e-05,0.0729565182700753,0.0988391637802124,4,1.2461154250937878,0.0377764947066562,0.079317823846674,5.018785812128914e-05,source_conflict,high,True,True,True,True,True,False,both_support_true,1.221195543621434e-05,False,False,False,active_and_captured,False,False,0.0390383620398649,,correct_prediction,,False,12.286460876464844,0,test,3,0,0.0884742885828018,0.2450554966926574,83430.8359375,48735.24609375,57466.86328125,40854.41015625
2461671-B2,0,0,True,12.62728500366211,correct_prediction,,visual,0.8720014084249004,0.061120880767703,0.1027489081025123,1.1167398949561969,-5.326484171965648e-05,0.8720014084249004,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0819348944351076,0.061120880767703,0.1027489081025123,0.5948567424845319,1.0,0.0,1.1167398949561969,13.629600704992113,0.0448798433003002,0.9551201566996996,5.326484171965648e-05,12.62728500366211,0.9999966621398926,3.2812426979944576e-06,8.19837474822998,-4.428910732269287,0.0805209204554557,0.0194000396877527,0.1615022271871566,0.0587533190846443,11.972925186157228,-10.710359573364258,0.0492318421602249,-0.0004809813399333,6.881517765577883e-05,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_dense_eosinophilic_cytoplasm_high,4.434302809386281e-06,6.447235136874951e-06,adeno_mucinous:0.0110 | adeno_alveolar_replacement_low:0.0090 | adeno_lepidic:0.0089 | adeno_cribriform_low:0.0068 | adeno_micropapillary:0.0063,adeno_papillary_high:0.0195 | adeno_atypical_glands_high:0.0186 | adeno_fused_glands_high:0.0160 | adeno_micropapillary_high:0.0156 | adeno_hobnail_high:0.0155,adeno_mucinous:0.0110 | adeno_alveolar_replacement_low:0.0090 | adeno_lepidic:0.0089 | adeno_cribriform_low:0.0068 | adeno_micropapillary:0.0063,adeno_papillary_high:0.0195 | adeno_atypical_glands_high:0.0186 | adeno_fused_glands_high:0.0160 | adeno_micropapillary_high:0.0156 | adeno_hobnail_high:0.0155,Adenocarcinoma,Adenocarcinoma,12.627285480499268,0,Adenocarcinoma,12.627285480499268,0,Adenocarcinoma,0.061120880767703,0,Adenocarcinoma,0.1027489081025123,22.683284759521484,0,Adenocarcinoma,22.683284759521484,-0.000549796517589,1.0,NonAdenocarcinoma,1.1167398949561969,5.326484171965648e-05,0.0819348944351076,0.1027489081025123,4,1.2806629486681318,0.0477259694529834,0.0802310305060121,4.159161610402724e-05,source_conflict,high,True,True,True,True,True,False,both_support_true,6.447235136874951e-06,False,False,False,active_and_captured,False,False,0.0463210353831748,,correct_prediction,,False,12.627285480499268,0,test,15,2,0.1040046364068985,0.1838683038949966,61668.29296875,31960.904296875,98005.5546875,46495.9140625
2461677-B2,0,0,True,10.93467140197754,correct_prediction,,visual,0.8796287240650456,0.0403024274855852,0.0931543614715338,0.97546568855617,-2.9131124763510734e-05,0.8796287240650456,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0667283944785595,0.0403024274855852,0.0931543614715338,0.43264133690509865,1.0,0.0,0.97546568855617,14.618449854500799,0.03844379839088076,0.961556201609119,2.9131124763510734e-05,10.93467140197754,0.9999821186065674,1.782891013135668e-05,6.843171119689941,-4.091500759124756,0.0638809949159622,0.023578567430377,0.1090009808540344,0.0158466193825006,10.585145950317385,-9.22856903076172,0.0492318421602249,-0.0002668884990271,3.380123234819621e-05,0.0968810096383094,adeno_micropapillary -> adeno_lepidic_high,nonadeno_hamartoma_low -> nonadeno_dense_eosinophilic_cytoplasm_high,1.818405849007832e-06,4.004802121926332e-06,adeno_mucinous:0.0093 | adeno_alveolar_replacement_low:0.0070 | adeno_lepidic:0.0064 | adeno_multifocal_glandular_low:0.0057 | adeno_cribriform_low:0.0056,adeno_atypical_glands_high:0.0135 | adeno_papillary_high:0.0133 | adeno_prominent_nucleoli_high:0.0125 | adeno_hobnail_high:0.0109 | adeno_fused_glands_high:0.0107,adeno_mucinous:0.0093 | adeno_alveolar_replacement_low:0.0070 | adeno_lepidic:0.0064 | adeno_multifocal_glandular_low:0.0057 | adeno_cribriform_low:0.0056,adeno_atypical_glands_high:0.0135 | adeno_papillary_high:0.0133 | adeno_prominent_nucleoli_high:0.0125 | adeno_hobnail_high:0.0109 | adeno_fused_glands_high:0.0107,Adenocarcinoma,Adenocarcinoma,10.934671878814695,0,Adenocarcinoma,10.934671878814695,0,Adenocarcinoma,0.0403024274855852,0,Adenocarcinoma,0.0931543614715338,19.813714981079105,0,Adenocarcinoma,19.813714981079105,-0.0003006897313752,1.0,NonAdenocarcinoma,0.97546568855617,2.9131124763510734e-05,0.0667283944785595,0.0931543614715338,4,1.1089516086380526,0.0363428189035969,0.0840021879637654,2.6269067591946436e-05,source_conflict,medium,True,True,True,True,True,False,both_support_true,4.004802121926332e-06,False,False,False,active_and_captured,False,False,0.0390383620398649,,correct_prediction,,False,10.934671878814695,0,test,0,2,0.087817832827568,0.1299726665019989,104512.0703125,23246.5546875,72568.2421875,21220.8203125
2461700-B2,0,0,True,7.252614974975586,correct_prediction,,visual,0.8485918391258663,0.0177482687868178,0.0935980211943388,0.6241294841930338,-1.2661392134444708e-05,0.8485918391258663,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0556731449905783,0.0177482687868178,0.0935980211943388,0.18962226509005822,1.0,0.0,0.6241294841930338,11.210602244558965,0.04386992047882488,0.9561300795211751,1.2661392134444708e-05,7.252614974975586,0.9992921352386476,0.0007078183116391,4.995401859283447,-2.25721287727356,0.0255131218582391,0.0077648530714213,0.1207674890756607,0.0271694678813219,7.318737983703613,-5.358615875244141,0.0492318421602249,-0.0001233252551173,7.364878911175765e-06,0.0968810096383094,adeno_lepidic -> adeno_lepidic_high,nonadeno_hamartoma_low -> nonadeno_intercellular_bridges_high,6.69669134367723e-07,3.641525609054952e-06,adeno_mucinous:0.0047 | adeno_alveolar_replacement_low:0.0032 | adeno_multifocal_glandular_low:0.0029 | adeno_lepidic:0.0026 | adeno_cribriform_low:0.0022,adeno_papillary_high:0.0214 | adeno_atypical_glands_high:0.0177 | adeno_hobnail_high:0.0136 | adeno_fused_glands_high:0.0125 | adeno_micropapillary_high:0.0105,adeno_mucinous:0.0047 | adeno_alveolar_replacement_low:0.0032 | adeno_multifocal_glandular_low:0.0029 | adeno_lepidic:0.0026 | adeno_cribriform_low:0.0022,adeno_papillary_high:0.0214 | adeno_atypical_glands_high:0.0177 | adeno_hobnail_high:0.0136 | adeno_fused_glands_high:0.0125 | adeno_micropapillary_high:0.0105,Adenocarcinoma,Adenocarcinoma,7.252614736557007,0,Adenocarcinoma,7.252614736557007,0,Adenocarcinoma,0.0177482687868178,0,Adenocarcinoma,0.0935980211943388,12.677353858947754,0,Adenocarcinoma,12.677353858947754,-0.0001306901340284,1.0,NonAdenocarcinoma,0.6241294841930338,1.2661392134444708e-05,0.0556731449905783,0.0935980211943388,4,0.7354884355663248,0.0241312683225966,0.1272596776076682,1.72149438688257e-05,source_conflict,medium,True,True,True,True,True,False,both_support_true,3.641525609054952e-06,False,False,False,active_and_captured,False,False,0.0430472258593653,,correct_prediction,,False,7.252614736557007,0,test,0,13,0.0461525656282901,0.1619868278503418,33362.703125,22778.333984375,38559.67578125,24223.54296875
2462478-B2,0,0,True,7.28109884262085,correct_prediction,,visual,0.9012531777836512,-0.0036407411098479,0.0699486583471298,0.672093340298552,-4.9266373263047104e-05,0.9012531777836512,True,True,False,False,conflict,False,False,False,False,False,False,0.0331539586186409,0.0036407411098479,0.0699486583471298,-0.05204876256210982,0.0,0.0,0.672093340298552,20.27188813346307,0.046879704602479144,0.9531202953975209,4.9266373263047104e-05,7.28109884262085,0.9993120431900024,0.00068795500556,6.384708881378174,-0.8963901400566101,0.0256147682666778,0.0292555093765258,0.2367215901613235,0.1667729318141937,7.823660850524902,-5.827937602996826,0.0492318421602249,-0.0002473902422934,0.0002611343224998,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_sarcomatoid_high,1.8297788528798264e-06,2.01588718482526e-05,adeno_mucinous:0.0052 | adeno_multifocal_glandular_low:0.0033 | adeno_alveolar_replacement_low:0.0026 | adeno_solid:0.0024 | adeno_cribriform_low:0.0023,adeno_papillary_high:0.0283 | adeno_micropapillary_high:0.0277 | adeno_atypical_glands_high:0.0248 | adeno_fused_glands_high:0.0223 | adeno_hobnail_high:0.0218,adeno_mucinous:0.0052 | adeno_multifocal_glandular_low:0.0033 | adeno_alveolar_replacement_low:0.0026 | adeno_solid:0.0024 | adeno_cribriform_low:0.0023,adeno_papillary_high:0.0283 | adeno_micropapillary_high:0.0277 | adeno_atypical_glands_high:0.0248 | adeno_fused_glands_high:0.0223 | adeno_hobnail_high:0.0218,Adenocarcinoma,Adenocarcinoma,7.281099021434784,0,Adenocarcinoma,7.281099021434784,1,NonAdenocarcinoma,0.0036407411098479,0,Adenocarcinoma,0.0699486583471298,13.651598453521729,0,Adenocarcinoma,13.651598453521729,-0.0005085245647932,1.0,NonAdenocarcinoma,0.672093340298552,4.9266373263047104e-05,0.0331539586186409,0.0699486583471298,4,0.745732006128793,0.0048821038656334,0.0937986539028193,6.606444789569414e-05,source_conflict,medium,True,True,False,True,False,True,conflict,2.01588718482526e-05,False,False,False,active_and_captured,False,False,0.0546629194027697,,correct_prediction,,False,7.281099021434784,0,test,15,8,0.0492899417877197,0.2612227201461792,106978.3828125,37211.45703125,52997.42578125,39398.81640625
2462598-B,0,1,False,0.0087442398071289,low_high_conflict,low_high_conflict|uncertain_low_margin,high,0.4956345871289701,-0.0570922773331402,0.0580863207578659,-0.0019935925006535,2.3667539102976702e-05,0.0170107760841615,False,True,True,False,conflict,False,False,True,False,False,False,0.0004970217123628,0.0570922773331402,0.0580863207578659,-0.9828867896648268,0.0,1.0,0.0019935925006535,4.011077285087057,0.15736137391289484,0.8426386260871052,2.3667539102976702e-05,0.0087442398071289,0.4978139698505401,0.5021860599517822,2.2234206199646,2.2321648597717285,-0.044202335178852,0.0128899421542882,0.2366272509098053,0.1785409301519394,0.6701829433441162,0.710676908493042,0.0492318421602249,0.0003415505343582,9.725560812512413e-05,0.0968810096383094,adeno_lepidic -> adeno_solid_high,nonadeno_hamartoma_low -> nonadeno_spindle_atypia_high,7.228647064039251e-06,1.108950800698949e-05,nonadeno_hamartoma_low:0.0074 | nonadeno_fibroinflammatory_low:0.0025 | nonadeno_benign_reactive_low:0.0018 | nonadeno_small_cell_low:0.0010 | nonadeno_sarcomatoid_low:0.0010,nonadeno_hamartoma_high:0.0398 | nonadeno_fibrosis_inflammation_high:0.0252 | nonadeno_chondromyxoid_matrix_high:0.0244 | nonadeno_inflammatory_high:0.0165 | nonadeno_chondroid_matrix_high:0.0144,adeno_solid:-0.0022 | adeno_multifocal_glandular_low:-0.0026 | adeno_mucinous:-0.0027 | adeno_cribriform_low:-0.0037 | adeno_micropapillary:-0.0038,adeno_papillary_high:0.0261 | adeno_fused_glands_high:0.0257 | adeno_atypical_glands_high:0.0251 | adeno_mucinous_high:0.0247 | adeno_micropapillary_high:0.0211,Adenocarcinoma,NonAdenocarcinoma,-0.0087442398071284,1,NonAdenocarcinoma,0.0087442398071284,1,NonAdenocarcinoma,0.0570922773331402,0,Adenocarcinoma,0.0580863207578659,-0.0404939651489257,1,NonAdenocarcinoma,0.0404939651489257,0.000244294926233,0.0,Adenocarcinoma,0.0019935925006535,2.3667539102976702e-05,0.0004970217123628,0.0580863207578659,4,0.1171958581307626,0.4871526881900452,0.4956345871289701,0.000201948596823,source_conflict,low,True,True,False,True,False,True,conflict,1.108950800698949e-05,False,False,False,active_and_captured,False,False,0.1590900295131643,,low_high_conflict,low and high evidence support different classes. final prediction margin is in the low-confidence region.,True,-0.0087442398071284,0,test,15,13,0.0566001459956169,0.240129753947258,108452.8828125,20182.94140625,111556.4375,43086.48828125
2462637-B2,0,0,True,9.25536060333252,correct_prediction,,visual,0.8533416628162214,0.0542603940702973,0.0833515673875809,0.8010218843903585,-5.451227880488534e-05,0.8533416628162214,True,True,False,True,both_support_true,False,False,False,False,False,False,0.0688059807289391,0.0542603940702973,0.0833515673875809,0.6509822882872616,1.0,0.0,0.8010218843903585,11.641747939702816,0.04394190151381873,0.9560580984861812,5.451227880488534e-05,9.25536060333252,0.9999043941497804,9.558867895975708e-05,7.200438499450684,-2.054921865463257,0.0585976690053939,0.0043372749350965,0.2294597029685974,0.1461081355810165,8.982107162475586,-7.288295269012451,0.0492318421602249,-0.0004855692095588,7.710327918175608e-05,0.0968810096383094,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_spindle_atypia_high,5.59542968403548e-06,1.0557253517617935e-05,adeno_mucinous:0.0095 | adeno_alveolar_replacement_low:0.0067 | adeno_lepidic:0.0065 | adeno_cribriform_low:0.0049 | adeno_multifocal_glandular_low:0.0047,adeno_papillary_high:0.0319 | adeno_atypical_glands_high:0.0249 | adeno_micropapillary_high:0.0244 | adeno_fused_glands_high:0.0226 | adeno_hobnail_high:0.0210,adeno_mucinous:0.0095 | adeno_alveolar_replacement_low:0.0067 | adeno_lepidic:0.0065 | adeno_cribriform_low:0.0049 | adeno_multifocal_glandular_low:0.0047,adeno_papillary_high:0.0319 | adeno_atypical_glands_high:0.0249 | adeno_micropapillary_high:0.0244 | adeno_fused_glands_high:0.0226 | adeno_hobnail_high:0.0210,Adenocarcinoma,Adenocarcinoma,9.25536036491394,0,Adenocarcinoma,9.25536036491394,0,Adenocarcinoma,0.0542603940702973,0,Adenocarcinoma,0.0833515673875809,16.270402431488037,0,Adenocarcinoma,16.270402431488037,-0.0005626724887405,1.0,NonAdenocarcinoma,0.8010218843903585,5.451227880488534e-05,0.0688059807289391,0.0833515673875809,4,0.9386883581270418,0.0578044817542669,0.0887957826108461,5.807281866545496e-05,source_conflict,medium,True,True,True,True,True,False,both_support_true,1.0557253517617935e-05,False,False,False,active_and_captured,False,False,0.0430472258593653,,correct_prediction,,False,9.25536036491394,0,test,0,13,0.0858969315886497,0.2640619575977325,75470.125,44030.16796875,43995.2890625,48496.328125
