module_or_variant,source_stage,status,auc,acc,f1,balanced_acc,pr_auc,main_gain,main_drop,decision,reason
RCE-v4-CSG-a01-rq16 / DEG skeleton,Stage39,final_primary_model,0.9702127532300916,0.9225094813311256,0.9144563517525356,0.9171426221612052,0.9443991016694444,Best overall ranking metrics; evidence-driven default after Stage39 consolidation.,No stronger replacement found in Stage44/47/48b.,keep_primary,Stage39 final evidence package retained this as the most robust default model on AUC and PR-AUC.
"RCE-v4-CSG-a01-rq16 + Low-High Consistency, lambda=0.01, margin=0",Stage39,secondary_tradeoff_variant,0.9680769687487756,0.9276854868863842,0.9196623747674412,0.9196509038335524,0.9353752102077774,"ACC/F1/BalAcc trade-off gain; fixed_cases=6, regressed_cases=2, low_high_conflict_delta=-2",AUC delta -0.0039; PR-AUC delta -0.0034; visual_override_delta 1,keep_secondary_only,"Useful as an evidence-calibration trade-off, but not strong enough to replace the default main model."
ordinary region graph (rg_k8),Stage39/Stage28,negative_ablation,0.965456314414862,0.917322792585866,0.9074272300573888,0.9052168275702732,0.934208194676063,None that exceeded the skeleton baseline.,Stage39 concluded ordinary spatial region graph did not outperform the skeleton.,negative_ablation,Semantic region tokens did not provide a stable enough spatial inductive bias in the current setup.
ordinary concept graph (cg_k8_a005),Stage39/Stage31,negative_ablation,0.964562686188777,0.9100956145505048,0.8980919324312827,0.8930812729035568,0.9401420135597822,None that exceeded the skeleton baseline.,Stage39 concluded plain prompt-side graph smoothing weakened evidence discrimination.,negative_ablation,Ordinary concept/prompt graph smoothing blurred class-critical evidence instead of sharpening it.
scalar visual evidence gate (gate1),Stage39/Stage35,negative_ablation,0.9655463288425448,0.9100956145505048,0.9008458164727424,0.9026201757853538,0.9235299539911024,No robust gain over the skeleton baseline.,Stage39 concluded a global scalar gate could not safely suppress visual residual override.,negative_ablation,Visual residual interactions were sample-dependent and resisted one-number suppression.
HCRC-Light hcrc_a002_b8,Stage44,5fold_complete_not_primary,0.9612999727116032,0.9245766785962288,0.9167202546593656,0.9194328721015538,0.920945322480254,ACC +0.0021; F1 +0.0023; BalAcc +0.0023; Sens +0.0030; Spec +0.0016,AUC -0.0089; PR-AUC -0.0235,negative_ablation,Completed 5-fold cleanly but no HCRC variant exceeded the baseline; ranking metrics stayed below the default model.
HCRC-Light hcrc_a005_b8,Stage44,5fold_complete_not_primary,0.9614373606644656,0.9008493136050426,0.8855517113915639,0.8845762435807718,0.9180740940907268,ACC -0.0217; F1 -0.0289; BalAcc -0.0326; Sens -0.0666; Spec +0.0015,AUC -0.0088; PR-AUC -0.0263,negative_ablation,Completed 5-fold cleanly but no HCRC variant exceeded the baseline; ranking metrics stayed below the default model.
HCRC-Light hcrc_a01_b8,Stage44,5fold_complete_not_primary,0.968305798428224,0.9194166978259708,0.9109518803833692,0.912665010220907,0.9350723049787172,ACC -0.0031; F1 -0.0035; BalAcc -0.0045; Sens -0.0090; Spec +0.0000,AUC -0.0019; PR-AUC -0.0093,negative_ablation,Completed 5-fold cleanly but no HCRC variant exceeded the baseline; ranking metrics stayed below the default model.
PRARC-v1 prarc_v1_g05,Stage47,5fold_complete_not_primary,0.96000751877691,0.9132151060306608,0.9035291601668944,0.9028421917123404,0.9329697362697352,Spec +0.0016,AUC -0.0102; ACC -0.0093; F1 -0.0109; BalAcc -0.0143; PR-AUC -0.0114,negative_ablation,5-fold performance stayed below baseline; Step47 concluded the gate remained near-scalar.
PRARC-v1 prarc_v1_g08,Stage47,5fold_complete_not_primary,0.958775481597916,0.8987714331499387,0.8879666188056291,0.8876492709813496,0.920960799151564,Spec -0.0109,AUC -0.0114; ACC -0.0237; F1 -0.0265; BalAcc -0.0295; PR-AUC -0.0234,negative_ablation,5-fold performance stayed below baseline; Step47 concluded the gate remained near-scalar.
