family,variant,source_stage,status,auc,acc,f1,balanced_acc,pr_auc,auc_delta_vs_baseline,pr_auc_delta_vs_baseline,gate_std,gate_range,decision,reason
HCRC-Light,hcrc_a002_b8,Stage44,ok,0.9612999727116032,0.9245766785962288,0.9167202546593656,0.9194328721015538,0.920945322480254,-0.0089127805184884,-0.0234537791891903,,,not_primary,Below baseline on the main ranking metrics.
HCRC-Light,hcrc_a005_b8,Stage44,ok,0.9614373606644656,0.9008493136050426,0.8855517113915639,0.8845762435807718,0.9180740940907268,-0.0087753925656258,-0.0263250075787176,,,not_primary,Below baseline on the main ranking metrics.
HCRC-Light,hcrc_a01_b8,Stage44,ok,0.968305798428224,0.9194166978259708,0.9109518803833692,0.912665010220907,0.9350723049787172,-0.0019069548018676,-0.0093267966907273,,,not_primary,Below baseline on the main ranking metrics.
PRARC-v1,prarc_v1_g05,Stage47,ok,0.96000751877691,0.9132151060306608,0.9035291601668944,0.9028421917123404,0.9329697362697352,-0.0102052344531815,-0.0114293653997091,,,not_primary,5-fold metrics below baseline and gate too close to scalar behavior.
PRARC-v1,prarc_v1_g08,Stage47,ok,0.958775481597916,0.8987714331499387,0.8879666188056291,0.8876492709813496,0.920960799151564,-0.0114372716321755,-0.0234383025178802,,,not_primary,5-fold metrics below baseline and gate too close to scalar behavior.
PRARC-v1,prarc_v1_g10,Stage47,ok,0.9569869703469054,0.8966561615298329,0.8837982758031864,0.8787376200600434,0.9303236281045776,-0.0132257828831862,-0.0140754735648667,,,not_primary,5-fold metrics below baseline and gate too close to scalar behavior.
PRARC-v2,v2_gain2_g08,Stage48b,smoke,0.973248106060606,0.8917525773195877,0.8702341137123746,0.8482481060606061,0.939597998013274,,,0.0016590352169152,0.0049582719802856,not_primary,Smoke metrics were stable but gate dynamics stayed below the Step49 promotion bar.
PRARC-v2,v2_gain4_g08,Stage48b,smoke,0.9731297348484848,0.8917525773195877,0.8702341137123746,0.8482481060606061,0.9395759890765488,,,0.0002725083719205,0.0008968114852905,not_primary,Smoke metrics were stable but gate dynamics stayed below the Step49 promotion bar.
PRARC-v2,v2_confprior_g08,Stage48b,smoke,0.973248106060606,0.8917525773195877,0.8702341137123746,0.8482481060606061,0.939597998013274,,,0.0017462802409804,0.0054802894592285,not_primary,Smoke metrics were stable but gate dynamics stayed below the Step49 promotion bar.
PRARC-v2,v2_varreg_g08,Stage48b,smoke,0.973248106060606,0.8917525773195877,0.8702341137123746,0.8482481060606061,0.939597998013274,,,0.0016590352169152,0.0049582719802856,not_primary,Smoke metrics were stable but gate dynamics stayed below the Step49 promotion bar.
