fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,full_top1_margin,concept_top1_margin,visual_top1_margin,csg_top1_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
1,2461703-B3,2461703-B3,0,0,0,0,0,True,True,True,True,9.051570892333984,4.47925329208374,4.581052780151367,0.009219512343406677,9.051570892333984,4.47925329208374,4.581052780151367,0.009219512343406677,0.3687129616737366,0.6312870979309082,3.141193519695662e-05
1,2461861-B2,2461861-B2,0,0,0,0,0,True,True,True,True,5.641434669494629,1.7878590822219849,3.8623101711273193,0.008533873595297337,5.641434669494629,1.7878590822219849,3.8623101711273193,0.008533873595297337,0.6229296922683716,0.3770703375339508,4.08749510825146e-05
1,2462885-B2,2462885-B2,0,0,0,0,0,True,True,True,True,7.353776931762695,3.9266068935394287,3.4359054565429688,0.008603278547525406,7.353776931762695,3.9266068935394287,3.4359054565429688,0.008603278547525406,0.40061789751052856,0.5993821024894714,3.471919262665324e-05
1,2462987-B2,2462987-B2,0,0,0,0,0,True,True,True,True,6.074958801269531,2.8950412273406982,3.1886520385742188,0.007429090328514576,6.074958801269531,2.8950412273406982,3.1886520385742188,0.007429090328514576,0.786214292049408,0.21378575265407562,5.897989831282757e-05
1,2463135-B,2463135-B,0,0,0,0,0,True,True,True,True,12.504475593566895,6.663764953613281,5.849445819854736,0.007805193308740854,12.504475593566895,6.663764953613281,5.849445819854736,0.007805193308740854,0.303835391998291,0.696164608001709,9.463528112974018e-05
1,2463187-B2,2463187-B2,0,0,0,0,0,True,True,True,True,10.831962585449219,5.786849021911621,5.053849220275879,0.008589047007262707,10.831962585449219,5.786849021911621,5.053849220275879,0.008589047007262707,0.34134188294410706,0.6586581468582153,4.581999019137584e-05
1,2463404-B2,2463404-B2,0,0,0,0,0,True,True,True,True,8.164606094360352,2.9463584423065186,5.226983070373535,0.008677146397531033,8.164606094360352,2.9463584423065186,5.226983070373535,0.008677146397531033,0.5461263656616211,0.4538736343383789,1.0380440471635666e-05
1,2463643-B,2463643-B,0,0,0,0,0,True,True,True,True,10.955940246582031,5.283021450042725,5.681653022766113,0.0082096541300416,10.955940246582031,5.283021450042725,5.681653022766113,0.0082096541300416,0.34382545948028564,0.6561746001243591,7.711549551459029e-05
1,2464438-B5,2464438-B5,0,0,0,0,0,True,True,True,True,4.997393608093262,2.689246654510498,2.3168821334838867,0.007832293398678303,4.997393608093262,2.689246654510498,2.3168821334838867,0.007832293398678303,0.5892383456230164,0.41076165437698364,3.175071469740942e-05
1,2464929-B,2464929-B,0,1,1,1,1,False,False,False,False,-4.074120998382568,-2.3804166316986084,-1.684969186782837,0.010809862054884434,4.074120998382568,2.3804166316986084,1.684969186782837,0.010809862054884434,0.16696880757808685,0.8330312371253967,2.5877827283693478e-05
1,2465263-B2,2465263-B2,0,0,0,0,0,True,True,True,True,11.281145095825195,5.2508111000061035,6.039069175720215,0.008452605456113815,11.281145095825195,5.2508111000061035,6.039069175720215,0.008452605456113815,0.37239882349967957,0.627601146697998,6.317054067039862e-05
1,2465636-B,2465636-B,0,0,0,0,0,True,True,True,True,12.469389915466309,6.519770622253418,5.9583539962768555,0.008864518254995346,12.469389915466309,6.519770622253418,5.9583539962768555,0.008864518254995346,0.32565951347351074,0.6743404865264893,2.473595304763876e-05
1,2465989-B2,2465989-B2,0,0,0,0,0,True,True,True,True,10.903770446777344,5.811738014221191,5.100768089294434,0.008850650861859322,10.903770446777344,5.811738014221191,5.100768089294434,0.008850650861859322,0.3401101231575012,0.6598898768424988,2.0885043340967968e-05
1,2466580-B5,2466580-B5,0,0,0,0,0,True,True,True,True,9.274457931518555,4.531179428100586,4.752013206481934,0.00920033548027277,9.274457931518555,4.531179428100586,4.752013206481934,0.00920033548027277,0.4092717468738556,0.590728223323822,2.5267825549235567e-05
1,2466581-B1,2466581-B1,0,0,0,0,0,True,True,True,True,11.61996841430664,6.693173408508301,4.935530185699463,0.008628420531749725,11.61996841430664,6.693173408508301,4.935530185699463,0.008628420531749725,0.2891770303249359,0.7108229398727417,3.998011743533425e-05
1,2466866-B,2466866-B,0,0,0,0,0,True,True,True,True,2.8586485385894775,1.680173397064209,1.1872100830078125,0.008958712220191956,2.8586485385894775,1.680173397064209,1.1872100830078125,0.008958712220191956,0.2389334887266159,0.7610665559768677,1.8118038497050293e-05
1,2466884-B2,2466884-B2,0,0,0,0,0,True,True,True,True,9.588582992553711,4.910585403442383,4.686733245849609,0.010343167930841446,9.588582992553711,4.910585403442383,4.686733245849609,0.010343167930841446,0.36706024408340454,0.6329397559165955,9.703863906906918e-05
1,2466899-B2,2466899-B2,0,0,0,0,0,True,True,True,True,6.173465728759766,5.363276958465576,0.8189243078231812,0.007037521339952946,6.173465728759766,5.363276958465576,0.8189243078231812,0.007037521339952946,0.1562526524066925,0.8437473773956299,8.078862447291613e-05
1,2468698-B2,2468698-B2,0,0,0,0,0,True,True,True,True,7.6646223068237305,3.590029716491699,4.0833282470703125,0.009035594761371613,7.6646223068237305,3.590029716491699,4.0833282470703125,0.009035594761371613,0.4258395731449127,0.5741604566574097,0.00012669910211116076
1,2469024-B,2469024-B,0,0,0,0,0,True,True,True,True,6.585906028747559,3.571326732635498,3.0233144760131836,0.008830047212541103,6.585906028747559,3.571326732635498,3.0233144760131836,0.008830047212541103,0.29162150621414185,0.7083784937858582,1.0448482498759404e-05
1,2469505-B2,2469505-B2,0,0,0,0,0,True,True,True,True,9.087932586669922,4.117206573486328,4.979461193084717,0.008708009496331215,9.087932586669922,4.117206573486328,4.979461193084717,0.008708009496331215,0.45842498540878296,0.541575014591217,1.2998250895179808e-05
1,2469969-B2,2469969-B2,0,0,0,0,0,True,True,True,True,2.4794416427612305,0.5094108581542969,1.9787662029266357,0.009541435167193413,2.4794416427612305,0.5094108581542969,1.9787662029266357,0.009541435167193413,0.24478165805339813,0.7552183866500854,5.437718209577724e-05
1,2470260-B,2470260-B,0,0,0,0,0,True,True,True,True,10.722036361694336,6.195090293884277,4.535680294036865,0.008876292034983635,10.722036361694336,6.195090293884277,4.535680294036865,0.008876292034983635,0.2989442050457001,0.7010557651519775,3.151587588945404e-05
