fold,branch,available,num_samples,ACC,BACC,F1,AUC,PR_AUC
0,full,True,194,0.9432989690721648,0.9386837121212122,0.937077989090373,0.9792850378787878,0.957569257864516
0,concept_only,True,194,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9777462121212122,0.9567137906950652
0,full_without_visual,True,194,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9777462121212122,0.9567137906950652
0,visual_only,True,194,0.9432989690721648,0.9460227272727272,0.9379416640009306,0.98046875,0.9601065189727188
0,low_only,True,194,0.8144329896907216,0.8116714015151515,0.8000687049124012,0.8740530303030304,0.827785690512295
0,high_only,True,194,0.9175257731958762,0.9008049242424244,0.9067307692307692,0.9653172348484848,0.9301369762810684
0,csg_only,True,194,0.8144329896907216,0.7969933712121212,0.7948055000587613,0.8555871212121211,0.7392901566669962
1,full,True,194,0.9072164948453608,0.8893229166666667,0.8950721153846154,0.9494554924242424,0.9187157755476248
1,concept_only,True,194,0.9020618556701032,0.8854166666666667,0.8896770524677502,0.9389204545454544,0.9091748450984092
1,full_without_visual,True,194,0.9020618556701032,0.8854166666666667,0.8896770524677502,0.9389204545454544,0.9091748450984092
1,visual_only,True,194,0.9072164948453608,0.8929924242424243,0.8958855098389982,0.952533143939394,0.9128983765736772
1,low_only,True,194,0.7371134020618557,0.7677556818181819,0.7311047696697921,0.8239820075757576,0.6867636019594836
1,high_only,True,194,0.9020618556701032,0.8817471590909092,0.8887983829607506,0.9294507575757576,0.8820117864310798
1,csg_only,True,194,0.6804123711340206,0.5303030303030303,0.4596585804132974,0.8647017045454546,0.8276570606427838
2,full,True,194,0.9329896907216496,0.913562110706311,0.9239146830784084,0.9870725114584558,0.9755446290347976
2,concept_only,True,194,0.9484536082474226,0.9359501704078036,0.9421586165772212,0.9874250793277706,0.9783514038171096
2,full_without_visual,True,194,0.9484536082474226,0.9359501704078036,0.9421586165772212,0.9874250793277706,0.9783514038171096
2,visual_only,True,194,0.8865979381443299,0.8534492889881302,0.8684826821151239,0.9716770478317076,0.9437493371098332
2,low_only,True,194,0.788659793814433,0.761017745916089,0.7637449134166989,0.8562698319426489,0.7875719360579241
2,high_only,True,194,0.9175257731958762,0.9229051592431544,0.911141646627734,0.9658009166764602,0.962076543538037
2,csg_only,True,194,0.520618556701031,0.499882477376895,0.4958504484868807,0.4645669291338582,0.4568424364712717
3,full,True,193,0.917098445595855,0.9078978764018134,0.9078978764018134,0.963254593175853,0.920917304650172
3,concept_only,True,193,0.922279792746114,0.9118348842758291,0.913336326897171,0.9597947983774756,0.9141378323319104
3,full_without_visual,True,193,0.922279792746114,0.9118348842758291,0.913336326897171,0.9597947983774756,0.9141378323319104
3,visual_only,True,193,0.911917098445596,0.9039608685277976,0.9024933876192458,0.9615843474111192,0.9169365417896662
3,low_only,True,193,0.772020725388601,0.7576354092102124,0.7518700327255727,0.8697208303507517,0.8113865893508557
3,high_only,True,193,0.9067357512953368,0.8927463612502983,0.8956129807692308,0.9304461942257216,0.879613570418673
3,csg_only,True,193,0.7305699481865285,0.671558100691959,0.679565772669221,0.7542352660462897,0.6362580726350038
4,full,True,193,0.911917098445596,0.918515867334765,0.9050224345057172,0.9675495108565976,0.9366361927984016
4,concept_only,True,193,0.9067357512953368,0.9109401097590072,0.8991289198606272,0.963254593175853,0.9342150702921188
4,full_without_visual,True,193,0.9067357512953368,0.9109401097590072,0.8991289198606272,0.963254593175853,0.9342150702921188
4,visual_only,True,193,0.8963730569948186,0.9103435934144596,0.8898401826484018,0.95299451204963,0.8801978235159027
4,low_only,True,193,0.8031088082901554,0.799451204963016,0.7883283306395752,0.870436649964209,0.8125223336430619
4,high_only,True,193,0.9067357512953368,0.9109401097590072,0.8991289198606272,0.9589596754951086,0.8932093047302014
4,csg_only,True,193,0.4145077720207253,0.5514793605344787,0.3723848168292613,0.7548317823908375,0.5862236639540043
