model_name,source_dir,fold,AUC,ACC,F1,Balanced_ACC,BACC,PR_AUC,delta_vs_stage58C_auc,delta_vs_stage58C_acc,delta_vs_stage58C_f1,delta_vs_stage58C_bacc,delta_vs_stage58C_pr_auc
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,1,0.975734,0.907216,0.898783,0.90767,0.90767,0.954798,,,,,
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,2,0.954545,0.912371,0.902041,0.900568,0.900568,0.920913,,,,,
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,3,0.992008,0.958763,0.954401,0.954401,0.954401,0.986152,,,,,
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,4,0.968146,0.911917,0.902493,0.903961,0.903961,0.943354,,,,,
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,5,0.96063,0.92228,0.914564,0.919112,0.919112,0.916778,,,,,
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,1,0.968395,0.927835,0.918389,0.912287,0.912287,0.945293,0.0,0.0,0.0,0.0,0.0
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,2,0.945904,0.907216,0.896662,0.896662,0.896662,0.910277,0.0,0.0,0.0,0.0,0.0
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,3,0.98531,0.943299,0.93562,0.924962,0.924962,0.966764,0.0,0.0,0.0,0.0,0.0
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,4,0.962419,0.932642,0.925436,0.926986,0.926986,0.930931,0.0,0.0,0.0,0.0,0.0
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,5,0.962181,0.927461,0.922016,0.937604,0.937604,0.904491,0.0,0.0,0.0,0.0,0.0
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,1,0.979285,0.943299,0.937078,0.938684,0.938684,0.957569,0.01089,0.015464,0.018689,0.026397,0.012277
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,2,0.949455,0.907216,0.895072,0.889323,0.889323,0.918716,0.003551,0.0,-0.00159,-0.007339,0.008439
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,3,0.987073,0.93299,0.923915,0.913562,0.913562,0.975545,0.001763,-0.010309,-0.011705,-0.0114,0.008781
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,4,0.963255,0.917098,0.907898,0.907898,0.907898,0.920917,0.000835,-0.015544,-0.017538,-0.019089,-0.010014
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,5,0.96755,0.911917,0.905022,0.918516,0.918516,0.936636,0.005369,-0.015544,-0.016993,-0.019089,0.032145
