slide_id,coord_scale_ratio,low_patch_extent_level0,high_patch_extent_level0,footprint_ratio,low_patch_count,high_patch_count,avg_high_patches_per_low_patch,median_high_patches_per_low_patch,percent_low_patches_with_zero_high_match,percent_low_patches_with_1_to_4_high_matches,percent_low_patches_with_5plus_high_matches,p95_high_patches_per_low_patch,low_center_min_x,low_center_min_y,low_center_max_x,low_center_max_y,high_center_min_x,high_center_min_y,high_center_max_x,high_center_max_y,range_iou_low_vs_high,feature_low_coord_set_matches_raw,feature_high_coord_set_matches_raw
2461861-B2,1.0,4096.150264136177,1024.0375660340442,4.0,62,890,13.596774193548388,16.0,0.0,0.03225806451612903,0.967741935483871,16.0,10336.075132068088,8785.075132068088,73874.07513206809,47634.07513206809,8800.018783017022,7249.018783017022,74386.01878301702,49170.018783017025,0.8977814049335056,True,True
2464443-B,1.0,4096.09787179814,1024.024467949535,4.0,254,3687,13.763779527559056,16.0,0.0,0.03543307086614173,0.9645669291338582,16.0,9840.04893589907,8512.04893589907,115985.04893589907,72720.04893589907,8304.012233974767,6976.012233974768,118545.01223397476,72208.01223397476,0.9477304742533704,True,True
2466581-B2,1.0,4096.09787179814,1024.024467949535,4.0,175,2334,12.88,14.0,0.0,0.03428571428571429,0.9657142857142857,16.0,11184.04893589907,16433.04893589907,115985.04893589907,73777.04893589907,9648.012233974767,11761.012233974767,115473.01223397476,75313.01223397476,0.8935850837744675,True,True
2468954-B2,1.0,4096.2902494331065,1024.0,4.000283446712018,107,1402,11.663551401869158,13.0,0.0,0.07476635514018691,0.9252336448598131,16.0,10480.145124716553,8353.145124716553,103333.14512471655,58313.14512471655,8944.0,6817.0,105893.0,58825.0,0.9200361306811854,True,True
2469496-B,1.0,4096.18562253988,1024.019887614263,4.000103584006629,264,3630,12.583333333333334,14.5,0.0,0.05303030303030303,0.946969696969697,16.0,11856.09281126994,4016.09281126994,154166.09281126995,74424.09281126993,10320.009943807132,2480.0099438071315,154038.00994380712,78184.00994380713,0.9209317261179798,True,True
2475184-B2,1.0,4096.170484816196,1024.0085239569808,4.000133191262653,243,3242,12.576131687242798,14.0,0.0,0.04938271604938271,0.9506172839506173,16.0,9744.085242408099,3056.085242408098,110210.0852424081,74528.0852424081,8208.00426197849,1520.0042619784904,110722.0042619785,74016.0042619785,0.966179507822213,True,True
2482461-B2,1.0,4096.298125072784,1024.0149053857351,4.0002329102131124,266,3947,14.473684210526315,16.0,0.0,0.015037593984962405,0.9849624060150376,16.0,9776.149062536391,9472.149062536391,126613.1490625364,67713.1490625364,8240.007452692867,624.0074526928676,137097.00745269287,70273.00745269287,0.7582044324819953,True,True
2491552B,1.0,4096.134365568823,1024.0,4.000131216375804,117,1488,11.675213675213675,13.0,0.0,0.05128205128205128,0.9487179487179487,16.0,13968.067182784413,2288.0671827844117,122579.0671827844,72489.0671827844,12432.0,752.0,122067.0,70953.0,0.9906599169973093,True,True
25014217B2,1.0,4096.577477008503,1024.0111038820212,4.000520562207184,46,571,11.978260869565217,13.0,0.0,0.021739130434782608,0.9782608695652174,16.0,9873.288738504252,8288.288738504252,82985.28873850426,38800.28873850425,8337.00555194101,6752.005551941011,85545.00555194101,40336.00555194101,0.8603291065918517,True,True
25015421B3,1.0,4096.084377059987,1024.0210942649967,4.0,302,4479,14.493377483443709,16.0,0.0,0.013245033112582781,0.9867549668874173,16.0,9648.042188529993,10544.042188529993,135633.04218853,68832.04218852999,8112.010547132499,9008.010547132499,138193.0105471325,70368.0105471325,0.9200231944538979,True,True
25015798B2,1.0,4096.080744362088,1024.020186090522,4.0,36,432,10.083333333333334,10.5,0.0,0.027777777777777776,0.9722222222222222,15.0,12928.040372181043,10880.040372181043,83457.04037218104,47168.04037218104,11392.01009304526,9344.01009304526,86017.01009304526,48704.01009304526,0.8713473710013482,True,True
25016031B2,1.0,4096.367420165052,1024.0,4.0003588087549335,240,3474,13.8875,16.0,0.0,0.016666666666666666,0.9833333333333333,16.0,10544.183710082525,9169.183710082525,125671.18371008252,74258.18371008252,9008.0,7633.0,127207.0,73746.0,0.9589238499254699,True,True
25019379B,1.0,4096.203914428766,1024.0218473529997,4.00011379153391,219,3103,13.753424657534246,16.0,0.0,0.0410958904109589,0.958904109589041,16.0,15232.101957214383,5008.101957214383,137382.10195721439,73442.10195721439,13696.0109236765,3472.0109236764997,138070.0109236765,76002.0109236765,0.92665509378343,True,True
25023174B2,1.0,4096.2231666121825,1024.0,4.000217936144709,120,1416,10.108333333333333,11.0,0.0,0.13333333333333333,0.8666666666666667,16.0,22321.11158330609,4752.111583306091,142439.1115833061,80409.11158330609,20785.0,3216.0,143255.0,80921.0,0.9549453673580343,True,True
25028010B2a,1.0,4096.151591413767,1024.0,4.000148038490007,132,1839,12.25,13.0,0.0,0.0,1.0,16.0,13856.075795706884,8833.075795706884,101490.07579570689,66177.07579570689,12320.0,7297.0,100978.0,66689.0,0.9543655161523437,True,True
25028014B5,1.0,4096.27097115639,1024.0,4.000264620269912,177,2594,13.293785310734464,15.0,0.0,0.03389830508474576,0.9661016949152542,16.0,9728.135485578196,8496.135485578196,112165.1354855782,64113.1354855782,8192.0,752.0,120343.0,65649.0,0.7827744448228682,True,True
25030118B2,1.0,4096.20770791075,1024.0173084074238,4.000135226504394,134,1723,11.970149253731343,13.0,0.0,0.029850746268656716,0.9701492537313433,16.0,9712.103853955376,8993.103853955376,111924.10385395537,78577.10385395537,8176.008654203712,7457.008654203712,110388.00865420372,78065.00865420372,0.9854973940629957,True,True
25031387B2,1.0,4096.341193356571,1024.006560906225,4.000307566126717,350,5205,14.245714285714286,16.0,0.0,0.025714285714285714,0.9742857142857143,16.0,9600.170596678287,8832.170596678287,146955.17059667828,80913.17059667829,8064.003280453113,7296.003280453113,147467.00328045312,80401.00328045311,0.9715073147449289,True,True
