config_id,status,branch,ACC,BACC,F1,AUC,PR_AUC
A,completed,full,0.9226804123711341,0.9120501893939394,0.9135652122256215,0.9747869318181818,0.9528239271742597
A,completed,concept_only,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.973248106060606,0.9546757248802805
A,completed,full_without_visual,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.973248106060606,0.9546757248802805
A,completed,visual_only,0.9175257731958762,0.9154829545454546,0.9094304388422035,0.9707623106060606,0.9406814644359129
A,completed,low_only,0.8247422680412371,0.7791193181818181,0.7929692404268676,0.8504971590909092,0.7967835993269995
A,completed,high_only,0.9175257731958762,0.9044744318181819,0.9074537865235539,0.9582149621212122,0.8837582496589631
A,completed,csg_only,0.7371134020618557,0.705374053030303,0.7061217215671132,0.8154592803030304,0.6656765749010715
B,completed,full,0.9226804123711341,0.9120501893939394,0.9135652122256215,0.9747869318181819,0.9529211634389264
B,completed,concept_only,0.9278350515463918,0.919625946969697,0.919625946969697,0.9741950757575757,0.951844595533425
B,completed,full_without_visual,0.9278350515463918,0.919625946969697,0.919625946969697,0.9741950757575757,0.951844595533425
B,completed,visual_only,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9753787878787878,0.9551713287642072
B,completed,low_only,0.8195876288659794,0.7862215909090908,0.7934600760456274,0.8662405303030303,0.8174406497965214
B,completed,high_only,0.9123711340206185,0.8968986742424243,0.9012899943132502,0.9505208333333334,0.8862146447927629
B,completed,csg_only,0.8041237113402062,0.7708333333333333,0.7766872652368835,0.8330965909090908,0.6952279833510617
C,completed,full,0.9226804123711341,0.9083806818181819,0.9129029361587502,0.9680397727272727,0.9396965296427425
C,completed,concept_only,0.9123711340206185,0.9005681818181819,0.9020405738557045,0.9630681818181819,0.9403274643057824
C,completed,full_without_visual,0.9123711340206185,0.9005681818181819,0.9020405738557045,0.9630681818181819,0.9403274643057824
C,completed,visual_only,0.9072164948453608,0.8819839015151515,0.8933284457478006,0.9646070075757576,0.9316920598132882
C,completed,low_only,0.7731958762886598,0.7400568181818181,0.7435096153846155,0.8358191287878788,0.7377971556376147
C,completed,high_only,0.8969072164948454,0.8851799242424243,0.8851799242424243,0.9382102272727273,0.9014260531221422
C,completed,csg_only,0.6443298969072165,0.48828125,0.39184952978056425,0.783499053030303,0.6181649652801283
D,completed,full,0.9226804123711341,0.9083806818181819,0.9129029361587502,0.9783380681818181,0.9581381647525238
D,completed,concept_only,0.9278350515463918,0.9122869318181819,0.9183894230769231,0.9754971590909091,0.9574729794369229
D,completed,full_without_visual,0.9278350515463918,0.9122869318181819,0.9183894230769231,0.9754971590909091,0.9574729794369229
D,completed,visual_only,0.9329896907216495,0.9198626893939394,0.9245158780042502,0.9770359848484849,0.9564898377077345
D,completed,low_only,0.8195876288659794,0.7935606060606061,0.7967735177037503,0.870620265151515,0.8210337022074592
D,completed,high_only,0.8969072164948454,0.8778409090909092,0.8834134615384616,0.9575047348484849,0.8958218299839874
D,completed,csg_only,0.7061855670103093,0.6635890151515151,0.6663951488822518,0.6946022727272727,0.5527488235919851
E,completed,full,0.9329896907216495,0.9161931818181819,0.9239146830784083,0.9789299242424243,0.9571569115054306
E,completed,concept_only,0.9175257731958762,0.8971354166666667,0.9059735853628983,0.9803503787878788,0.9606678407391965
E,completed,full_without_visual,0.9175257731958762,0.8971354166666667,0.9059735853628983,0.9803503787878788,0.9606678407391965
E,completed,visual_only,0.9329896907216495,0.9198626893939394,0.9245158780042502,0.9751420454545454,0.9483073178735058
E,completed,low_only,0.7938144329896907,0.7630208333333333,0.7668269230769231,0.8609138257575758,0.8003214315952516
E,completed,high_only,0.9123711340206185,0.8895596590909092,0.8996806083650191,0.9634232954545455,0.9426656037524969
E,completed,csg_only,0.5773195876288659,0.532907196969697,0.532612527911623,0.533499053030303,0.42783849537001034
F,completed,full,0.9329896907216495,0.9198626893939394,0.9245158780042502,0.9753787878787878,0.9540492006126352
F,completed,concept_only,0.9329896907216495,0.9198626893939394,0.9245158780042502,0.9740767045454546,0.9525788781801454
F,completed,full_without_visual,0.9329896907216495,0.9198626893939394,0.9245158780042502,0.9740767045454546,0.9525788781801454
F,completed,visual_only,0.9381443298969072,0.9237689393939394,0.930048076923077,0.9751420454545454,0.9554084348482618
F,completed,low_only,0.8298969072164949,0.7903645833333333,0.801838610827375,0.8326231060606061,0.7658844405583918
F,completed,high_only,0.9072164948453608,0.8929924242424243,0.8958855098389982,0.96484375,0.911105555608935
F,completed,csg_only,0.422680412371134,0.5111268939393939,0.4151593453919035,0.6155303030303031,0.5041666941740756
G,completed,full,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9699337121212122,0.950649359607235
G,completed,concept_only,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9702888257575758,0.9493148872583308
G,completed,full_without_visual,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9702888257575758,0.9493148872583308
G,completed,visual_only,0.9123711340206185,0.8822206439393939,0.897916860123193,0.9674479166666666,0.9494088090641631
G,completed,low_only,0.8144329896907216,0.8006628787878788,0.796218487394958,0.8626893939393939,0.7966401892354993
G,completed,high_only,0.8917525773195877,0.8555871212121212,0.8727312486332823,0.9433001893939394,0.9174780649879359
G,completed,csg_only,0.7680412371134021,0.728811553030303,0.7344486692015209,0.7878787878787878,0.6553164013884003
H,skipped,full,,,,,
H,skipped,concept_only,,,,,
H,skipped,full_without_visual,,,,,
H,skipped,visual_only,,,,,
H,skipped,low_only,,,,,
H,skipped,high_only,,,,,
H,skipped,csg_only,,,,,
