model_name,source_dir,fold,AUC,ACC,F1,Balanced_ACC,BACC,PR_AUC
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,1,0.975734,0.907216,0.898783,0.90767,0.90767,0.954798
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,2,0.954545,0.912371,0.902041,0.900568,0.900568,0.920913
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,3,0.992008,0.958763,0.954401,0.954401,0.954401,0.986152
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,4,0.968146,0.911917,0.902493,0.903961,0.903961,0.943354
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,5,0.96063,0.92228,0.914564,0.919112,0.919112,0.916778
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,1,0.968395,0.927835,0.918389,0.912287,0.912287,0.945293
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,2,0.945904,0.907216,0.896662,0.896662,0.896662,0.910277
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,3,0.98531,0.943299,0.93562,0.924962,0.924962,0.966764
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,4,0.962419,0.932642,0.925436,0.926986,0.926986,0.930931
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,5,0.962181,0.927461,0.922016,0.937604,0.937604,0.904491
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,1,0.979285,0.943299,0.937078,0.938684,0.938684,0.957569
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,2,0.949455,0.907216,0.895072,0.889323,0.889323,0.918716
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,3,0.987073,0.93299,0.923915,0.913562,0.913562,0.975545
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,4,0.963255,0.917098,0.907898,0.907898,0.907898,0.920917
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,5,0.96755,0.911917,0.905022,0.918516,0.918516,0.936636
stage60D_ccra_configC,results_stage60D_ccra_configC_formal,1,0.969579,0.93299,0.92509,0.923532,0.923532,0.956471
stage60D_ccra_configC,results_stage60D_ccra_configC_formal,2,0.95206,0.907216,0.898783,0.90767,0.90767,0.906091
stage60D_ccra_configC,results_stage60D_ccra_configC_formal,3,0.98907,0.953608,0.948139,0.943413,0.943413,0.984051
stage60D_ccra_configC,results_stage60D_ccra_configC_formal,4,0.96755,0.911917,0.904436,0.914877,0.914877,0.929718
stage60D_ccra_configC,results_stage60D_ccra_configC_formal,5,0.964746,0.906736,0.899129,0.91094,0.91094,0.909156
stage61D_l2h_configG,results_stage61D_l2h_configG_5fold/rce_v2_rcD_l2hG_5fold_e20_s1,1,0.969934,0.917526,0.905181,0.893466,0.893466,0.950649
stage61D_l2h_configG,results_stage61D_l2h_configG_5fold/rce_v2_rcD_l2hG_5fold_e20_s1,2,0.952533,0.92268,0.913565,0.91205,0.91205,0.920575
stage61D_l2h_configG,results_stage61D_l2h_configG_5fold/rce_v2_rcD_l2hG_5fold_e20_s1,3,0.988718,0.93299,0.921936,0.902985,0.902985,0.98126
stage61D_l2h_configG,results_stage61D_l2h_configG_5fold/rce_v2_rcD_l2hG_5fold_e20_s1,4,0.961226,0.911917,0.901035,0.896683,0.896683,0.923926
stage61D_l2h_configG,results_stage61D_l2h_configG_5fold/rce_v2_rcD_l2hG_5fold_e20_s1,5,0.967192,0.92228,0.914564,0.919112,0.919112,0.914999
