key,status,old_value,new_value,old_default,new_default,old_explicit_in_stage58c_script,old_matches_old_default,new_matches_new_default,path_semantic_note
allow_legacy_scale_fusion_ckpt,equal,false,false,false,false,False,True,True,
class_names,equal,"[""Adenocarcinoma"", ""NonAdenocarcinoma""]","[""Adenocarcinoma"", ""NonAdenocarcinoma""]","""<missing>""","""<missing>""",False,False,False,
concept_prompt_path,different,"""/xiangmu/ViLMIL/ViLa-MIL-main/dataset_csv/private_lung_concept_prompt_pool_stage2_core12.json""","""dataset_csv/private_lung_concept_prompt_pool_stage2_core12.json""",null,null,True,False,False,unresolved_path
data_folder_l,equal,"""features_biomedclip_20x""","""features_biomedclip_20x""",null,null,True,False,False,unresolved_path
data_folder_s,equal,"""features_biomedclip_5x""","""features_biomedclip_5x""",null,null,True,False,False,unresolved_path
data_root_dir,different,"""/xiangmu/data/VILMIL""","""data/yiyuan""",null,null,True,False,False,unresolved_path
deg_concept_graph_alpha,equal,0.05,0.05,0.05,0.05,False,True,True,
deg_concept_graph_topk,equal,4,4,4,4,False,True,True,
deg_region_graph_alpha,equal,0.1,0.1,0.1,0.1,False,True,True,
deg_region_graph_k,equal,4,4,4,4,False,True,True,
deg_use_concept_graph,equal,false,false,false,false,False,True,True,
deg_use_region_graph,equal,false,false,false,false,False,True,True,
dynamic_gate_hidden_dim,equal,256,256,256,256,False,True,True,
dynamic_gate_residual_mean,equal,false,false,false,false,False,True,True,
experiment,different,"""rce_v2_rcD_l003_t050_aux020_5fold_e20""","""adenocarcinoma_rce_step58C_server_only_206200""","""<missing>""","""<missing>""",False,False,False,
k_end,equal,4,4,-1,-1,True,False,False,
k_start,equal,0,0,-1,-1,True,False,False,
label_frac,equal,1.0,1.0,1.0,1.0,False,True,True,
lr,equal,0.0001,0.0001,0.0001,0.0001,False,True,True,
max_epochs,equal,20,20,80,80,True,False,False,
mode,equal,"""transformer""","""transformer""","""transformer""","""transformer""",True,True,True,
model_type,equal,"""RCE_MIL_BiomedCLIP_v2""","""RCE_MIL_BiomedCLIP_v2""","""ViLa_MIL_BiomedCLIP""","""ViLa_MIL_BiomedCLIP""",True,False,False,
n_classes,equal,2,2,"""<missing>""","""<missing>""",False,False,False,
num_splits,equal,5,5,"""<missing>""","""<missing>""",False,False,False,
opt,equal,"""adam""","""adam""","""adam""","""adam""",False,True,True,
patience,equal,10,10,15,15,False,False,False,
peps_tau,equal,0.1,0.1,0.1,0.1,False,True,True,
peps_topk,equal,3,3,3,3,False,True,True,
prompt_dropout,equal,0.0,0.0,0.0,0.0,False,True,True,
prompt_ensemble_mode,equal,"""embedding_mean""","""embedding_mean""","""embedding_mean""","""embedding_mean""",True,True,True,
rce_concept_aux_loss_weight,equal,0.2,0.2,0.0,0.0,True,False,False,
rce_concept_prior_strength,equal,1.0,1.0,1.0,1.0,True,True,True,
rce_cross_scale_graph_init,equal,0.1,0.1,0.05,0.05,True,False,False,
rce_cross_scale_graph_norm,equal,"""sqrt""","""sqrt""","""sqrt""","""sqrt""",True,True,True,
rce_hcrc_alpha_init,equal,0.05,0.05,0.05,0.05,False,True,True,
