file_name,relative_path,file_size,sha256,mtime,dataset_keys,dataset_summary,feature_dataset,feature_shape,feature_dtype,feature_has_nan,feature_has_inf,feature_hash,coords_shape,coords_hash
2460239-B2.h5,features_biomedclip_5x/2460239-B2.h5,362424,9712a7612627d361582cd22cdcd1737b4ca376825897aa4e69e9702cd6194adf,2026-01-07T11:34:08.058128,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [187, 2], ""summary_hash"": ""cbb65ed3411ba3b87a554dab9176c9d7e0c3f058d1fa3d2d36e1bd1a42669042""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [187, 512], ""summary_hash"": ""e4622f058d206a33fb87f4eb03e227c45a8fc2d639ddd8e73adfa5de87b1ce6d""}}",features,"[187, 512]",float32,False,False,e4622f058d206a33fb87f4eb03e227c45a8fc2d639ddd8e73adfa5de87b1ce6d,"[187, 2]",cbb65ed3411ba3b87a554dab9176c9d7e0c3f058d1fa3d2d36e1bd1a42669042
2460242-B2.h5,features_biomedclip_5x/2460242-B2.h5,816957,ac80aa853a9180b2c740b4f684b9ef6ebd58744e3c6629c3c75acafcab541e2a,2026-01-07T11:34:09.417123,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [426, 2], ""summary_hash"": ""897236aa92d6eb5529faf2a3297df154d2da992a5521b7bd30295d8f88bbdf1a""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [426, 512], ""summary_hash"": ""03955c3722ea6fdd6226859289525e39b34d3069724b6a785462c89b44f00fdb""}}",features,"[426, 512]",float32,False,False,03955c3722ea6fdd6226859289525e39b34d3069724b6a785462c89b44f00fdb,"[426, 2]",897236aa92d6eb5529faf2a3297df154d2da992a5521b7bd30295d8f88bbdf1a
2460399-B2.h5,features_biomedclip_5x/2460399-B2.h5,549389,85b5d1551dfd9a657d1b208a8dbe2c3a89fe3544b257bc3211bfab5df0ca2b33,2026-01-07T11:34:13.493108,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [285, 2], ""summary_hash"": ""823e339870858a66204b8e22a4b8be50d8e719479ed6e6ee75404f2d4f3f9d4b""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [285, 512], ""summary_hash"": ""f2b022249122e677f1ff2a026539a93fde064b6c796ed7352470e18108e55064""}}",features,"[285, 512]",float32,False,False,f2b022249122e677f1ff2a026539a93fde064b6c796ed7352470e18108e55064,"[285, 2]",823e339870858a66204b8e22a4b8be50d8e719479ed6e6ee75404f2d4f3f9d4b
2460404-B3.h5,features_biomedclip_5x/2460404-B3.h5,592960,2246ed36dd2827bb29d0b522e1a5475120fb553045c67909371c90d08f7e51a8,2026-01-07T11:34:08.112127,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [308, 2], ""summary_hash"": ""465f7cc0b1af51eda2267d61657ac0adefbcd252ecb9a10cf3934b5d0f76537b""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [308, 512], ""summary_hash"": ""850c08d5831baf3bc438195f122d4a5f9ae00c5b311cec318076a4a097c377f6""}}",features,"[308, 512]",float32,False,False,850c08d5831baf3bc438195f122d4a5f9ae00c5b311cec318076a4a097c377f6,"[308, 2]",465f7cc0b1af51eda2267d61657ac0adefbcd252ecb9a10cf3934b5d0f76537b
2460405-B2.h5,features_biomedclip_5x/2460405-B2.h5,250753,710a95d4cddd83aaa467916830dc4d288e9fcc3af66795ed00f703edf8ac738f,2026-01-07T11:34:08.401126,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [128, 2], ""summary_hash"": ""a6fcf138b960617953801dbc9af9cd460b6fab2c45b28d886870ffe7378892d5""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [128, 512], ""summary_hash"": ""0deff0290804b526f7ccca6b50810a5c21e9692a3b6aaccf80e0e9fbdd0bc9ff""}}",features,"[128, 512]",float32,False,False,0deff0290804b526f7ccca6b50810a5c21e9692a3b6aaccf80e0e9fbdd0bc9ff,"[128, 2]",a6fcf138b960617953801dbc9af9cd460b6fab2c45b28d886870ffe7378892d5
2460591-B2.h5,features_biomedclip_5x/2460591-B2.h5,487493,9c493afb2fd103b6018911345f267c94563a701fc96c3419a7e3c4b533bd30de,2026-01-07T11:34:11.410116,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [253, 2], ""summary_hash"": ""e4aba4ae846c40478ee76eadd5342043ff8846dece80b280ee818e5c780fa9b3""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [253, 512], ""summary_hash"": ""dbfc248ed414f295c9057503438104b97565be31774d30dbafb44646c05e5deb""}}",features,"[253, 512]",float32,False,False,dbfc248ed414f295c9057503438104b97565be31774d30dbafb44646c05e5deb,"[253, 2]",e4aba4ae846c40478ee76eadd5342043ff8846dece80b280ee818e5c780fa9b3
2460602-B.h5,features_biomedclip_5x/2460602-B.h5,485776,1ea2ed86f47516ff4dedf46413eec3e7700499927278a626fb1e2940443e2d95,2026-01-07T11:34:10.054120,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [252, 2], ""summary_hash"": ""c01b915e76eb9639bb9de2054ca9f3fabeb6ac29987ed1b515a5b92f6b6d9857""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [252, 512], ""summary_hash"": ""30806b7148fa10b299e05f2f6d4fffba9e4d1e6edac0c595a5a78861011471af""}}",features,"[252, 512]",float32,False,False,30806b7148fa10b299e05f2f6d4fffba9e4d1e6edac0c595a5a78861011471af,"[252, 2]",c01b915e76eb9639bb9de2054ca9f3fabeb6ac29987ed1b515a5b92f6b6d9857
2460615-B4.h5,features_biomedclip_5x/2460615-B4.h5,305832,fe7af63f8348afc87d8d754182ae899316f9c5913c23522f084c113ee75edff2,2026-01-07T11:34:11.000117,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [157, 2], ""summary_hash"": ""e49aee9f765da792ee42e8c7728f0cb4a0ee774bdcc7966adab2d5631be9adc9""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [157, 512], ""summary_hash"": ""5a05d783f93b47d9c9fb7a398061511f0e60b16448b7a7491080303a3fa77a18""}}",features,"[157, 512]",float32,False,False,5a05d783f93b47d9c9fb7a398061511f0e60b16448b7a7491080303a3fa77a18,"[157, 2]",e49aee9f765da792ee42e8c7728f0cb4a0ee774bdcc7966adab2d5631be9adc9
2460628-B2.h5,features_biomedclip_5x/2460628-B2.h5,368146,40d0351d2caef44b860abae6f7a29600edcf9db65f27992d203b2eb6ca9f19e2,2026-01-07T11:34:14.430105,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [190, 2], ""summary_hash"": ""40b37a848b89bda3b09e07b7066a18b643847c4c5c67dbc76ac13377e02d0341""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [190, 512], ""summary_hash"": ""8b34fc899a9af2d4bea9de79663b1d2d57811fbb8e82ee51655c8b157060390c""}}",features,"[190, 512]",float32,False,False,8b34fc899a9af2d4bea9de79663b1d2d57811fbb8e82ee51655c8b157060390c,"[190, 2]",40b37a848b89bda3b09e07b7066a18b643847c4c5c67dbc76ac13377e02d0341
2460641-B2.h5,features_biomedclip_5x/2460641-B2.h5,466527,91aa3f9e125ddad6af180ba7845d1c96b873cc747d9d1ea79c3f32c4be33249f,2026-01-07T11:34:08.548126,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [242, 2], ""summary_hash"": ""ecb2e76a797e2e95bcb66defe7b4f75ee0d61b8df1c71ed21b224062339e3cb4""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [242, 512], ""summary_hash"": ""4e79ce49a2d90aa518210a6d5cf542b501d416c1b00f2bbef0d1ae8cf572bd44""}}",features,"[242, 512]",float32,False,False,4e79ce49a2d90aa518210a6d5cf542b501d416c1b00f2bbef0d1ae8cf572bd44,"[242, 2]",ecb2e76a797e2e95bcb66defe7b4f75ee0d61b8df1c71ed21b224062339e3cb4
