summary_scope,group_key,group_value,conflict_type,count,rate
overall,all_slides,all_slides,all,194,1.0
overall,all_slides,all_slides,consistent_correct_support,50,0.25773195876288657
overall,all_slides,all_slides,consistent_wrong_class_drift,8,0.041237113402061855
overall,all_slides,all_slides,high_scale_dominant_correct,103,0.5309278350515464
overall,all_slides,all_slides,high_scale_dominant_wrong,5,0.02577319587628866
overall,all_slides,all_slides,low_scale_dominant_correct,1,0.005154639175257732
overall,all_slides,all_slides,weak_or_mixed_conflict,27,0.13917525773195877
correctness,correct,0,consistent_correct_support,0,0.0
correctness,correct,0,consistent_wrong_class_drift,8,0.5714285714285714
correctness,correct,0,high_scale_dominant_correct,0,0.0
correctness,correct,0,high_scale_dominant_wrong,5,0.35714285714285715
correctness,correct,0,low_scale_dominant_correct,0,0.0
correctness,correct,0,low_scale_dominant_wrong,0,0.0
correctness,correct,0,weak_or_mixed_conflict,1,0.07142857142857142
correctness,correct,1,consistent_correct_support,50,0.2777777777777778
correctness,correct,1,consistent_wrong_class_drift,0,0.0
correctness,correct,1,high_scale_dominant_correct,103,0.5722222222222222
correctness,correct,1,high_scale_dominant_wrong,0,0.0
correctness,correct,1,low_scale_dominant_correct,1,0.005555555555555556
correctness,correct,1,low_scale_dominant_wrong,0,0.0
correctness,correct,1,weak_or_mixed_conflict,26,0.14444444444444443
true_label,label_name,Adenocarcinoma,consistent_correct_support,2,0.015625
true_label,label_name,Adenocarcinoma,consistent_wrong_class_drift,8,0.0625
true_label,label_name,Adenocarcinoma,high_scale_dominant_correct,93,0.7265625
true_label,label_name,Adenocarcinoma,high_scale_dominant_wrong,0,0.0
true_label,label_name,Adenocarcinoma,low_scale_dominant_correct,1,0.0078125
true_label,label_name,Adenocarcinoma,low_scale_dominant_wrong,0,0.0
true_label,label_name,Adenocarcinoma,weak_or_mixed_conflict,24,0.1875
true_label,label_name,NonAdenocarcinoma,consistent_correct_support,48,0.7272727272727273
true_label,label_name,NonAdenocarcinoma,consistent_wrong_class_drift,0,0.0
true_label,label_name,NonAdenocarcinoma,high_scale_dominant_correct,10,0.15151515151515152
true_label,label_name,NonAdenocarcinoma,high_scale_dominant_wrong,5,0.07575757575757576
true_label,label_name,NonAdenocarcinoma,low_scale_dominant_correct,0,0.0
true_label,label_name,NonAdenocarcinoma,low_scale_dominant_wrong,0,0.0
true_label,label_name,NonAdenocarcinoma,weak_or_mixed_conflict,3,0.045454545454545456
predicted_label,pred_name,Adenocarcinoma,consistent_correct_support,2,0.015873015873015872
predicted_label,pred_name,Adenocarcinoma,consistent_wrong_class_drift,0,0.0
predicted_label,pred_name,Adenocarcinoma,high_scale_dominant_correct,93,0.7380952380952381
predicted_label,pred_name,Adenocarcinoma,high_scale_dominant_wrong,5,0.03968253968253968
predicted_label,pred_name,Adenocarcinoma,low_scale_dominant_correct,1,0.007936507936507936
predicted_label,pred_name,Adenocarcinoma,low_scale_dominant_wrong,0,0.0
predicted_label,pred_name,Adenocarcinoma,weak_or_mixed_conflict,25,0.1984126984126984
predicted_label,pred_name,NonAdenocarcinoma,consistent_correct_support,48,0.7058823529411765
predicted_label,pred_name,NonAdenocarcinoma,consistent_wrong_class_drift,8,0.11764705882352941
predicted_label,pred_name,NonAdenocarcinoma,high_scale_dominant_correct,10,0.14705882352941177
predicted_label,pred_name,NonAdenocarcinoma,high_scale_dominant_wrong,0,0.0
predicted_label,pred_name,NonAdenocarcinoma,low_scale_dominant_correct,0,0.0
predicted_label,pred_name,NonAdenocarcinoma,low_scale_dominant_wrong,0,0.0
predicted_label,pred_name,NonAdenocarcinoma,weak_or_mixed_conflict,2,0.029411764705882353
