method,variant,reference_method,reference_variant,status,reference_status,test_auc_delta_mean,test_acc_delta_mean,test_f1_delta_mean,val_auc_delta_mean,val_acc_delta_mean,balanced_acc_delta_mean,sensitivity_delta_mean,specificity_delta_mean,pr_auc_delta_mean
RCE-MIL base,base,RCE-MIL base,base,ok,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCE-MIL base,base,RCE-MIL v2 prior_calib,prior_calib,ok,ok,0.00044976887217451633,-0.034074034506703654,-0.04091522826589511,-0.0023994508265756664,-0.03515837829175794,-0.04829791128021321,-0.09353233830845764,-0.0030634842519685623,0.011599612926959324
RCE-MIL v2 prior_calib,prior_calib,RCE-MIL base,base,ok,ok,-0.00044976887217451633,0.034074034506703654,0.04091522826589511,0.0023994508265756664,0.03515837829175794,0.04829791128021321,0.09353233830845764,0.0030634842519685623,-0.011599612926959324
RCE-MIL v2 prior_calib,prior_calib,RCE-MIL v2 prior_calib,prior_calib,ok,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCE-MIL v2 prior,prior,RCE-MIL base,base,ok,ok,-0.0007757828609278317,0.00928903370546419,0.009957431496686486,0.002476714160942084,0.0051599807702579215,0.009187726142017238,0.009000452284034233,0.009375000000000022,0.007748126378681275
RCE-MIL v2 prior,prior,RCE-MIL v2 prior_calib,prior_calib,ok,ok,-0.00032601398875331533,-0.024785000801239465,-0.030957796769208623,7.726333436641752e-05,-0.02999839752150002,-0.039110185138195974,-0.08453188602442341,0.00631151574803146,0.0193477393056406
RCE-MIL v3 prior_calib + visual_residual_init=0.05,prior_calib_vr_a005,RCE-MIL base,base,ok,ok,0.002231419072319163,0.03925004006196242,0.0459731332830724,0.004746821936754908,0.03201217883660057,0.05214446234735415,0.09335142469470825,0.010937500000000044,0.00021436311099942706
RCE-MIL v3 prior_calib + visual_residual_init=0.05,prior_calib_vr_a005,RCE-MIL v2 prior_calib,prior_calib,ok,ok,0.0026811879444936793,0.005176005555258767,0.005057905017177289,0.0023473711101792416,-0.0031461994551573724,0.0038465510671409353,-0.0001809136137493894,0.007874015748031482,0.011813976037958751
RCE-MIL v3 prior_calib + visual_residual_init=0.1,prior_calib_vr_a01,RCE-MIL base,base,ok,ok,-0.004376023314885846,0.034074034506703654,0.04127298585670591,-0.0074215174797096495,0.011334864590566651,0.051101991607816366,0.10542740841248299,-0.0032234251968503713,-0.01217810332119762
RCE-MIL v3 prior_calib + visual_residual_init=0.1,prior_calib_vr_a01,RCE-MIL v2 prior_calib,prior_calib,ok,ok,-0.00392625444271133,0.0,0.00035775759081080327,-0.009820968306285316,-0.02382351370119129,0.0028040803276031534,0.011895070104025351,-0.006286909448818934,-0.0005784903942382957
