stage,category,variant,method,status,source_path,test_auc,test_acc,test_f1,balanced_acc,sensitivity,specificity,pr_auc,note
stage24,csg_init,csg_a005,RCE-v4-CSG-a005-rq16,ok,results_stage22/rce_v4_csg_a005_5fold_e20_s1/fold_summary.csv,0.9619277226964676,0.8977191389348859,0.8850972261380827,0.8832028481652225,0.8370872908186342,0.9293184055118112,0.9213312080892834,
stage24,csg_init,csg_a01,RCE-v4-CSG-a01-rq16,ok,results_stage22/rce_v4_csg_a01_5fold_e20_s1/fold_summary.csv,0.9702127532300916,0.9225094813311256,0.9144563517525356,0.9171426221612052,0.9001809136137495,0.9341043307086616,0.9443991016694444,
stage24,region_query,rq16,RCE-v4-CSG-a01-rq16,ok,results_stage23/rce_v4_csg_a01_rq16_5fold_e20_s1/fold_summary.csv,0.9702127532300916,0.9225094813311256,0.9144563517525356,0.9171426221612052,0.9001809136137495,0.9341043307086616,0.9443991016694444,
stage24,region_query,rq32,RCE-v4-CSG-a01-rq32,ok,results_stage23/rce_v4_csg_a01_rq32_5fold_e20_s1/fold_summary.csv,0.9577260579929628,0.9070028310453502,0.8956460113186612,0.8917100448678228,0.843102668475803,0.9403174212598426,0.9218222632899968,
stage24,region_query,rq8,RCE-v4-CSG-a01-rq8,ok,results_stage23/rce_v4_csg_a01_rq8_5fold_e20_s1/fold_summary.csv,0.963997684492712,0.9101223225255062,0.897900209544163,0.8911961671821638,0.831026684758028,0.9513656496062992,0.935604195722638,
stage28,spatial_region_graph,rg_k2,DEG Spatial Region Graph k=2,ok,results_stage27/deg_region_graph_k2_a01_5fold_e20_s1/fold_summary.csv,0.957679694427825,0.910079589765504,0.9002616630390532,0.9004656917408307,0.8700135685210313,0.93091781496063,0.922397419256574,
stage28,spatial_region_graph,rg_k4,DEG Spatial Region Graph k=4,ok,results_stage27/deg_region_graph_k4_a01_5fold_e20_s1/fold_summary.csv,0.962691714343458,0.9173281341808665,0.9080461497240366,0.9059939653913682,0.8700587969244685,0.9419291338582678,0.9400358501445648,
stage28,spatial_region_graph,rg_k8,DEG Spatial Region Graph k=8,ok,results_stage27/deg_region_graph_k8_a01_5fold_e20_s1/fold_summary.csv,0.965456314414862,0.917322792585866,0.9074272300573888,0.9052168275702732,0.8668928086838534,0.943540846456693,0.934208194676063,
stage28,spatial_region_graph,skeleton,DEG skeleton,ok,results_stage27/deg_skeleton_5fold_e20_s1/fold_summary.csv,0.9702127532300916,0.9225094813311256,0.9144563517525356,0.9171426221612052,0.9001809136137495,0.9341043307086616,0.9443991016694444,
stage31,concept_prompt_graph,cg_k2_a005,DEG Concept Prompt Graph k=2 alpha=0.05,ok,results_stage30/deg_concept_graph_k2_a005_5fold_e20_s1/fold_summary.csv,0.9613673896311214,0.9008279472250414,0.8901960860933527,0.8898387530627108,0.854862053369516,0.9248154527559056,0.9316589009769264,
