case_group,selection_rank,slide_id,variant,top_csg_pair_class_0,top_csg_pair_class_1,top_csg_pair_score_class_0,top_csg_pair_score_class_1,csg_alpha,csg_max_pair_score,csg_export_capture_status,evidence_source,detail_source_available
fixed,1,2462598-B,skeleton,adeno_lepidic -> adeno_solid_high,nonadeno_hamartoma_low -> nonadeno_spindle_atypia_high,7.228647064039251e-06,1.108950800698949e-05,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
fixed,2,2468673-B2,skeleton,adeno_lepidic -> adeno_mucinous_high,nonadeno_fibroinflammatory_low -> nonadeno_hamartoma_high,2.070518576147151e-06,3.8686271182086784e-06,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
fixed,3,2471959-B2,skeleton,adeno_cribriform_low -> adeno_micropapillary_high,nonadeno_necrotic_squamous_low -> nonadeno_hamartoma_high,6.472733275586506e-06,4.171669843344716e-06,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
regressed,1,25015422B,skeleton,adeno_mucinous -> adeno_solid_high,nonadeno_metastatic_low -> nonadeno_hamartoma_high,2.8224767447682098e-06,1.357148562419752e-06,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
regressed,2,25023961B2,skeleton,adeno_papillary -> adeno_solid_high,nonadeno_hamartoma_low -> nonadeno_sarcomatoid_high,3.2528712381463265e-06,2.1060668586869724e-05,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
persistent_error,1,25019273B,skeleton,adeno_acinar -> adeno_solid_high,nonadeno_hamartoma_low -> nonadeno_sarcomatoid_high,1.2048245707774186e-06,1.5370278561022133e-05,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
persistent_error,2,25023977B2,skeleton,adeno_mucinous -> adeno_solid_high,nonadeno_metastatic_low -> nonadeno_hamartoma_high,1.1305771295155864e-05,4.699263172369683e-06,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
persistent_error,3,25025076B,skeleton,adeno_papillary -> adeno_solid_high,nonadeno_hamartoma_low -> nonadeno_fibrosis_inflammation_high,6.819118425482884e-07,3.1390729873237437e-06,0.0968810096383094,,,stage32_slide_evidence_summary.csv,False
fixed,1,2462598-B,lh_l001_m0,adeno_desmoplastic_invasion_low -> adeno_lepidic_high,nonadeno_solid_nests_low -> nonadeno_chondroid_matrix_high,4.094144514965592e-06,2.770250830508303e-06,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
fixed,2,2468673-B2,lh_l001_m0,adeno_desmoplastic_invasion_low -> adeno_lepidic_high,nonadeno_organoid_neuroendocrine_low -> nonadeno_neuroendocrine_high,2.6927034468826605e-06,5.337045649866923e-07,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
fixed,3,2471959-B2,lh_l001_m0,adeno_papillary -> adeno_lepidic_high,nonadeno_hamartoma_low -> nonadeno_neuroendocrine_high,1.036146500155155e-06,5.687982707058836e-07,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
regressed,1,25015422B,lh_l001_m0,adeno_micropapillary -> adeno_papillary_high,nonadeno_metastatic_low -> nonadeno_nuclear_molding_high,4.272796729765105e-07,1.8530382703829675e-06,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
regressed,2,25023961B2,lh_l001_m0,adeno_multifocal_glandular_low -> adeno_micropapillary_high,nonadeno_solid_nests_low -> nonadeno_nuclear_molding_high,2.742403694355744e-06,1.123714628192829e-05,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
persistent_error,1,25019273B,lh_l001_m0,adeno_multifocal_glandular_low -> adeno_micropapillary_high,nonadeno_solid_nests_low -> nonadeno_nuclear_molding_high,1.2943241017637774e-05,2.468984712322708e-05,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
persistent_error,2,25023977B2,lh_l001_m0,adeno_acinar -> adeno_mucinous_high,nonadeno_solid_nests_low -> nonadeno_chondroid_matrix_high,2.927775540229049e-06,2.1975827166897943e-06,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
persistent_error,3,25025076B,lh_l001_m0,adeno_alveolar_replacement_low -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_intercellular_bridges_high,1.5090341776158311e-06,1.9181027255399385e-06,0.0949606671929359,,,stage32_slide_evidence_summary.csv,False
