slide_id,coord_mode,scale_ratio,low_patch_count,high_patch_count,child_count_mean,child_count_std,child_count_min,child_count_max,child_count_median,child_count_p25,child_count_p75,child_count_p90,child_count_p95,child_count_nonzero_mean,empty_match_ratio
2460239-B2,top_left,2.0,187,2592,0.0748663101604278,0.2631755037297172,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.9251336898395722
2460239-B2,top_left,4.0,187,2592,0.0106951871657754,0.10286301637257403,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9893048128342246
2460239-B2,top_left,0.5,187,2592,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460239-B2,top_left,0.25,187,2592,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460239-B2,center,2.0,187,2592,0.06951871657754011,0.2543341593709971,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.93048128342246
2460239-B2,center,4.0,187,2592,0.0106951871657754,0.10286301637257403,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9893048128342246
2460239-B2,center,0.5,187,2592,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460239-B2,center,0.25,187,2592,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,top_left,2.0,190,2668,0.005263157894736842,0.07235645834140797,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9947368421052631
2460628-B2,top_left,4.0,190,2668,0.010526315789473684,0.10205641805087008,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9894736842105263
2460628-B2,top_left,0.5,190,2668,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,top_left,0.25,190,2668,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,center,2.0,190,2668,0.005263157894736842,0.07235645834140797,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9947368421052631
2460628-B2,center,4.0,190,2668,0.015789473684210527,0.12466020297186325,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9842105263157894
2460628-B2,center,0.5,190,2668,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,center,0.25,190,2668,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,top_left,2.0,242,3511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,top_left,4.0,242,3511,0.004132231404958678,0.06414948221595053,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9958677685950413
2460641-B2,top_left,0.5,242,3511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,top_left,0.25,242,3511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,center,2.0,242,3511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,center,4.0,242,3511,0.004132231404958678,0.06414948221595053,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9958677685950413
2460641-B2,center,0.5,242,3511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,center,0.25,242,3511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
