slide_id,coord_mode,scale_ratio,low_patch_index,low_coord_x,low_coord_y,low_bbox_x0,low_bbox_y0,low_bbox_x1,low_bbox_y1,child_count,high_child_rank,high_child_coord_x,high_child_coord_y,high_child_center_x,high_child_center_y
2460628-B2,top_left,1.0,4,100450.0,35504.0,100450.0,35504.0,100706.0,35760.0,1,1,100450.0,35504.0,100578.0,35632.0
2460628-B2,top_left,1.0,9,104546.0,15024.0,104546.0,15024.0,104802.0,15280.0,1,1,104546.0,15024.0,104674.0,15152.0
2460628-B2,top_left,1.0,15,110210.0,35780.0,110210.0,35780.0,110466.0,36036.0,1,1,110210.0,35780.0,110338.0,35908.0
2460628-B2,top_left,1.0,23,127619.0,34196.0,127619.0,34196.0,127875.0,34452.0,1,1,127619.0,34196.0,127747.0,34324.0
2460628-B2,top_left,1.0,27,12832.0,24321.0,12832.0,24321.0,13088.0,24577.0,1,1,12832.0,24321.0,12960.0,24449.0
2460628-B2,top_left,1.0,28,12832.0,28417.0,12832.0,28417.0,13088.0,28673.0,1,1,12832.0,28417.0,12960.0,28545.0
2460628-B2,top_left,1.0,32,12832.0,48897.0,12832.0,48897.0,13088.0,49153.0,1,1,12832.0,48897.0,12960.0,49025.0
2460628-B2,top_left,1.0,36,16928.0,20225.0,16928.0,20225.0,17184.0,20481.0,1,1,16928.0,20225.0,17056.0,20353.0
2460628-B2,top_left,1.0,41,16928.0,40705.0,16928.0,40705.0,17184.0,40961.0,1,1,16928.0,40705.0,17056.0,40833.0
2460628-B2,top_left,1.0,42,16928.0,44801.0,16928.0,44801.0,17184.0,45057.0,1,1,16928.0,44801.0,17056.0,44929.0
2460628-B2,top_left,1.0,43,16928.0,48897.0,16928.0,48897.0,17184.0,49153.0,1,1,16928.0,48897.0,17056.0,49025.0
2460628-B2,top_left,1.0,57,25120.0,16129.0,25120.0,16129.0,25376.0,16385.0,1,1,25120.0,16129.0,25248.0,16257.0
2460628-B2,top_left,1.0,79,33312.0,12033.0,33312.0,12033.0,33568.0,12289.0,1,1,33312.0,12033.0,33440.0,12161.0
2460628-B2,top_left,1.0,96,37408.0,48897.0,37408.0,48897.0,37664.0,49153.0,1,1,37408.0,48897.0,37536.0,49025.0
2460628-B2,top_left,1.0,130,53792.0,61185.0,53792.0,61185.0,54048.0,61441.0,1,1,53792.0,61185.0,53920.0,61313.0
2460628-B2,top_left,1.0,131,57888.0,36609.0,57888.0,36609.0,58144.0,36865.0,1,1,57888.0,36609.0,58016.0,36737.0
2460628-B2,top_left,1.0,134,57888.0,48897.0,57888.0,48897.0,58144.0,49153.0,1,1,57888.0,48897.0,58016.0,49025.0
2460628-B2,top_left,1.0,140,61984.0,48897.0,61984.0,48897.0,62240.0,49153.0,1,1,61984.0,48897.0,62112.0,49025.0
2460628-B2,top_left,1.0,146,84066.0,10928.0,84066.0,10928.0,84322.0,11184.0,1,1,84066.0,10928.0,84194.0,11056.0
2460628-B2,top_left,1.0,162,88162.0,19120.0,88162.0,19120.0,88418.0,19376.0,1,1,88162.0,19120.0,88290.0,19248.0
