slide_id,proposal_id,source_type,center_patch_index,center_coord_x,center_coord_y,proposal_coord_x,proposal_coord_y,proposal_center_x,proposal_center_y,proposal_bbox_x0,proposal_bbox_y0,proposal_bbox_x1,proposal_bbox_y1,proposal_score,center_patch_score,neighbor_count,proposal_class,proposal_class_name,proposal_prompt_index,proposal_concept,proposal_prompt
2460239-B2,1,global_rank_58,0,101700.0,43681.0,101700.0,43681.0,101828.0,43809.0,101700.0,43681.0,101956.0,43937.0,0.4357258081436157,0.4357258081436157,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,2,global_rank_17,2,105284.0,56983.0,105284.0,56983.0,105412.0,57111.0,105284.0,56983.0,105540.0,57239.0,0.45654740929603577,0.45654740929603577,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,3,global_rank_49,4,105796.0,31393.0,105796.0,31393.0,105924.0,31521.0,105796.0,31393.0,106052.0,31649.0,0.43943530321121216,0.43943530321121216,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,4,global_rank_9|concept_rank_2_local_4|concept_rank_4_local_1|concept_rank_5_local_1,5,105796.0,35489.0,105796.0,35489.0,105924.0,35617.0,105796.0,35489.0,106052.0,35745.0,0.4601617157459259,0.4601617157459259,1,0,Adenocarcinoma,2,papillary architecture,A low magnification histopathology image showing lung adenocarcinoma with papillary architecture.
2460239-B2,5,global_rank_59,6,105796.0,39585.0,105796.0,39585.0,105924.0,39713.0,105796.0,39585.0,106052.0,39841.0,0.4353301227092743,0.4353301227092743,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,6,global_rank_21,9,106340.0,64168.0,106340.0,64168.0,106468.0,64296.0,106340.0,64168.0,106596.0,64424.0,0.4536670744419098,0.4536670744419098,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,7,global_rank_54,10,106612.0,61927.0,106612.0,61927.0,106740.0,62055.0,106612.0,61927.0,106868.0,62183.0,0.43716683983802795,0.43716683983802795,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,8,global_rank_30,13,109892.0,19105.0,109892.0,19105.0,110020.0,19233.0,109892.0,19105.0,110148.0,19361.0,0.4489530324935913,0.4489530324935913,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,9,global_rank_41,15,109892.0,31393.0,109892.0,31393.0,110020.0,31521.0,109892.0,31393.0,110148.0,31649.0,0.44214633107185364,0.44214633107185364,1,0,Adenocarcinoma,4,solid growth pattern,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.
2460239-B2,10,global_rank_3|concept_rank_4_local_4,19,109892.0,47777.0,109892.0,47777.0,110020.0,47905.0,109892.0,47777.0,110148.0,48033.0,0.46646201610565186,0.46646201610565186,1,1,NonAdenocarcinoma,5,metastatic tumor in lung,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.
2460239-B2,11,global_rank_29,23,110436.0,64168.0,110436.0,64168.0,110564.0,64296.0,110436.0,64168.0,110692.0,64424.0,0.44977909326553345,0.44977909326553345,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,12,global_rank_22,27,113988.0,27297.0,113988.0,27297.0,114116.0,27425.0,113988.0,27297.0,114244.0,27553.0,0.45315229892730713,0.45315229892730713,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,13,global_rank_44,32,113988.0,47777.0,113988.0,47777.0,114116.0,47905.0,113988.0,47777.0,114244.0,48033.0,0.44141173362731934,0.44141173362731934,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,14,global_rank_5|concept_rank_1_local_3,35,117333.0,74376.0,117333.0,74376.0,117461.0,74504.0,117333.0,74376.0,117589.0,74632.0,0.4656977951526642,0.4656977951526642,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
