variant,fold,test_auc,test_acc,test_f1,balanced_acc,sensitivity,specificity,pr_auc,val_auc
prarc_v1_g05,1,0.9712357954545454,0.9072164948453608,0.898109243697479,0.904000946969697,0.8939393939393939,0.9140625,0.9443079345706208,0.9483901515151516
prarc_v1_g05,2,0.9463778409090908,0.8814432989690721,0.8684357953707799,0.8697916666666667,0.8333333333333334,0.90625,0.9164599324767624,0.991068280644024
prarc_v1_g05,3,0.9883652603126102,0.9587628865979382,0.953726893261777,0.9473498648489834,0.9104477611940298,0.984251968503937,0.9682414544371718,0.9583631591505608
prarc_v1_g05,4,0.955261274158912,0.911917098445596,0.9002523333231995,0.8930446194225722,0.8333333333333334,0.952755905511811,0.9321667465727594,0.9572894297303748
prarc_v1_g05,5,0.9387974230493916,0.9067357512953368,0.8971215351812367,0.9000238606537819,0.8787878787878788,0.9212598425196852,0.903672613291362,0.9532433712121212
prarc_v1_g08,1,0.9538352272727272,0.865979381443299,0.8572398958451262,0.8764204545454546,0.9090909090909092,0.84375,0.9239051339420804,0.933001893939394
prarc_v1_g08,2,0.9487452651515152,0.8865979381443299,0.8754668534080299,0.8810369318181819,0.8636363636363636,0.8984375,0.9160667776247088,0.98860030555882
prarc_v1_g08,3,0.993301210483018,0.9329896907216496,0.922626169657923,0.906510753320014,0.8208955223880597,0.9921259842519684,0.9869533158483073,0.962419470293486
prarc_v1_g08,4,0.9520400858983536,0.917098445595855,0.9049495198227038,0.8933428775948461,0.8181818181818182,0.968503937007874,0.9264485290129808,0.9590789787640182
prarc_v1_g08,5,0.9459556191839656,0.8911917098445595,0.8795506552943624,0.880935337628251,0.8484848484848485,0.9133858267716536,0.8514302393297432,0.951941287878788
prarc_v1_g10,1,0.9700520833333334,0.9123711340206184,0.8988188372449762,0.8858901515151515,0.803030303030303,0.96875,0.9439513264189155,0.9482717803030304
prarc_v1_g10,2,0.9506392045454546,0.8969072164948454,0.8867880485527544,0.8925189393939394,0.8787878787878788,0.90625,0.9231004427455376,0.9913033258902338
prarc_v1_g10,3,0.9914208485133388,0.9175257731958762,0.9043510415382718,0.8876483723116699,0.7910447761194029,0.984251968503937,0.9853177333984764,0.9593175853018372
prarc_v1_g10,4,0.929849677881174,0.8860103626943006,0.8714268410852712,0.8660820806490097,0.803030303030303,0.9291338582677166,0.9116643297353128,0.9282987353853496
prarc_v1_g10,5,0.9429730374612264,0.8704663212435233,0.8576066105946584,0.8615485564304461,0.8333333333333334,0.889763779527559,0.8875843082246461,0.9495738636363638
