slide_id,has_5x_feature,has_20x_feature,low_coord_key,high_coord_key,low_coords_present,high_coords_present,has_both_coords,low_coords_shape,high_coords_shape,low_coords_dtype,high_coords_dtype,low_coords_count,high_coords_count,low_duplicate_count,high_duplicate_count,low_has_negative_coords,high_has_negative_coords,low_has_nan_or_inf,high_has_nan_or_inf,low_has_extreme_coords,high_has_extreme_coords,low_coord_min_x,low_coord_min_y,low_coord_max_x,low_coord_max_y,high_coord_min_x,high_coord_min_y,high_coord_max_x,high_coord_max_y,low_raw_coord_has_file,high_raw_coord_has_file,low_patch_level,high_patch_level,low_patch_size,high_patch_size,low_downsample_x,low_downsample_y,high_downsample_x,high_downsample_y
2460239-B2,True,True,coords,coords,True,True,True,"[187, 2]","[2592, 2]",int64,int64,187,2592,0,0,False,False,False,False,False,False,17328.0,2848.0,149110.0,78472.0,17328.0,2848.0,150134.0,79496.0,True,True,2.0,1.0,256.0,256.0,16.00074444326279,16.002004738472753,4.000079759657565,4.000136674259681
2460242-B2,True,True,coords,coords,True,True,True,"[426, 2]","[6128, 2]",int64,int64,426,6128,0,0,False,False,False,False,False,False,18401.0,4240.0,173341.0,83856.0,18401.0,1568.0,176413.0,84208.0,True,True,2.0,1.0,256.0,256.0,16.001316020354448,16.002004738472753,4.000065796688233,4.000136674259681
2460399-B2,True,True,coords,coords,True,True,True,"[285, 2]","[4103, 2]",int64,int64,285,4103,0,0,False,False,False,False,False,False,8112.0,7232.0,132645.0,73360.0,8112.0,7232.0,134693.0,76432.0,True,True,2.0,1.0,256.0,256.0,16.00111719360965,16.002004738472753,4.000055856560353,4.000136674259681
2460404-B3,True,True,coords,coords,True,True,True,"[308, 2]","[4243, 2]",int64,int64,308,4243,0,0,False,False,False,False,False,False,13616.0,0.0,164528.0,80576.0,13616.0,0.0,165904.0,82624.0,True,True,2.0,1.0,256.0,256.0,16.0,16.002004738472753,4.0,4.000136674259681
2460405-B2,True,True,coords,coords,True,True,True,"[128, 2]","[1742, 2]",int64,int64,128,1742,0,0,False,False,False,False,False,False,8048.0,4880.0,140829.0,73750.0,8048.0,4880.0,143901.0,74774.0,True,True,2.0,1.0,256.0,256.0,16.001531896268737,16.00154261473197,4.0000547060915235,4.0
2460591-B2,True,True,coords,coords,True,True,True,"[253, 2]","[3248, 2]",int64,int64,253,3248,0,0,False,False,False,False,False,False,14848.0,1152.0,174706.0,75304.0,14848.0,1152.0,179826.0,79400.0,True,True,2.0,1.0,256.0,256.0,16.000258910848366,16.002004738472753,4.0000647277120915,4.000136674259681
2460602-B,True,True,coords,coords,True,True,True,"[252, 2]","[3707, 2]",int64,int64,252,3707,0,0,False,False,False,False,False,False,12704.0,9393.0,140373.0,79025.0,12704.0,9393.0,152824.0,80049.0,True,True,2.0,1.0,256.0,256.0,16.000929848124805,16.002780536246277,4.000025827780361,4.000099290075957
2460628-B2,True,True,coords,coords,True,True,True,"[190, 2]","[2668, 2]",int64,int64,190,2668,0,0,False,False,False,False,False,False,8736.0,6832.0,127619.0,65281.0,8736.0,6832.0,130691.0,69377.0,True,True,2.0,1.0,256.0,256.0,16.000427670266223,16.002063131834124,4.0,4.000103145951521
2460641-B2,True,True,coords,coords,True,True,True,"[242, 2]","[3511, 2]",int64,int64,242,3511,0,0,False,False,False,False,False,False,7760.0,17282.0,124614.0,78930.0,7760.0,17282.0,127547.0,82818.0,True,True,2.0,1.0,256.0,256.0,16.001405101599655,16.002004738472753,4.000027018994353,4.000136674259681
2460643-B,True,True,coords,coords,True,True,True,"[182, 2]","[2656, 2]",int64,int64,182,2656,0,0,False,False,False,False,False,False,7888.0,6177.0,110161.0,71713.0,7888.0,6177.0,113233.0,73761.0,True,True,2.0,1.0,256.0,256.0,16.000387897595036,16.002780536246277,4.000096974398759,4.000099290075957
2460753-B2,True,True,coords,coords,True,True,True,"[201, 2]","[2859, 2]",int64,int64,201,2859,0,0,False,False,False,False,False,False,8977.0,5664.0,133326.0,73328.0,10001.0,5664.0,134270.0,80240.0,True,True,2.0,1.0,256.0,256.0,16.001783378908573,16.0,4.000089160995037,4.0
2460770-B2,True,True,coords,coords,True,True,True,"[181, 2]","[2521, 2]",int64,int64,181,2521,0,0,False,False,False,False,False,False,17505.0,0.0,135928.0,63335.0,17505.0,0.0,135928.0,69447.0,True,True,2.0,1.0,256.0,256.0,16.00105786522797,16.002004738472753,4.0000528904638495,4.000136674259681
2460949-B3,True,True,coords,coords,True,True,True,"[200, 2]","[2813, 2]",int64,int64,200,2813,0,0,False,False,False,False,False,False,9664.0,11057.0,127289.0,77321.0,9664.0,7440.0,131385.0,80393.0,True,True,2.0,1.0,256.0,256.0,16.00119961612284,16.002004738472753,4.000059977208661,4.000136674259681
2460960-B,True,True,coords,coords,True,True,True,"[343, 2]","[4901, 2]",int64,int64,343,4901,0,0,False,False,False,False,False,False,8304.0,7072.0,141654.0,82616.0,8304.0,7072.0,146774.0,83640.0,True,True,2.0,1.0,256.0,256.0,16.00130053105018,16.002004738472753,4.0,4.000136674259681
2460974-B2,True,True,coords,coords,True,True,True,"[234, 2]","[3353, 2]",int64,int64,234,3353,0,0,False,False,False,False,False,False,8032.0,6465.0,129072.0,67905.0,8032.0,6465.0,132528.0,70421.0,True,True,2.0,1.0,256.0,256.0,16.0,16.002780536246277,4.0,4.000099290075957
2461002-B2,True,True,coords,coords,True,True,True,"[135, 2]","[1733, 2]",int64,int64,135,1733,0,0,False,False,False,False,False,False,8960.0,6560.0,112321.0,47808.0,8960.0,6560.0,116417.0,49856.0,True,True,2.0,1.0,256.0,256.0,16.000387897595036,16.001902173913045,4.000096974398759,4.000203790503362
2461487-B2,True,True,coords,coords,True,True,True,"[232, 2]","[3195, 2]",int64,int64,232,3195,0,0,False,False,False,False,False,False,7648.0,6608.0,164883.0,49584.0,7648.0,6608.0,171027.0,52656.0,True,True,2.0,1.0,256.0,256.0,16.000368358044017,16.0,4.0,4.0
2461671-B2,True,True,coords,coords,True,True,True,"[328, 2]","[4887, 2]",int64,int64,328,4887,0,0,False,False,False,False,False,False,7776.0,6736.0,133683.0,73569.0,7776.0,6736.0,134707.0,75344.0,True,True,2.0,1.0,256.0,256.0,16.000786428491182,16.001727115716754,4.000084257828957,4.000047970833733
2461672-B2,True,True,coords,coords,True,True,True,"[212, 2]","[2880, 2]",int64,int64,212,2880,0,0,False,False,False,False,False,False,10064.0,9584.0,164695.0,61572.0,10064.0,9584.0,166743.0,65668.0,True,True,2.0,1.0,256.0,256.0,16.0011448196909,16.001319841619004,4.0,4.000109980753368
2461677-B2,True,True,coords,coords,True,True,True,"[60, 2]","[812, 2]",int64,int64,60,812,0,0,False,False,False,False,False,False,54498.0,6497.0,135398.0,38583.0,54498.0,6497.0,139494.0,39622.0,True,True,2.0,1.0,256.0,256.0,16.000871744578838,16.00299550673989,4.0,4.0
2461698-B,True,True,coords,coords,True,True,True,"[239, 2]","[3447, 2]",int64,int64,239,3447,0,0,False,False,False,False,False,False,9152.0,3120.0,147544.0,72752.0,9152.0,3120.0,152264.0,78753.0,True,True,2.0,1.0,256.0,256.0,16.000916777019455,16.000382848392036,4.000025464731347,4.000095712098009
2461700-B2,True,True,coords,coords,True,True,True,"[74, 2]","[996, 2]",int64,int64,74,996,0,0,False,False,False,False,False,False,9264.0,6769.0,99623.0,45570.0,9264.0,6769.0,101671.0,46594.0,True,True,2.0,1.0,256.0,256.0,16.001604668125456,16.003683763105695,4.000109401210707,4.000070826545789
2461703-B3,True,True,coords,coords,True,True,True,"[253, 2]","[3694, 2]",int64,int64,253,3694,0,0,False,False,False,False,False,False,8016.0,6256.0,146296.0,76209.0,8016.0,6256.0,148344.0,79281.0,True,True,2.0,1.0,256.0,256.0,16.000940832113738,16.002004738472753,4.000026132859458,4.000136674259681
2461718-B3,True,True,coords,coords,True,True,True,"[82, 2]","[1067, 2]",int64,int64,82,1067,0,0,False,False,False,False,False,False,13584.0,6592.0,116401.0,72454.0,13584.0,6592.0,119441.0,73478.0,True,True,2.0,1.0,256.0,256.0,16.000251256281405,16.002280935183425,4.000062814070351,4.0
