fold,test_auc,test_acc,test_f1,val_auc,val_acc
1,0.9429730374612264,0.8756476683937824,0.863764705882353,0.9433309472679551,0.9067357512953368
2,0.9708900023860654,0.9430051813471503,0.9364466397245921,0.9423765211166785,0.9067357512953368
3,0.9382009067048438,0.8704663212435233,0.8603271095672311,0.9518014793605345,0.917098445595855
4,0.9446432832259604,0.8808290155440415,0.8689980817470857,0.9348604151753758,0.9067357512953368
5,0.940586972083035,0.8963730569948186,0.8856905946458185,0.9617036506800287,0.927461139896373
6,0.9377236936292054,0.8652849740932642,0.8468253968253968,0.9522786924361728,0.9119170984455959
7,0.9687425435456931,0.9119170984455959,0.9044359653977223,0.931997136721546,0.8704663212435233
8,0.9837747554282987,0.927461139896373,0.919983416252073,0.930088284418993,0.8911917098445596
9,0.9430923407301359,0.8808290155440415,0.8650472744960933,0.9679074206633261,0.917098445595855
10,0.9424958243855882,0.8756476683937824,0.8561847988077496,0.9557384872345502,0.9119170984455959
