experiment,source_dir,fold_summary_file,fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
BiomedCLIP static prompt baseline,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1/fold_summary.csv,1,0.9788707386363636,0.9381443298969072,0.9305903398926656,0.962890625,0.922680412371134,,,,
BiomedCLIP static prompt baseline,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1/fold_summary.csv,2,0.9608191287878788,0.865979381443299,0.86002886002886,0.9739099776707016,0.9536082474226804,,,,
BiomedCLIP static prompt baseline,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1/fold_summary.csv,3,0.9806087671876836,0.9536082474226804,0.9485183547103052,0.9582438558816512,0.922279792746114,,,,
BiomedCLIP static prompt baseline,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1/fold_summary.csv,4,0.9562157003101884,0.927461139896373,0.9210495558672276,0.966595084705321,0.9378238341968912,,,,
BiomedCLIP static prompt baseline,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adenocarcinoma_biomedclip_dual_strict5_s1/fold_summary.csv,5,0.9593175853018372,0.927461139896373,0.919983416252073,0.9836647727272728,0.9484536082474226,,,,
Concept-6 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1/fold_summary.csv,1,0.9820075757575758,0.922680412371134,0.9148001756697408,0.9679214015151516,0.9278350515463918,,,,
Concept-6 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1/fold_summary.csv,2,0.9584517045454546,0.8814432989690721,0.8740508651593417,0.9795510635797392,0.9536082474226804,,,,
Concept-6 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1/fold_summary.csv,3,0.9739099776707016,0.9484536082474226,0.9430015277941004,0.960510617990933,0.932642487046632,,,,
Concept-6 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1/fold_summary.csv,4,0.9648055356716774,0.922279792746114,0.915134992524844,0.9578859460749224,0.927461139896373,,,,
Concept-6 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_stage2_concept_mean_s1/fold_summary.csv,5,0.9606895728942972,0.932642487046632,0.9259554375092224,0.978693181818182,0.9484536082474226,,,,
