candidate_experiment,reference_experiment,fold,delta_test_auc,test_auc_outcome,delta_test_acc,test_acc_outcome,delta_test_f1,test_f1_outcome,delta_balanced_acc,balanced_acc_outcome,delta_sensitivity,sensitivity_outcome,delta_specificity,specificity_outcome,delta_pr_auc,pr_auc_outcome
Concept-12 PEPS topk=5 tau=0.1,Concept-12 embedding_mean,1,-0.0016571969696967948,loss,-0.020618556701030744,loss,-0.021978975088264185,loss,-0.015625,loss,0.0,tie,-0.03125,loss,-0.006741324260272075,loss
Concept-12 PEPS topk=5 tau=0.1,Concept-12 embedding_mean,2,-0.004734848484848508,loss,0.0,tie,-0.0011907909647201897,loss,-0.007339015151515027,loss,-0.030303030303030387,loss,0.015625,win,-0.010701165035541638,loss
Concept-12 PEPS topk=5 tau=0.1,Concept-12 embedding_mean,3,0.010929603948760191,win,0.005154639175257714,win,0.0060350309260192025,win,0.007462686567163979,win,0.014925373134328401,win,0.0,tie,0.004536064858829181,win
Concept-12 PEPS topk=5 tau=0.1,Concept-12 embedding_mean,4,0.004056311142925373,win,0.020725388601036343,win,0.023197115384615552,win,0.023025530899546842,win,0.030303030303030387,win,0.015748031496062964,win,-0.020283589281396064,loss
Concept-12 PEPS topk=5 tau=0.1,Concept-12 embedding_mean,5,0.009484609878310568,win,0.005181347150259197,win,0.005517170535272231,win,0.003937007874015852,win,0.0,tie,0.007874015748031371,win,0.035533559395901526,win
Concept-12 PEPS topk=3 tau=0.1,Concept-12 embedding_mean,1,-0.002012310606060441,loss,-0.020618556701030744,loss,-0.021978975088264185,loss,-0.015625,loss,0.0,tie,-0.03125,loss,-0.007452223413145775,loss
Concept-12 PEPS topk=3 tau=0.1,Concept-12 embedding_mean,2,-0.004616477272727182,loss,0.020618556701030966,win,0.019011192871336346,win,0.0009469696969698349,win,-0.06060606060606066,loss,0.0625,win,-0.01353645828868244,loss
Concept-12 PEPS topk=3 tau=0.1,Concept-12 embedding_mean,3,0.004935950170407821,win,-0.005154639175257825,loss,-0.004628741678857851,loss,0.003114349512280734,win,0.02985074626865669,win,-0.02362204724409467,loss,0.0031062628874675147,win
Concept-12 PEPS topk=3 tau=0.1,Concept-12 embedding_mean,4,0.004414220949653935,win,0.015544041450777368,win,0.017153466721308575,win,0.015449773323789273,win,0.015151515151515138,win,0.015748031496062964,win,-0.024045749830036822,loss
Concept-12 PEPS topk=3 tau=0.1,Concept-12 embedding_mean,5,0.007814364113576722,win,0.0,tie,0.0,tie,0.0,tie,0.0,tie,0.0,tie,0.04961045756944338,win
Concept-12 PEPS topk=5 tau=0.1,Concept-12 MLP dynamic_gate,1,-0.005326704545454364,loss,-0.005154639175257603,loss,-0.007196082723691655,loss,-0.018584280303030276,loss,-0.06060606060606055,loss,0.0234375,win,-0.012399154313948446,loss
Concept-12 PEPS topk=5 tau=0.1,Concept-12 MLP dynamic_gate,2,0.0008285984848486194,win,0.010309278350515427,win,0.012635914580886087,win,0.018821022727272707,win,0.045454545454545414,win,-0.0078125,loss,0.019678435804392436,win
Concept-12 PEPS topk=5 tau=0.1,Concept-12 MLP dynamic_gate,3,0.012222352802914505,win,0.005154639175257714,win,0.0055831451180288205,win,0.00393700787401563,win,0.0,tie,0.007874015748031482,win,0.007987329991087977,win
Concept-12 PEPS topk=5 tau=0.1,Concept-12 MLP dynamic_gate,4,0.015449773323789162,win,0.031088082901554404,win,0.034109335136648156,win,0.030899546647578213,win,0.030303030303030387,win,0.03149606299212593,win,0.02864849455396956,win
Concept-12 PEPS topk=5 tau=0.1,Concept-12 MLP dynamic_gate,5,-0.0029825817227392415,loss,-0.005181347150259197,loss,-0.006938254815495815,loss,-0.014853256979241447,loss,-0.045454545454545525,loss,0.015748031496062742,win,0.02625602106100189,win
