experiment,method_family,fold,status,low_top1_unique_prompts,high_top1_unique_prompts,low_prompt_entropy,high_prompt_entropy,low_prompt_collapse_rate,high_prompt_collapse_rate,num_low_samples,num_high_samples
Concept-12 PEPS topk=1 tau=0.1,peps,1,ok,9,10,1.5418838536970845,1.5047466250717765,0.37628865979381443,0.5051546391752577,194,194
Concept-12 PEPS topk=1 tau=0.1,peps,2,ok,9,6,1.4379782943798856,0.8879172613574391,0.5618556701030928,0.6030927835051546,194,194
Concept-12 PEPS topk=1 tau=0.1,peps,3,ok,9,6,1.244005226969042,1.0000480878185387,0.6391752577319587,0.654639175257732,194,194
Concept-12 PEPS topk=1 tau=0.1,peps,4,ok,11,8,1.9086605345345435,1.5361403592734146,0.30569948186528495,0.49740932642487046,193,193
Concept-12 PEPS topk=1 tau=0.1,peps,5,ok,9,3,1.612784866799193,0.8107056300617845,0.3160621761658031,0.6113989637305699,193,193
Concept-12 PEPS topk=3 tau=0.1,peps,1,ok,8,9,1.5466314212728336,1.5506149032046195,0.33505154639175255,0.4690721649484536,194,194
Concept-12 PEPS topk=3 tau=0.1,peps,2,ok,11,11,1.3600972465262855,1.8839821116565967,0.634020618556701,0.30927835051546393,194,194
Concept-12 PEPS topk=3 tau=0.1,peps,3,ok,6,3,1.0419124729991156,0.6873700895898751,0.6494845360824743,0.6597938144329897,194,194
Concept-12 PEPS topk=3 tau=0.1,peps,4,ok,8,8,1.5472171324168429,1.5520105859006068,0.34196891191709844,0.40932642487046633,193,193
Concept-12 PEPS topk=3 tau=0.1,peps,5,ok,17,10,2.409127081569243,1.8057252431498434,0.18134715025906736,0.35233160621761656,193,193
Concept-12 PEPS topk=5 tau=0.1,peps,1,ok,8,8,1.5325252181980775,1.571112786898142,0.3556701030927835,0.44329896907216493,194,194
Concept-12 PEPS topk=5 tau=0.1,peps,2,ok,10,6,1.4816927970789322,1.0520778943932692,0.5154639175257731,0.6030927835051546,194,194
Concept-12 PEPS topk=5 tau=0.1,peps,3,ok,8,5,1.195492446940661,0.9357084735093825,0.654639175257732,0.6804123711340206,194,194
Concept-12 PEPS topk=5 tau=0.1,peps,4,ok,8,7,1.5724402387899103,1.4300285908553843,0.3471502590673575,0.46632124352331605,193,193
Concept-12 PEPS topk=5 tau=0.1,peps,5,ok,11,5,1.9427573569833143,1.0941654235133882,0.23834196891191708,0.6062176165803109,193,193
Concept-12 PEPS topk=3 tau=0.07,peps,1,ok,11,7,1.3401952306870382,1.5807076410833054,0.6185567010309279,0.34536082474226804,194,194
Concept-12 PEPS topk=3 tau=0.07,peps,2,ok,7,6,1.1413494364626378,1.0085763481262442,0.6237113402061856,0.5360824742268041,194,194
Concept-12 PEPS topk=3 tau=0.07,peps,3,ok,9,6,1.5343136438105063,0.9879576533510547,0.520618556701031,0.634020618556701,194,194
Concept-12 PEPS topk=3 tau=0.07,peps,4,ok,7,4,1.2316439649427846,0.8347340304188076,0.6062176165803109,0.6528497409326425,193,193
Concept-12 PEPS topk=3 tau=0.07,peps,5,ok,9,6,1.7307289665877994,0.8673024217210019,0.44041450777202074,0.6269430051813472,193,193
Concept-12 PEPS topk=3 tau=0.15,peps,1,ok,9,10,1.501053038944192,1.7248567076602508,0.4329896907216495,0.36597938144329895,194,194
Concept-12 PEPS topk=3 tau=0.15,peps,2,ok,8,6,1.4979026880878055,1.0416988975549875,0.35051546391752575,0.5979381443298969,194,194
Concept-12 PEPS topk=3 tau=0.15,peps,3,ok,8,6,1.1585719013865752,0.9656331422627199,0.6701030927835051,0.7164948453608248,194,194
Concept-12 PEPS topk=3 tau=0.15,peps,4,ok,12,12,1.5489716735522439,1.364231574475844,0.5181347150259067,0.5958549222797928,193,193
Concept-12 PEPS topk=3 tau=0.15,peps,5,ok,12,5,1.7516395128137858,1.1491002916091877,0.36787564766839376,0.41450777202072536,193,193
Concept-12 PEPS topk=5 tau=0.07,peps,1,ok,12,8,1.3481306844416976,1.7077259897596992,0.6134020618556701,0.28350515463917525,194,194
Concept-12 PEPS topk=5 tau=0.07,peps,2,ok,8,6,1.1436067485426604,1.0633412066066998,0.6185567010309279,0.5154639175257731,194,194
Concept-12 PEPS topk=5 tau=0.07,peps,3,ok,9,6,1.5819825477414386,0.9304459191155999,0.4639175257731959,0.6597938144329897,194,194
Concept-12 PEPS topk=5 tau=0.07,peps,4,ok,8,5,1.4563007971730397,0.8222027999718972,0.5181347150259067,0.6528497409326425,193,193
Concept-12 PEPS topk=5 tau=0.07,peps,5,ok,12,8,1.7492863119457756,1.4059888144177104,0.39378238341968913,0.48704663212435234,193,193
Concept-12 PEPS topk=5 tau=0.15,peps,1,ok,9,10,1.567372476417784,1.7401338416602012,0.3711340206185567,0.38144329896907214,194,194
Concept-12 PEPS topk=5 tau=0.15,peps,2,ok,9,6,1.6028211681666906,1.0045794920599975,0.39690721649484534,0.6082474226804123,194,194
Concept-12 PEPS topk=5 tau=0.15,peps,3,ok,7,3,1.1480281969943196,0.7589388477453417,0.634020618556701,0.6804123711340206,194,194
