slide_id,fold_ids,num_folds,status,low_h5_path,high_h5_path,n_low,n_high,low_x_min,low_x_max,low_y_min,low_y_max,low_range_x,low_range_y,high_x_min,high_x_max,high_y_min,high_y_max,high_range_x,high_range_y,range_ratio_x,range_ratio_y
2460239-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460239-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460239-B2.h5,187,2592,17328.0,149110.0,2848.0,78472.0,131782.0,75624.0,17328.0,150134.0,2848.0,79496.0,132806.0,76648.0,1.007770408705286,1.0135406749180154
2460242-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460242-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460242-B2.h5,426,6128,18401.0,173341.0,4240.0,83856.0,154940.0,79616.0,18401.0,176413.0,1568.0,84208.0,158012.0,82640.0,1.0198270298179941,1.0379823151125402
2460399-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460399-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460399-B2.h5,285,4103,8112.0,132645.0,7232.0,73360.0,124533.0,66128.0,8112.0,134693.0,7232.0,76432.0,126581.0,69200.0,1.0164454401644545,1.0464553593031696
2460404-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460404-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460404-B3.h5,308,4243,13616.0,164528.0,0.0,80576.0,150912.0,80576.0,13616.0,165904.0,0.0,82624.0,152288.0,82624.0,1.0091178965224767,1.0254169976171565
2460405-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460405-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460405-B2.h5,128,1742,8048.0,140829.0,4880.0,73750.0,132781.0,68870.0,8048.0,143901.0,4880.0,74774.0,135853.0,69894.0,1.0231358402181034,1.0148685930013068
2460591-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460591-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460591-B2.h5,253,3248,14848.0,174706.0,1152.0,75304.0,159858.0,74152.0,14848.0,179826.0,1152.0,79400.0,164978.0,78248.0,1.0320284252273892,1.0552378897399934
2460602-B,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460602-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460602-B.h5,252,3707,12704.0,140373.0,9393.0,79025.0,127669.0,69632.0,12704.0,152824.0,9393.0,80049.0,140120.0,70656.0,1.0975256326907863,1.0147058823529411
2460615-B4,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460615-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460615-B4.h5,157,2071,16208.0,130308.0,192.0,68674.0,114100.0,68482.0,16208.0,132388.0,192.0,68674.0,116180.0,68482.0,1.0182296231375987,1.0
2460628-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460628-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460628-B2.h5,190,2668,8736.0,127619.0,6832.0,65281.0,118883.0,58449.0,8736.0,130691.0,6832.0,69377.0,121955.0,62545.0,1.025840532288048,1.0700781878218617
2460641-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460641-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460641-B2.h5,242,3511,7760.0,124614.0,17282.0,78930.0,116854.0,61648.0,7760.0,127547.0,17282.0,82818.0,119787.0,65536.0,1.0250996970578672,1.0630677394238255
2460643-B,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460643-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460643-B.h5,182,2656,7888.0,110161.0,6177.0,71713.0,102273.0,65536.0,7888.0,113233.0,6177.0,73761.0,105345.0,67584.0,1.0300372532339914,1.03125
2460753-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460753-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460753-B2.h5,201,2859,8977.0,133326.0,5664.0,73328.0,124349.0,67664.0,10001.0,134270.0,5664.0,80240.0,124269.0,74576.0,0.9993566494302326,1.1021518089382834
2460770-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460770-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460770-B2.h5,181,2521,17505.0,135928.0,0.0,63335.0,118423.0,63335.0,17505.0,135928.0,0.0,69447.0,118423.0,69447.0,1.0,1.0965027236125364
2460943-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460943-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460943-B3.h5,98,1349,7936.0,103593.0,6513.0,43377.0,95657.0,36864.0,7936.0,106665.0,6513.0,47473.0,98729.0,40960.0,1.032114743301588,1.1111111111111112
2460949-B3,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460949-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460949-B3.h5,200,2813,9664.0,127289.0,11057.0,77321.0,117625.0,66264.0,9664.0,131385.0,7440.0,80393.0,121721.0,72953.0,1.0348225292242295,1.1009447060243873
2460960-B,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460960-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460960-B.h5,343,4901,8304.0,141654.0,7072.0,82616.0,133350.0,75544.0,8304.0,146774.0,7072.0,83640.0,138470.0,76568.0,1.038395200599925,1.0135550142963041
2460974-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2460974-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460974-B2.h5,234,3353,8032.0,129072.0,6465.0,67905.0,121040.0,61440.0,8032.0,132528.0,6465.0,70421.0,124496.0,63956.0,1.028552544613351,1.0409505208333334
2461002-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461002-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461002-B2.h5,135,1733,8960.0,112321.0,6560.0,47808.0,103361.0,41248.0,8960.0,116417.0,6560.0,49856.0,107457.0,43296.0,1.03962809957334,1.0496508921644685
2461487-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461487-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461487-B2.h5,232,3195,7648.0,164883.0,6608.0,49584.0,157235.0,42976.0,7648.0,171027.0,6608.0,52656.0,163379.0,46048.0,1.0390752695010652,1.071481757259866
2461671-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461671-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461671-B2.h5,328,4887,7776.0,133683.0,6736.0,73569.0,125907.0,66833.0,7776.0,134707.0,6736.0,75344.0,126931.0,68608.0,1.0081329870459943,1.0265587359537953
2461672-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461672-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461672-B2.h5,212,2880,10064.0,164695.0,9584.0,61572.0,154631.0,51988.0,10064.0,166743.0,9584.0,65668.0,156679.0,56084.0,1.0132444335223856,1.078787412479803
2461677-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461677-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461677-B2.h5,60,812,54498.0,135398.0,6497.0,38583.0,80900.0,32086.0,54498.0,139494.0,6497.0,39622.0,84996.0,33125.0,1.0506304079110012,1.032381724116437
2461698-B,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461698-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461698-B.h5,239,3447,9152.0,147544.0,3120.0,72752.0,138392.0,69632.0,9152.0,152264.0,3120.0,78753.0,143112.0,75633.0,1.0341060176888837,1.086181640625
2461700-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461700-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461700-B2.h5,74,996,9264.0,99623.0,6769.0,45570.0,90359.0,38801.0,9264.0,101671.0,6769.0,46594.0,92407.0,39825.0,1.0226651468033068,1.0263910723950413
2461703-B3,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461703-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461703-B3.h5,253,3694,8016.0,146296.0,6256.0,76209.0,138280.0,69953.0,8016.0,148344.0,6256.0,79281.0,140328.0,73025.0,1.0148105293607175,1.0439152002058525
2461718-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461718-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461718-B3.h5,82,1067,13584.0,116401.0,6592.0,72454.0,102817.0,65862.0,13584.0,119441.0,6592.0,73478.0,105857.0,66886.0,1.0295670949356623,1.01554766025933
