slide_id,fold_ids,num_folds,status,scale_ratio,n_low,n_high,n_low_sampled,n_high_sampled,nearest_dist_mean,nearest_dist_median,nearest_dist_p10,nearest_dist_p90,nearest_dist_min,nearest_dist_max,coverage_256,coverage_512,coverage_1024
2460239-B2,0,1,ok,1.0,187,2592,187,2000,2162.368309321765,2048.0,1024.0,3238.1723240124206,0.0,27062.577944460503,0.0505,0.051,0.253
2460239-B2,0,1,ok,2.0,187,2592,187,2000,8495.82430982176,5981.721027958129,2149.709050080964,18781.643037779948,26.30589287593181,43107.71077197211,0.0035,0.0065,0.019
2460239-B2,0,1,ok,4.0,187,2592,187,2000,29164.99513429977,26730.717142676967,6297.897671823904,59974.270858650256,475.0,79403.82303768503,0.0,0.0005,0.0035
2460239-B2,0,1,ok,8.0,187,2592,187,2000,126979.8606058246,130800.96952756439,88919.58530676848,166312.40527888306,59738.93688374443,186892.1420311726,0.0,0.0,0.0
2460242-B2,4,1,ok,1.0,426,6128,426,2000,1688.8864500435586,1448.1546878700494,1024.0,2289.7336089597848,0.0,7265.152028691485,0.0665,0.067,0.295
2460242-B2,4,1,ok,2.0,426,6128,426,2000,5459.730813377016,3877.838702163874,1679.921724366942,12138.217053485747,241.99380157351138,32064.5603899383,0.0065,0.0065,0.0435
2460242-B2,4,1,ok,4.0,426,6128,426,2000,26990.51270932338,22514.99733954377,4997.073588257792,59114.31060760363,399.89123521277634,77222.0582541025,0.0,0.0005,0.0055
2460242-B2,4,1,ok,8.0,426,6128,426,2000,128001.56200301387,127161.68382868118,91423.87137376018,165315.40468431826,63130.25006286606,185037.52073836268,0.0,0.0,0.0
2460399-B2,3,1,ok,1.0,285,4103,285,2000,1702.6660222006306,1448.1546878700494,1024.0,2289.7336089597848,0.0,5514.408762505732,0.068,0.0685,0.286
2460399-B2,3,1,ok,2.0,285,4103,285,2000,7538.940749140469,4353.235118851267,1908.740160419956,18127.616845136927,376.59527347007423,29948.3502049779,0.0,0.01,0.028
2460399-B2,3,1,ok,4.0,285,4103,285,2000,39855.655992420354,37888.61992825406,10933.209272670125,70809.65291107034,534.9476609912413,83867.2474807657,0.0,0.0,0.001
2460399-B2,3,1,ok,8.0,285,4103,285,2000,151271.10512957931,150513.65041238288,124140.12194967711,179799.12444896097,99553.33505714411,194623.40677318338,0.0,0.0,0.0
2460404-B3,3,1,ok,1.0,308,4243,308,2000,1877.1734683145785,2048.0,1024.0,2896.309375740099,0.0,12863.297594318496,0.051,0.051,0.274
2460404-B3,3,1,ok,2.0,308,4243,308,2000,12292.446518329618,11589.402055326236,2921.6543258914116,23082.62778771189,192.66551326067673,37729.13570438634,0.0005,0.0035,0.016
2460404-B3,3,1,ok,4.0,308,4243,308,2000,31942.329950846335,18953.49997600091,4616.103984963944,73887.22904513653,273.408119850161,88536.78322595643,0.0,0.001,0.003
2460404-B3,3,1,ok,8.0,308,4243,308,2000,140173.03729449445,131958.4587847658,98298.957698511,189391.95220007954,60184.33006190233,203816.96321945335,0.0,0.0,0.0
2460405-B2,4,1,ok,1.0,128,1742,128,1742,2305.873463123371,2048.0,1024.0,3072.0,0.0,24560.16302877487,0.0505166475315729,0.0505166475315729,0.25487944890929964
2460405-B2,4,1,ok,2.0,128,1742,128,1742,14088.024662148768,11841.950128124246,4437.670218922239,25946.682424325038,193.63109254456012,58717.55731465675,0.000574052812858783,0.000574052812858783,0.006888633754305396
2460405-B2,4,1,ok,4.0,128,1742,128,1742,62552.04768809419,64886.84477480121,35876.854465088625,87199.06640818535,24778.177919290192,100693.53546280913,0.0,0.0,0.0
2460405-B2,4,1,ok,8.0,128,1742,128,1742,187235.6454135223,187698.96108591958,159461.17890877422,216324.9693062444,122690.80779341214,229926.72767644914,0.0,0.0,0.0
2460591-B2,3,1,ok,1.0,253,3248,253,2000,2002.0842492795164,2048.0,1024.0,3238.1723240124206,0.0,17022.76102751842,0.0475,0.0475,0.248
2460591-B2,3,1,ok,2.0,253,3248,253,2000,14182.347231175758,10697.258818380804,3067.4527383750315,29939.073700189572,65.11528238439882,37918.860755565955,0.002,0.003,0.0105
2460591-B2,3,1,ok,4.0,253,3248,253,2000,23851.047444007094,17566.533253125017,4818.270560571737,61210.81447385399,573.0314127515175,82410.82322729217,0.0,0.0,0.0055
2460591-B2,3,1,ok,8.0,253,3248,253,2000,119146.9994226883,123104.77830351917,72589.73015096482,168954.05478203992,38738.18668962191,189177.76381224088,0.0,0.0,0.0
2460602-B,2,1,ok,1.0,252,3707,252,2000,1776.9613031437777,1448.1546878700494,1024.0,2896.309375740099,0.0,16485.091840811805,0.064,0.064,0.295
2460602-B,2,1,ok,2.0,252,3707,252,2000,9762.05986217368,6382.951746645121,2232.9444686332886,23058.255195468773,435.4595273960601,34259.128783435226,0.0,0.0065,0.021
2460602-B,2,1,ok,4.0,252,3707,252,2000,45089.99743462614,56777.45510823662,6210.302417105002,86422.7179140305,469.34528867348826,101208.82353332639,0.0,0.0005,0.001
2460602-B,2,1,ok,8.0,252,3707,252,2000,160927.75924185073,175551.06410648086,111296.78459956577,206780.9794011103,80904.07208540247,221757.40521795434,0.0,0.0,0.0
