slide_id,fold,prototype_id,anchor_rank,anchor_score,coord_x,coord_y
2460239-B2,0,0,1,0.08741960674524307,41904.0,40801.0
2460239-B2,0,0,2,0.054525721818208694,134468.0,47777.0
2460239-B2,0,0,3,0.0527983158826828,130372.0,43681.0
2460239-B2,0,1,1,0.11752844601869583,41904.0,40801.0
2460239-B2,0,1,2,0.06538782268762589,134468.0,47777.0
2460239-B2,0,1,3,0.06289710104465485,130372.0,43681.0
2460239-B2,0,2,1,0.2365800142288208,41904.0,40801.0
2460239-B2,0,2,2,0.09699231386184692,134468.0,47777.0
2460239-B2,0,2,3,0.09232678264379501,130372.0,43681.0
2460239-B2,0,3,1,0.15401209890842438,41904.0,40801.0
2460239-B2,0,3,2,0.07812871783971786,134468.0,47777.0
2460239-B2,0,3,3,0.0730997622013092,130372.0,43681.0
2460239-B2,0,4,1,0.1792919635772705,41904.0,40801.0
2460239-B2,0,4,2,0.08614694327116013,134468.0,47777.0
2460239-B2,0,4,3,0.08147894591093063,130372.0,43681.0
2460239-B2,0,5,1,0.18871647119522095,41904.0,40801.0
2460239-B2,0,5,2,0.09020406752824783,134468.0,47777.0
2460239-B2,0,5,3,0.08423928916454315,130372.0,43681.0
2460239-B2,0,6,1,0.21293875575065613,41904.0,40801.0
2460239-B2,0,6,2,0.09836052358150482,134468.0,47777.0
2460239-B2,0,6,3,0.08937453478574753,130372.0,43681.0
2460239-B2,0,7,1,0.08086080849170685,41904.0,40801.0
2460239-B2,0,7,2,0.05140957608819008,134468.0,47777.0
2460239-B2,0,7,3,0.04920030012726784,130372.0,43681.0
2460239-B2,0,8,1,0.20491480827331543,41904.0,40801.0
2460239-B2,0,8,2,0.09510169923305511,134468.0,47777.0
2460239-B2,0,8,3,0.08769568055868149,130372.0,43681.0
2460239-B2,0,9,1,0.19446763396263123,41904.0,40801.0
2460239-B2,0,9,2,0.09179824590682983,134468.0,47777.0
2460239-B2,0,9,3,0.0834454745054245,130372.0,43681.0
2460239-B2,0,10,1,0.07836823910474777,41904.0,40801.0
2460239-B2,0,10,2,0.050593193620443344,134468.0,47777.0
2460239-B2,0,10,3,0.0472722053527832,130372.0,43681.0
2460239-B2,0,11,1,0.22067098319530487,41904.0,40801.0
2460239-B2,0,11,2,0.09651100635528564,134468.0,47777.0
2460239-B2,0,11,3,0.0915537029504776,130372.0,43681.0
2460239-B2,0,12,1,0.1646135002374649,41904.0,40801.0
2460239-B2,0,12,2,0.07886102795600891,134468.0,47777.0
2460239-B2,0,12,3,0.07624189555644989,130372.0,43681.0
2460239-B2,0,13,1,0.20878256857395172,41904.0,40801.0
2460239-B2,0,13,2,0.09400691837072372,134468.0,47777.0
2460239-B2,0,13,3,0.08869092166423798,130372.0,43681.0
2460239-B2,0,14,1,0.10195887833833694,41904.0,40801.0
2460239-B2,0,14,2,0.06004103273153305,134468.0,47777.0
2460239-B2,0,14,3,0.056230444461107254,130372.0,43681.0
2460239-B2,0,15,1,0.18988999724388123,41904.0,40801.0
2460239-B2,0,15,2,0.0884706899523735,134468.0,47777.0
2460239-B2,0,15,3,0.0819685086607933,130372.0,43681.0
2460628-B2,0,0,1,0.03890813887119293,16928.0,28417.0
2460628-B2,0,0,2,0.03693247213959694,21024.0,44801.0
2460628-B2,0,0,3,0.033946603536605835,12832.0,24321.0
2460628-B2,0,1,1,0.04809625446796417,16928.0,28417.0
2460628-B2,0,1,2,0.04605786129832268,21024.0,44801.0
2460628-B2,0,1,3,0.04058467224240303,12832.0,24321.0
2460628-B2,0,2,1,0.0856889933347702,16928.0,28417.0
2460628-B2,0,2,2,0.07993728667497635,21024.0,44801.0
2460628-B2,0,2,3,0.06724120676517487,12832.0,24321.0
2460628-B2,0,3,1,0.05927261710166931,16928.0,28417.0
2460628-B2,0,3,2,0.05786038562655449,21024.0,44801.0
2460628-B2,0,3,3,0.0493718720972538,12832.0,24321.0
2460628-B2,0,4,1,0.06956133246421814,16928.0,28417.0
2460628-B2,0,4,2,0.06392352283000946,21024.0,44801.0
2460628-B2,0,4,3,0.05622592940926552,12832.0,24321.0
2460628-B2,0,5,1,0.07363010197877884,16928.0,28417.0
2460628-B2,0,5,2,0.0667247399687767,21024.0,44801.0
2460628-B2,0,5,3,0.05826852470636368,12832.0,24321.0
2460628-B2,0,6,1,0.08100240677595139,16928.0,28417.0
2460628-B2,0,6,2,0.07393544912338257,21024.0,44801.0
2460628-B2,0,6,3,0.06540799140930176,12832.0,24321.0
2460628-B2,0,7,1,0.036336805671453476,16928.0,28417.0
2460628-B2,0,7,2,0.03535901755094528,21024.0,44801.0
2460628-B2,0,7,3,0.03139132261276245,12832.0,24321.0
2460628-B2,0,8,1,0.07855627685785294,16928.0,28417.0
2460628-B2,0,8,2,0.07290568202733994,21024.0,44801.0
2460628-B2,0,8,3,0.06111348420381546,12832.0,24321.0
2460628-B2,0,9,1,0.07284262776374817,16928.0,28417.0
2460628-B2,0,9,2,0.06725109368562698,21024.0,44801.0
2460628-B2,0,9,3,0.059270426630973816,12832.0,24321.0
2460628-B2,0,10,1,0.03505164012312889,16928.0,28417.0
2460628-B2,0,10,2,0.03469015285372734,21024.0,44801.0
2460628-B2,0,10,3,0.030360307544469833,12832.0,24321.0
2460628-B2,0,11,1,0.08139514923095703,16928.0,28417.0
2460628-B2,0,11,2,0.07664608210325241,21024.0,44801.0
2460628-B2,0,11,3,0.06471662223339081,12832.0,24321.0
2460628-B2,0,12,1,0.06155465915799141,16928.0,28417.0
2460628-B2,0,12,2,0.05913097411394119,21024.0,44801.0
2460628-B2,0,12,3,0.050583984702825546,12832.0,24321.0
2460628-B2,0,13,1,0.07879500091075897,16928.0,28417.0
2460628-B2,0,13,2,0.07328160852193832,21024.0,44801.0
2460628-B2,0,13,3,0.06193843483924866,12832.0,24321.0
2460628-B2,0,14,1,0.042922552675008774,16928.0,28417.0
2460628-B2,0,14,2,0.0414663702249527,21024.0,44801.0
2460628-B2,0,14,3,0.03722969815135002,12832.0,24321.0
2460628-B2,0,15,1,0.0712582990527153,16928.0,28417.0
2460628-B2,0,15,2,0.0692233219742775,21024.0,44801.0
2460628-B2,0,15,3,0.056709952652454376,12832.0,24321.0
2460641-B2,0,0,1,0.015646938234567642,44624.0,74834.0
2460641-B2,0,0,2,0.013134830631315708,44624.0,66642.0
2460641-B2,0,0,3,0.012776373885571957,32336.0,50258.0
2460641-B2,0,1,1,0.018284691497683525,44624.0,74834.0
2460641-B2,0,1,2,0.015296011231839657,44624.0,66642.0
2460641-B2,0,1,3,0.014842523261904716,32336.0,50258.0
2460641-B2,0,2,1,0.03090694546699524,44624.0,74834.0
2460641-B2,0,2,2,0.022912928834557533,44624.0,66642.0
2460641-B2,0,2,3,0.02200128883123398,32336.0,50258.0
2460641-B2,0,3,1,0.02207680605351925,44624.0,74834.0
2460641-B2,0,3,2,0.017613839358091354,44624.0,66642.0
2460641-B2,0,3,3,0.017026757821440697,32336.0,50258.0
2460641-B2,0,4,1,0.02469708025455475,44624.0,74834.0
2460641-B2,0,4,2,0.019083863124251366,44624.0,66642.0
2460641-B2,0,4,3,0.018643174320459366,32336.0,50258.0
2460641-B2,0,5,1,0.025454530492424965,44624.0,74834.0
2460641-B2,0,5,2,0.01951633207499981,44624.0,66642.0
2460641-B2,0,5,3,0.019213400781154633,32336.0,50258.0
2460641-B2,0,6,1,0.02935497835278511,44624.0,74834.0
2460641-B2,0,6,2,0.022052980959415436,44624.0,66642.0
2460641-B2,0,6,3,0.02077445574104786,32336.0,50258.0
2460641-B2,0,7,1,0.014649723656475544,44624.0,74834.0
2460641-B2,0,7,2,0.01280228141695261,44624.0,66642.0
