slide_id,fold,raw_attention_shape,a_low_proto_patch_shape,attention_dim_judgement,warning,proto_attention_row_sum_min,proto_attention_row_sum_max,proto_attention_cosine_mean,proto_attention_cosine_median,proto_attention_cosine_max,proto_top1_unique_ratio,proto_top3_overlap_mean,proto_top5_overlap_mean,proto_top1_pairwise_dist_mean,proto_top1_pairwise_dist_median
2460239-B2,0,"(1, 1, 16, 187)","(16, 187)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.972753786744435,0.9905522562474085,0.9998645851934082,0.0625,1.0,1.0,0.0,0.0
2460628-B2,0,"(1, 1, 16, 190)","(16, 190)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.9790775517346976,0.9920666911149802,0.999896299460235,0.0625,1.0,1.0,0.0,0.0
2460641-B2,0,"(1, 1, 16, 242)","(16, 242)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9867862810137212,0.9945947141697395,0.999891114458356,0.0625,0.9583333333333334,1.0,0.0,0.0
2460960-B,0,"(1, 1, 16, 343)","(16, 343)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9706351481925775,0.9887586209252132,0.9999350330512274,0.0625,0.9583333333333334,1.0,0.0,0.0
2461671-B2,0,"(1, 1, 16, 328)","(16, 328)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9679761034390577,0.9879571867072945,0.9998462158333358,0.0625,1.0,1.0,0.0,0.0
2461677-B2,0,"(1, 1, 16, 60)","(16, 60)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9761227000551621,0.9903590347563904,0.9999644297767247,0.0625,1.0,1.0,0.0,0.0
2461700-B2,0,"(1, 1, 16, 74)","(16, 74)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.9807762837452707,0.9924191347267637,0.9999324166467088,0.0625,1.0,0.8616666666666668,0.0,0.0
2462478-B2,0,"(1, 1, 16, 152)","(16, 152)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9867305295435425,0.9951872405880805,0.9998929211646254,0.0625,0.8472222222222221,1.0,0.0,0.0
2462598-B,0,"(1, 1, 16, 195)","(16, 195)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9833276530295064,0.993703975874504,0.9999407587824553,0.0625,1.0,0.9533333333333334,0.0,0.0
2462637-B2,0,"(1, 1, 16, 277)","(16, 277)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9558734066940817,0.9820984750759202,0.9999633052361482,0.0625,1.0,1.0,0.0,0.0
2463127-B3,0,"(1, 1, 16, 261)","(16, 261)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9638537605708367,0.9859371637685462,0.9999121445469732,0.0625,1.0,1.0,0.0,0.0
2463647-B2,0,"(1, 1, 16, 204)","(16, 204)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.970182428056842,0.9894982053170833,0.9999708945559483,0.0625,1.0,1.0,0.0,0.0
2463656-B2,0,"(1, 1, 16, 157)","(16, 157)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0,0.9760680836256338,0.9915553522183382,0.9998990331939993,0.125,1.0,1.0,23694.105775487707,23694.105775487707
2464548-B,0,"(1, 1, 16, 337)","(16, 337)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9616523377939622,0.9848867980186036,0.999936087346532,0.0625,1.0,1.0,0.0,0.0
2465243-B2,0,"(1, 1, 16, 348)","(16, 348)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9706901693042044,0.9887617975502327,0.9998561553272132,0.0625,0.8333333333333333,1.0,0.0,0.0
2465396-B2,0,"(1, 1, 16, 165)","(16, 165)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0,0.9771433735954995,0.9910019254194948,0.9997387001040637,0.0625,0.8222222222222222,1.0,0.0,0.0
2465397-B,0,"(1, 1, 16, 157)","(16, 157)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9668131074747311,0.9879715971986069,0.9999195191805815,0.0625,1.0,1.0,0.0,0.0
2465568-B2,0,"(1, 1, 16, 188)","(16, 188)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9693615962090495,0.9880820330317359,0.9999553801456231,0.0625,1.0,1.0,0.0,0.0
2465608-B2,0,"(1, 1, 16, 259)","(16, 259)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9706693746072721,0.9899648602264932,0.9999568036454605,0.0625,1.0,0.9083333333333334,0.0,0.0
2466264-B2,0,"(1, 1, 16, 188)","(16, 188)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9658306747916889,0.9842035161590799,0.9999462406081542,0.0625,0.7888888888888889,0.9316666666666668,0.0,0.0
2466923-B2,0,"(1, 1, 16, 115)","(16, 115)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.9744833795304207,0.9903729849095766,0.9999551563625694,0.0625,1.0,1.0,0.0,0.0
2468673-B2,0,"(1, 1, 16, 158)","(16, 158)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9674427858228398,0.9878597388444775,0.9998499320391542,0.0625,1.0,1.0,0.0,0.0
2468796-B3,0,"(1, 1, 16, 295)","(16, 295)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9689475290617321,0.9901964443330321,0.9999348824821003,0.0625,1.0,1.0,0.0,0.0
2469004-B2,0,"(1, 1, 16, 173)","(16, 173)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.9739579594825785,0.9909115610675572,0.9999478494471643,0.0625,1.0,1.0,0.0,0.0
2469029-B2,0,"(1, 1, 16, 162)","(16, 162)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0,0.9755363467205673,0.9906570611482899,0.9998722405164057,0.0625,1.0,1.0,0.0,0.0
