slide_id,fold,label,pred,correct,strategy,top_k,min_dist,selected_anchor_count,anchor_score_sum,anchor_pairwise_dist_mean,anchor_pairwise_dist_median,anchor_spatial_span_x,anchor_spatial_span_y
2460239-B2,0,0,0,1,raw_topk,5,,5,0.43032514303922653,51202.91650981041,66049.38591769239,92564.0,8192.0
2460239-B2,0,0,0,1,weighted_farthest,5,,5,0.36001482978463173,63768.2824971098,59649.57075417472,107206.0,43601.0
2460239-B2,0,0,0,1,random_anchor,5,,5,0.034012506184808444,67166.12268801317,75675.69765230193,119494.0,27217.0
2460239-B2,0,0,0,1,nms_topk,5,2048.0,5,0.43032514303922653,51202.91650981041,66049.38591769239,92564.0,8192.0
2460239-B2,0,0,0,1,nms_topk,5,4096.0,5,0.43032514303922653,51202.91650981041,66049.38591769239,92564.0,8192.0
2460239-B2,0,0,0,1,nms_topk,5,8192.0,5,0.39288289099931717,51574.0153248149,57283.435718831824,92564.0,17600.0
2460239-B2,0,0,0,1,raw_topk,10,,10,0.5873203258961439,54439.1738116304,57313.59364060153,107206.0,43601.0
2460239-B2,0,0,0,1,weighted_farthest,10,,10,0.5754767507314682,48673.00625530783,48144.363958826994,107206.0,43601.0
2460239-B2,0,0,0,1,random_anchor,10,,10,0.07119726269229432,56079.91854403509,51240.17661952387,123590.0,55687.0
2460239-B2,0,0,0,1,nms_topk,10,2048.0,10,0.5873203258961439,54439.1738116304,57313.59364060153,107206.0,43601.0
2460239-B2,0,0,0,1,nms_topk,10,4096.0,10,0.5873203258961439,54439.1738116304,57313.59364060153,107206.0,43601.0
2460239-B2,0,0,0,1,nms_topk,10,8192.0,10,0.4856770811602473,52125.97191900197,51957.698226538094,107206.0,43601.0
2460628-B2,0,0,0,1,raw_topk,5,,5,0.25365328788757324,12413.872953325195,13176.787763630447,12288.0,20480.0
2460628-B2,0,0,0,1,weighted_farthest,5,,5,0.2122407667338848,63604.66815870929,70973.05975219313,106595.0,32768.0
2460628-B2,0,0,0,1,random_anchor,5,,5,0.007168283918872476,31911.040734052753,27449.598438262474,49152.0,40960.0
2460628-B2,0,0,0,1,nms_topk,5,2048.0,5,0.25365328788757324,12413.872953325195,13176.787763630447,12288.0,20480.0
2460628-B2,0,0,0,1,nms_topk,5,4096.0,5,0.25365328788757324,12413.872953325195,13176.787763630447,12288.0,20480.0
2460628-B2,0,0,0,1,nms_topk,5,8192.0,5,0.22619713097810745,53004.97420860049,29464.193164565113,106595.0,32768.0
2460628-B2,0,0,0,1,raw_topk,10,,10,0.40026799961924553,34830.84893371116,18317.868871678278,110691.0,36864.0
2460628-B2,0,0,0,1,weighted_farthest,10,,10,0.3753886707127094,44344.663151668,33023.00773703086,110691.0,36864.0
2460628-B2,0,0,0,1,random_anchor,10,,10,0.03333883890445577,42838.50681843444,38858.067888149046,83522.0,46161.0
2460628-B2,0,0,0,1,nms_topk,10,2048.0,10,0.40026799961924553,34830.84893371116,18317.868871678278,110691.0,36864.0
2460628-B2,0,0,0,1,nms_topk,10,4096.0,10,0.40026799961924553,34830.84893371116,18317.868871678278,110691.0,36864.0
2460628-B2,0,0,0,1,nms_topk,10,8192.0,10,0.34181857481598854,51841.874526570995,38641.58671690385,110691.0,36864.0
2460641-B2,0,0,0,1,raw_topk,5,,5,0.09310064651072025,44923.72900503239,56193.18210999163,67702.0,37072.0
2460641-B2,0,0,0,1,weighted_farthest,5,,5,0.08614762220531702,57026.03838611024,63706.43565658318,79990.0,45056.0
2460641-B2,0,0,0,1,random_anchor,5,,5,0.020423747580935014,27245.11083399916,24790.958662516114,22879.0,45056.0
2460641-B2,0,0,0,1,nms_topk,5,2048.0,5,0.09310064651072025,44923.72900503239,56193.18210999163,67702.0,37072.0
2460641-B2,0,0,0,1,nms_topk,5,4096.0,5,0.09310064651072025,44923.72900503239,56193.18210999163,67702.0,37072.0
2460641-B2,0,0,0,1,nms_topk,5,8192.0,5,0.09310064651072025,44923.72900503239,56193.18210999163,67702.0,37072.0
2460641-B2,0,0,0,1,raw_topk,10,,10,0.1654358608648181,48343.412703329624,58886.25921214558,79990.0,45056.0
2460641-B2,0,0,0,1,weighted_farthest,10,,10,0.1533079482614994,50480.23324982616,55711.62320378038,88182.0,53456.0
2460641-B2,0,0,0,1,random_anchor,10,,10,0.03234798169887654,46778.73283384589,37763.254097071665,92278.0,36864.0
2460641-B2,0,0,0,1,nms_topk,10,2048.0,10,0.1654358608648181,48343.412703329624,58886.25921214558,79990.0,45056.0
2460641-B2,0,0,0,1,nms_topk,10,4096.0,10,0.1654358608648181,48343.412703329624,58886.25921214558,79990.0,45056.0
2460641-B2,0,0,0,1,nms_topk,10,8192.0,10,0.1654358608648181,48343.412703329624,58886.25921214558,79990.0,45056.0
2460960-B,0,0,0,1,raw_topk,5,,5,0.23728764057159424,29485.336585072953,17847.862563059432,63718.0,16384.0
2460960-B,0,0,0,1,weighted_farthest,5,,5,0.18475025333464146,52151.415714276416,58152.46858028694,84198.0,28672.0
2460960-B,0,0,0,1,random_anchor,5,,5,0.02169207634869963,64474.541488200855,63302.17174944694,112870.0,61440.0
2460960-B,0,0,0,1,nms_topk,5,2048.0,5,0.23728764057159424,29485.336585072953,17847.862563059432,63718.0,16384.0
2460960-B,0,0,0,1,nms_topk,5,4096.0,5,0.23728764057159424,29485.336585072953,17847.862563059432,63718.0,16384.0
2460960-B,0,0,0,1,nms_topk,5,8192.0,5,0.19147804379463196,46526.9318204099,58152.46858028694,76006.0,23185.0
2460960-B,0,0,0,1,raw_topk,10,,10,0.33888168819248676,41711.64873682519,56585.16841894173,80102.0,27281.0
2460960-B,0,0,0,1,weighted_farthest,10,,10,0.2948411637917161,52834.992136816596,52571.75581051103,104858.0,57847.0
2460960-B,0,0,0,1,random_anchor,10,,10,0.007664541217309306,54978.602853948425,47719.853310755265,112870.0,71447.0
2460960-B,0,0,0,1,nms_topk,10,2048.0,10,0.33888168819248676,41711.64873682519,56585.16841894173,80102.0,27281.0
2460960-B,0,0,0,1,nms_topk,10,4096.0,10,0.33888168819248676,41711.64873682519,56585.16841894173,80102.0,27281.0
2460960-B,0,0,0,1,nms_topk,10,8192.0,10,0.26543916016817093,48971.90637672254,61478.23137501599,92390.0,32768.0
2461671-B2,0,0,0,1,raw_topk,5,,5,0.18534057214856148,57775.7084349963,61199.20573084383,105427.0,16384.0
2461671-B2,0,0,0,1,weighted_farthest,5,,5,0.18534057214856148,57775.7084349963,61199.20573084383,105427.0,16384.0
2461671-B2,0,0,0,1,random_anchor,5,,5,0.020294055648264475,61459.602482864095,70001.37975530527,93139.0,42257.0
2461671-B2,0,0,0,1,nms_topk,5,2048.0,5,0.18534057214856148,57775.7084349963,61199.20573084383,105427.0,16384.0
2461671-B2,0,0,0,1,nms_topk,5,4096.0,5,0.18534057214856148,57775.7084349963,61199.20573084383,105427.0,16384.0
2461671-B2,0,0,0,1,nms_topk,5,8192.0,5,0.18534057214856148,57775.7084349963,61199.20573084383,105427.0,16384.0
2461671-B2,0,0,0,1,raw_topk,10,,10,0.2763179847970605,50886.04130541997,52195.117108787104,105427.0,24576.0
2461671-B2,0,0,0,1,weighted_farthest,10,,10,0.25655727460980415,54191.41272708323,54602.078879837536,105427.0,40960.0
2461671-B2,0,0,0,1,random_anchor,10,,10,0.046231540967710316,65297.29572349318,72712.89213062564,109523.0,57344.0
2461671-B2,0,0,0,1,nms_topk,10,2048.0,10,0.2763179847970605,50886.04130541997,52195.117108787104,105427.0,24576.0
2461671-B2,0,0,0,1,nms_topk,10,4096.0,10,0.2763179847970605,50886.04130541997,52195.117108787104,105427.0,24576.0
2461671-B2,0,0,0,1,nms_topk,10,8192.0,10,0.2650478705763817,50821.811686473724,57069.402888062534,105427.0,27375.0
2461677-B2,0,0,0,1,raw_topk,5,,5,0.4945833757519722,39331.50524215072,53480.46989299006,60420.0,23894.0
2461677-B2,0,0,0,1,weighted_farthest,5,,5,0.4758931025862694,34259.49531108393,27851.22584095921,68612.0,23894.0
2461677-B2,0,0,0,1,random_anchor,5,,5,0.07571163354441524,25526.932161738132,11963.63623006982,56324.0,8464.0
2461677-B2,0,0,0,1,nms_topk,5,2048.0,5,0.4945833757519722,39331.50524215072,53480.46989299006,60420.0,23894.0
2461677-B2,0,0,0,1,nms_topk,5,4096.0,5,0.4945833757519722,39331.50524215072,53480.46989299006,60420.0,23894.0
2461677-B2,0,0,0,1,nms_topk,5,8192.0,5,0.4367164485156536,35005.51337682606,27851.22584095921,68612.0,23894.0
2461677-B2,0,0,0,1,raw_topk,10,,10,0.6801886446774006,35605.902079160944,27714.401310510028,72708.0,23894.0
2461677-B2,0,0,0,1,weighted_farthest,10,,10,0.6678780373185873,33560.535310429295,27714.401310510028,72708.0,23894.0
2461677-B2,0,0,0,1,random_anchor,10,,10,0.119647943880409,35659.95230663642,40717.6865747552,72708.0,20208.0
2461677-B2,0,0,0,1,nms_topk,10,2048.0,10,0.6801886446774006,35605.902079160944,27714.401310510028,72708.0,23894.0
2461677-B2,0,0,0,1,nms_topk,10,4096.0,10,0.6801886446774006,35605.902079160944,27714.401310510028,72708.0,23894.0
2461677-B2,0,0,0,1,nms_topk,10,8192.0,10,0.4850928201340139,37622.45027704792,36829.765570798845,80900.0,32086.0
2461700-B2,0,0,0,1,raw_topk,5,,5,0.4690883904695511,6267.1106374638675,5792.618751480198,4096.0,8192.0
2461700-B2,0,0,0,1,weighted_farthest,5,,5,0.44249649718403816,46659.38125858502,64535.65132823434,78071.0,18321.0
